batch_id,scenario,scenario_family,profile,run_index,seed,topology_initial,topology_final_detected,steps,a,b,c,lambda_damping,alpha_cognition,mu_cognition,k_D,k_C,k_T,k_b,break_condition_margin,f_min,kappa_min_protected,psi_lambda,psi_threshold,message_loss,final_T_mean,final_T_min,final_D_mean,final_C_mean,final_I_mean,final_S_network,final_G_formal,final_G_effective,collapse_share_peak,sustained_ignition,ignition_onset_step,trigger_A_count,trigger_A_first_step,trigger_A_source,trigger_B_count,trigger_B_first_step,trigger_C_count,trigger_D_count,false_stability_steps,external_intervention_count,resource_exhaustion_step,max_unmet_recovery_demand,reclassification_latency_steps,star_adjacency_persist_steps
grand_sim_v0_1,ring_baseline,baseline,low_stress,0,4200,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.064718,0.0,1.0,0.988998,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,1,4201,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.06699,0.0,1.0,0.988612,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,2,4202,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.069962,0.0,1.0,0.988107,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,3,4203,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.067548,0.0,1.0,0.988517,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,4,4204,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.06633,0.0,1.0,0.988724,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,5,4205,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.067707,0.0,1.0,0.98849,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,6,4206,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.066461,0.0,1.0,0.988702,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,7,4207,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.064652,0.0,1.0,0.989009,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,8,4208,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.071296,0.0,1.0,0.98788,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,low_stress,9,4209,ring_mesh,ring_mesh,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,1.0,1.0,0.070926,0.0,1.0,0.987943,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,0,4210,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.075543,0.0,1.0,0.987158,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,1,4211,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.076304,0.0,1.0,0.987028,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,2,4212,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.077256,0.0,1.0,0.986866,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,3,4213,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.078044,0.0,1.0,0.986733,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,4,4214,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.074964,0.0,1.0,0.987256,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,5,4215,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.076225,0.0,1.0,0.987042,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,6,4216,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.075839,0.0,1.0,0.987107,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,7,4217,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.076997,0.0,1.0,0.986911,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,8,4218,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.076359,0.0,1.0,0.987019,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,mid_stress,9,4219,ring_mesh,ring_mesh,160,0.1,0.08,0.06,0.29,1.6,0.12,0.1,0.08,0.16,0.0095,0.00791,0.3,0.25,0.1,0.54,0.06,1.0,1.0,0.074706,0.0,1.0,0.9873,1.0,1.0,0.0,0,,0,,,0,,0,0,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,0,4220,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.089803,1.0,0.0,0.169134,0.0,0.0,1.0,1,40,120,40,C04_S_THRESHOLD,0,,0,113,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,1,4221,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.090758,1.0,0.0,0.168971,0.0,0.0,1.0,1,37,121,39,C04_S_THRESHOLD,0,,0,116,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,2,4222,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.088667,1.0,0.0,0.169327,0.0,0.0,1.0,1,38,121,39,C04_S_THRESHOLD,0,,0,115,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,3,4223,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.090176,1.0,0.0,0.16907,0.0,0.0,1.0,1,39,120,40,C04_S_THRESHOLD,0,,0,114,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,4,4224,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.090325,1.0,0.0,0.169045,0.0,0.0,1.0,1,36,123,37,C04_S_THRESHOLD,0,,0,117,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,5,4225,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.086008,1.0,0.0,0.169779,0.0,0.0,1.0,1,39,120,40,C04_S_THRESHOLD,0,,0,114,1,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,6,4226,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.088965,1.0,0.0,0.169276,0.0,0.0,1.0,1,37,121,39,C04_S_THRESHOLD,0,,0,115,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,7,4227,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.088503,1.0,0.0,0.169354,0.0,0.0,1.0,1,41,118,42,C04_S_THRESHOLD,0,,0,113,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,8,4228,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.088167,1.0,0.0,0.169412,0.0,0.0,1.0,1,40,119,41,C04_S_THRESHOLD,0,,0,113,0,0,,0.0,,0
grand_sim_v0_1,ring_baseline,baseline,high_stress,9,4229,ring_mesh,ring_mesh,160,0.14,0.05,0.09,0.26,2.0,0.06,0.13,0.1,0.2,0.012,0.00998,0.3,0.25,0.1,0.52,0.09,0.03,0.03,0.089337,1.0,0.0,0.169213,0.0,0.0,1.0,1,39,120,40,C04_S_THRESHOLD,0,,0,113,0,0,,0.0,,0
grand_sim_v0_1,federation_cluster_attack,federation,low_stress,0,4230,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,0.676667,0.03,0.099582,0.0,0.800335,0.380848,0.766776,0.766776,0.333333,0,,0,,,0,,0,0,0,0,118,0.002274,,0
grand_sim_v0_1,federation_cluster_attack,federation,low_stress,1,4231,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,0.676667,0.03,0.096679,0.0,0.800753,0.384186,0.762221,0.762221,0.333333,0,,0,,,0,,0,0,0,0,122,0.002274,,0
grand_sim_v0_1,federation_cluster_attack,federation,low_stress,2,4232,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,0.676667,0.03,0.094102,0.0,0.802213,0.38553,0.771921,0.771921,0.333333,0,,0,,,0,,0,0,0,0,135,0.002311,,0
grand_sim_v0_1,federation_cluster_attack,federation,low_stress,3,4233,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,0.676667,0.03,0.098243,0.0,0.799235,0.381997,0.761234,0.761234,0.333333,0,,0,,,0,,0,0,0,0,120,0.002212,,0
grand_sim_v0_1,federation_cluster_attack,federation,low_stress,4,4234,federation,federation,160,0.06,0.1,0.04,0.32,1.2,0.2,0.08,0.06,0.12,0.0075,0.006735,0.3,0.25,0.1,0.56,0.03,0.676667,0.03,0.090476,0.0,0.801115,0.385062,0.761437,0.761437,0.333333,0,,0,,,0,,0,0,0,0,120,0.002231,,0
