batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,resource_exhaustion_rate,avg_max_unmet_recovery_demand
grand_sim_v0_1,async_message_loss,high_stress,10,1.0,1.0,0.03,0.153928,0.0,129.7,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,async_message_loss,low_stress,10,0.0,0.1,0.90592,0.971797,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,async_message_loss,mid_stress,10,0.0,0.1,0.90348,0.969131,1.0,0.0,0.0,0.0,0.0,0.1,0.001575
grand_sim_v0_1,federation_bridge_stress,high_stress,10,1.0,1.0,0.03,0.15622,0.0,134.1,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,federation_bridge_stress,low_stress,10,0.0,0.1,0.903591,0.975188,1.0,0.0,0.0,0.0,0.0,0.7,0.006794
grand_sim_v0_1,federation_bridge_stress,mid_stress,10,0.0,0.1,0.903,0.973571,1.0,0.0,0.0,0.0,0.0,1.0,0.014076
grand_sim_v0_1,federation_cluster_attack,high_stress,10,1.0,1.0,0.03,0.160202,0.0,131.9,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,federation_cluster_attack,low_stress,10,0.0,0.333333,0.676667,0.38381,0.766078,0.0,0.0,0.0,0.0,1.0,0.002274
grand_sim_v0_1,federation_cluster_attack,mid_stress,10,0.0,0.333333,0.676667,0.320964,0.352183,0.0,0.0,0.0,0.0,1.0,0.00133
grand_sim_v0_1,governance_capture,high_stress,10,1.0,1.0,0.03,0.162113,0.0,131.5,0.0,56.0,19.8,0.0,0.0
grand_sim_v0_1,governance_capture,low_stress,10,1.0,1.0,0.030004,0.288013,0.0,48.4,0.0,98.5,81.2,0.0,0.0
grand_sim_v0_1,governance_capture,mid_stress,10,1.0,1.0,0.03,0.248066,0.0,62.1,0.0,94.0,78.0,0.0,0.0
grand_sim_v0_1,hub_2_balanced,high_stress,10,1.0,1.0,0.03,0.148544,0.0,144.0,0.0,0.0,0.0,0.1,7.7e-05
grand_sim_v0_1,hub_2_balanced,low_stress,10,0.0,0.033333,0.971918,0.421493,1.0,97.3,0.0,0.0,0.0,0.1,0.001474
grand_sim_v0_1,hub_2_balanced,mid_stress,10,1.0,1.0,0.03,0.152386,0.0,113.7,0.0,0.0,0.0,0.3,0.000259
grand_sim_v0_1,hub_3_balanced,high_stress,10,1.0,1.0,0.03,0.148724,0.0,140.7,0.0,0.0,0.0,0.1,5.6e-05
grand_sim_v0_1,hub_3_balanced,low_stress,10,0.0,0.05,0.953087,0.382601,1.0,101.5,0.0,0.0,0.0,1.0,0.013053
grand_sim_v0_1,hub_3_balanced,mid_stress,10,1.0,0.998333,0.03358,0.239189,0.0,115.7,0.0,0.0,0.0,1.0,0.010351
grand_sim_v0_1,mixed_hia_identity,high_stress,10,1.0,1.0,0.03,0.165323,0.0,130.7,0.0,0.0,0.1,0.0,0.0
grand_sim_v0_1,mixed_hia_identity,low_stress,10,0.0,0.001667,0.865425,0.814114,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,mixed_hia_identity,mid_stress,10,0.0,0.0,0.840525,0.794419,0.987202,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,psi_corruption,high_stress,10,1.0,1.0,0.03,0.156891,0.0,131.0,0.0,160.0,0.0,0.0,0.0
grand_sim_v0_1,psi_corruption,low_stress,10,0.0,0.333333,0.676667,0.376967,0.746396,0.0,0.0,160.0,0.0,1.0,0.002151
grand_sim_v0_1,psi_corruption,mid_stress,10,0.0,0.333333,0.676107,0.3102,0.326035,0.0,0.0,160.0,0.0,1.0,0.001307
grand_sim_v0_1,ring_baseline,high_stress,10,1.0,1.0,0.03,0.169258,0.0,120.3,0.0,0.0,0.1,0.0,0.0
grand_sim_v0_1,ring_baseline,low_stress,10,0.0,0.0,1.0,0.988498,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,ring_baseline,mid_stress,10,0.0,0.0,1.0,0.987042,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,star_unsafe_reference,high_stress,10,1.0,1.0,0.03,0.138712,0.0,150.8,0.0,0.0,0.0,0.6,0.008061
grand_sim_v0_1,star_unsafe_reference,low_stress,10,0.0,0.075,0.803454,0.395236,1.0,100.5,0.0,0.0,0.0,0.1,0.000559
grand_sim_v0_1,star_unsafe_reference,mid_stress,10,1.0,1.0,0.03,0.14486,0.0,126.2,0.0,0.0,0.0,0.2,0.000142
grand_sim_v0_1,topology_drift,high_stress,10,1.0,1.0,0.03,0.149158,0.0,131.5,0.0,0.0,0.1,0.0,0.0
grand_sim_v0_1,topology_drift,low_stress,10,0.0,0.016667,0.988191,0.509671,1.0,75.1,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_1,topology_drift,mid_stress,10,1.0,1.0,0.03,0.160916,0.0,80.0,0.0,0.0,0.0,0.3,0.000649
grand_sim_v0_1,trigger_b_deadlock,high_stress,10,1.0,1.0,0.03,0.145926,0.0,137.5,110.0,0.0,0.0,1.0,0.015827
grand_sim_v0_1,trigger_b_deadlock,low_stress,10,1.0,1.0,0.03,0.272857,0.0,107.0,83.4,20.0,6.0,1.0,0.017218
grand_sim_v0_1,trigger_b_deadlock,mid_stress,10,1.0,1.0,0.03,0.173385,0.0,118.6,87.0,20.0,6.0,1.0,0.015907
