batch_id,scenario,profile,run_index,seed,step,actual_topology,detected_topology,T_mean,T_min,T_std,D_effective_mean,C_mean,I_mean,S_network,G_formal,G_effective,psi_base,psi_extended,cluster_variance,collapse_share,detected_collapse_share,trigger_A,trigger_A_source,trigger_B,trigger_C,trigger_D,resource_budget,phase_divergence,message_loss,false_stability,async_false_stability,hub1_S,hub2_S,hub3_S,hub_min_S,hub_avg_S,k_D_effective,k_C_effective
grand_sim_v0_2,ring_baseline,low_stress,0,4200,0,ring_mesh,ring_mesh,0.805963,0.751568,0.030473,0.170704,0.120259,0.826337,0.824003,0.791107,0.608915,0.219602,0.219602,0.0,0.0,0.0,0,,0,0,0,1.2,0.212277,0.03,0,0,,,,,,0.076103,0.057077
grand_sim_v0_2,ring_baseline,low_stress,0,4200,1,ring_mesh,ring_mesh,0.829414,0.764439,0.035203,0.157967,0.100622,0.82682,0.840084,0.804593,0.628604,0.203401,0.203401,0.0,0.0,0.0,0,,0,0,0,1.2,0.257241,0.03,0,0,,,,,,0.075977,0.056983
grand_sim_v0_2,ring_baseline,low_stress,0,4200,2,ring_mesh,ring_mesh,0.859817,0.787863,0.03959,0.144504,0.081823,0.828103,0.859692,0.821205,0.652063,0.183821,0.183821,0.0,0.0,0.0,0,,0,0,0,1.2,0.209054,0.03,0,0,,,,,,0.075827,0.05687
grand_sim_v0_2,ring_baseline,low_stress,0,4200,3,ring_mesh,ring_mesh,0.88446,0.787863,0.04973,0.131833,0.063702,0.830199,0.876492,0.840347,0.680283,0.165488,0.165488,0.0,0.0,0.0,0,,0,0,0,1.2,0.243179,0.03,0,0,,,,,,0.075646,0.056735
grand_sim_v0_2,ring_baseline,low_stress,0,4200,4,ring_mesh,ring_mesh,0.914484,0.805813,0.057367,0.120557,0.046164,0.833087,0.895736,0.862627,0.712971,0.144777,0.144777,0.0,0.0,0.0,0,,0,0,0,1.2,0.231474,0.03,0,0,,,,,,0.075437,0.056578
grand_sim_v0_2,ring_baseline,low_stress,0,4200,5,ring_mesh,ring_mesh,0.935948,0.829061,0.059601,0.1101,0.029073,0.836779,0.91085,0.887157,0.751053,0.126157,0.126157,0.0,0.0,0.0,0,,0,0,0,1.2,0.243432,0.03,0,0,,,,,,0.075193,0.056395
grand_sim_v0_2,ring_baseline,low_stress,0,4200,6,ring_mesh,ring_mesh,0.95257,0.829061,0.055107,0.102076,0.01251,0.841231,0.923325,0.913444,0.793987,0.108914,0.108914,0.0,0.0,0.0,0,,0,0,0,1.2,0.212277,0.03,0,0,,,,,,0.074918,0.056189
grand_sim_v0_2,ring_baseline,low_stress,0,4200,7,ring_mesh,ring_mesh,0.958924,0.850981,0.049647,0.095762,0.001591,0.846346,0.929993,0.94038,0.841537,0.094903,0.094903,0.0,0.0,0.0,0,,0,0,0,1.2,0.257241,0.03,0,0,,,,,,0.074614,0.055961
grand_sim_v0_2,ring_baseline,low_stress,0,4200,8,ring_mesh,ring_mesh,0.971642,0.875685,0.03959,0.090206,2.7e-05,0.851963,0.938482,0.968695,0.892523,0.07844,0.07844,0.0,0.0,0.0,0,,0,0,0,1.2,0.209054,0.03,0,0,,,,,,0.074288,0.055716
grand_sim_v0_2,ring_baseline,low_stress,0,4200,9,ring_mesh,ring_mesh,0.976925,0.875685,0.034734,0.086157,0.0,0.857336,0.942891,0.997574,0.94332,0.065066,0.065066,0.0,0.0,0.0,0,,0,0,0,1.2,0.243179,0.03,0,0,,,,,,0.073963,0.055472
