batch_id,weight_profile,psi_lambda,psi_lambda_locked,psi_threshold,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,avg_lag_steps,accepted_candidate,recommended_locked_candidate
grand_sim_v0_3,v02_default,0.05,0,0.3,80,40,1.0,1.0,0.0,0.0,9.075,0.0,0,0
grand_sim_v0_3,v02_default,0.05,0,0.32,80,40,1.0,1.0,0.0,0.0,6.9,0.0,0,0
grand_sim_v0_3,v02_default,0.05,0,0.34,80,40,1.0,1.0,0.0,0.0,5.9625,0.0,0,0
grand_sim_v0_3,v02_default,0.05,0,0.36,80,40,1.0,1.0,0.0,0.0,5.1125,0.0,0,0
grand_sim_v0_3,v02_default,0.05,0,0.38,80,40,1.0,0.85,0.0,0.0,2.735294,2.583333,0,0
grand_sim_v0_3,v02_default,0.05,0,0.4,80,40,0.9,0.5,0.1,0.0,2.9,6.78125,0,0
grand_sim_v0_3,v02_default,0.05,0,0.42,80,40,0.75,0.5,0.25,0.0,2.1,6.35,0,0
grand_sim_v0_3,v02_default,0.05,0,0.44,80,40,0.75,0.5,0.25,0.0,1.725,10.5,0,0
grand_sim_v0_3,v02_default,0.05,0,0.46,80,40,0.75,0.5,0.25,0.0,1.45,15.25,0,0
grand_sim_v0_3,v02_default,0.05,0,0.48,80,40,0.75,0.4875,0.25,0.0,1.076923,21.095238,0,0
grand_sim_v0_3,v02_default,0.05,0,0.5,80,40,0.75,0.4625,0.25,0.0,0.513514,27.086957,0,0
grand_sim_v0_3,v02_default,0.05,0,0.52,80,40,0.725,0.225,0.275,0.0,0.722222,19.725,0,0
grand_sim_v0_3,v02_default,0.05,0,0.54,80,40,0.5,0.1375,0.5,0.0,0.363636,1.172414,0,0
grand_sim_v0_3,v02_default,0.05,0,0.56,80,40,0.5,0.075,0.5,0.0,0.0,1.294118,0,0
grand_sim_v0_3,v02_default,0.05,0,0.58,80,40,0.5,0.0125,0.5,0.0,0.0,1.794872,0,0
grand_sim_v0_3,v02_default,0.05,0,0.6,80,40,0.5,0.0,0.5,0.0,0.0,2.625,0,0
grand_sim_v0_3,v02_default,0.05,0,0.62,80,40,0.5,0.0,0.5,0.0,0.0,3.575,0,0
grand_sim_v0_3,v02_default,0.05,0,0.64,80,40,0.5,0.0,0.5,0.0,0.0,4.9,0,0
grand_sim_v0_3,v02_default,0.05,0,0.66,80,40,0.5,0.0,0.5,0.0,0.0,6.325,0,0
grand_sim_v0_3,v02_default,0.1,1,0.3,80,40,1.0,1.0,0.0,0.0,9.1375,0.0,1,0
grand_sim_v0_3,v02_default,0.1,1,0.32,80,40,1.0,1.0,0.0,0.0,6.9125,0.0,1,0
grand_sim_v0_3,v02_default,0.1,1,0.34,80,40,1.0,1.0,0.0,0.0,5.975,0.0,1,0
grand_sim_v0_3,v02_default,0.1,1,0.36,80,40,1.0,1.0,0.0,0.0,5.175,0.0,1,0
grand_sim_v0_3,v02_default,0.1,1,0.38,80,40,1.0,0.8625,0.0,0.0,2.826087,2.727273,0,0
grand_sim_v0_3,v02_default,0.1,1,0.4,80,40,0.9,0.5,0.1,0.0,2.95,6.75,0,0
grand_sim_v0_3,v02_default,0.1,1,0.42,80,40,0.75,0.5,0.25,0.0,2.1,6.35,0,0
grand_sim_v0_3,v02_default,0.1,1,0.44,80,40,0.75,0.5,0.25,0.0,1.725,10.5,0,0
grand_sim_v0_3,v02_default,0.1,1,0.46,80,40,0.75,0.5,0.25,0.0,1.45,15.25,0,0
grand_sim_v0_3,v02_default,0.1,1,0.48,80,40,0.75,0.4875,0.25,0.0,1.128205,21.095238,0,0
grand_sim_v0_3,v02_default,0.1,1,0.5,80,40,0.75,0.4625,0.25,0.0,0.540541,27.086957,0,0
grand_sim_v0_3,v02_default,0.1,1,0.52,80,40,0.725,0.2625,0.275,0.0,0.619048,21.243243,0,0
grand_sim_v0_3,v02_default,0.1,1,0.54,80,40,0.5,0.1375,0.5,0.0,0.454545,1.172414,0,0
grand_sim_v0_3,v02_default,0.1,1,0.56,80,40,0.5,0.075,0.5,0.0,0.0,1.294118,0,0
grand_sim_v0_3,v02_default,0.1,1,0.58,80,40,0.5,0.0125,0.5,0.0,0.0,1.74359,0,0
grand_sim_v0_3,v02_default,0.1,1,0.6,80,40,0.5,0.0,0.5,0.0,0.0,2.475,0,0
grand_sim_v0_3,v02_default,0.1,1,0.62,80,40,0.5,0.0,0.5,0.0,0.0,3.475,0,0
grand_sim_v0_3,v02_default,0.1,1,0.64,80,40,0.5,0.0,0.5,0.0,0.0,4.725,0,0
grand_sim_v0_3,v02_default,0.1,1,0.66,80,40,0.5,0.0,0.5,0.0,0.0,6.325,0,0
grand_sim_v0_3,v02_default,0.2,0,0.3,80,40,1.0,1.0,0.0,0.0,9.25,0.0,0,0
grand_sim_v0_3,v02_default,0.2,0,0.32,80,40,1.0,1.0,0.0,0.0,7.0125,0.0,0,0
