batch_id,run_index,seed,recheck_interval,detection_delay,misclassification_rate,first_centralizing_step,detected_centralizing_step,centralizing_latency_steps,first_star_adjacent_step,detected_star_adjacent_step,star_adjacent_latency_steps,wrong_monitoring_steps,star_adjacent_undetected_steps
grand_sim_v0_3,0,107300,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,1,107301,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,2,107302,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,3,107303,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,4,107304,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,5,107305,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,6,107306,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,7,107307,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,8,107308,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,9,107309,1,0,0.0,55,55,0,80,80,0,0,0
grand_sim_v0_3,0,107310,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,1,107311,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,2,107312,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,3,107313,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,4,107314,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,5,107315,1,0,0.1,55,55,0,80,82,2,2,2
grand_sim_v0_3,6,107316,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,7,107317,1,0,0.1,55,56,1,80,81,1,2,1
grand_sim_v0_3,8,107318,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,9,107319,1,0,0.1,55,55,0,80,80,0,0,0
grand_sim_v0_3,0,107320,1,0,0.25,55,58,3,80,80,0,3,0
grand_sim_v0_3,1,107321,1,0,0.25,55,56,1,80,80,0,1,0
grand_sim_v0_3,2,107322,1,0,0.25,55,56,1,80,80,0,1,0
grand_sim_v0_3,3,107323,1,0,0.25,55,55,0,80,83,3,3,3
grand_sim_v0_3,4,107324,1,0,0.25,55,55,0,80,82,2,2,2
grand_sim_v0_3,5,107325,1,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,6,107326,1,0,0.25,55,55,0,80,81,1,1,1
grand_sim_v0_3,7,107327,1,0,0.25,55,57,2,80,80,0,2,0
grand_sim_v0_3,8,107328,1,0,0.25,55,55,0,80,80,0,0,0
grand_sim_v0_3,9,107329,1,0,0.25,55,55,0,80,81,1,1,1
grand_sim_v0_3,0,107330,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,1,107331,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,2,107332,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,3,107333,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,4,107334,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,5,107335,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,6,107336,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,7,107337,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,8,107338,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,9,107339,1,5,0.0,55,60,5,80,85,5,10,5
grand_sim_v0_3,0,107340,1,5,0.1,55,60,5,80,86,6,11,6
grand_sim_v0_3,1,107341,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,2,107342,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,3,107343,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,4,107344,1,5,0.1,55,60,5,80,86,6,11,6
grand_sim_v0_3,5,107345,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,6,107346,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,7,107347,1,5,0.1,55,60,5,80,86,6,11,6
grand_sim_v0_3,8,107348,1,5,0.1,55,60,5,80,85,5,10,5
grand_sim_v0_3,9,107349,1,5,0.1,55,60,5,80,86,6,11,6
grand_sim_v0_3,0,107350,1,5,0.25,55,60,5,80,85,5,10,5
grand_sim_v0_3,1,107351,1,5,0.25,55,60,5,80,85,5,10,5
