batch_id,recheck_interval,detection_delay,misclassification_rate,runs,centralizing_detection_rate,avg_centralizing_latency_steps,star_adjacent_detection_rate,avg_star_adjacent_latency_steps,avg_wrong_monitoring_steps,avg_star_adjacent_undetected_steps
grand_sim_v0_3,1,0,0.0,10,1.0,0.0,1.0,0.0,0.0,0.0
grand_sim_v0_3,1,0,0.1,10,1.0,0.1,1.0,0.3,0.4,0.3
grand_sim_v0_3,1,0,0.25,10,1.0,0.7,1.0,0.7,1.4,0.7
grand_sim_v0_3,1,5,0.0,10,1.0,5.0,1.0,5.0,10.0,5.0
grand_sim_v0_3,1,5,0.1,10,1.0,5.0,1.0,5.4,10.4,5.4
grand_sim_v0_3,1,5,0.25,10,1.0,5.3,1.0,5.7,11.0,5.7
grand_sim_v0_3,1,10,0.0,10,1.0,10.0,1.0,10.0,20.0,10.0
grand_sim_v0_3,1,10,0.1,10,1.0,10.4,1.0,10.1,20.5,10.1
grand_sim_v0_3,1,10,0.25,10,1.0,10.3,1.0,10.1,20.4,10.1
grand_sim_v0_3,1,20,0.0,10,1.0,20.0,1.0,20.0,40.0,20.0
grand_sim_v0_3,1,20,0.1,10,1.0,20.0,1.0,20.0,40.0,20.0
grand_sim_v0_3,1,20,0.25,10,1.0,20.5,1.0,20.2,40.7,20.2
grand_sim_v0_3,5,0,0.0,10,1.0,0.0,1.0,0.0,0.0,0.0
grand_sim_v0_3,5,0,0.1,10,1.0,1.0,1.0,0.5,1.5,0.5
grand_sim_v0_3,5,0,0.25,10,1.0,1.0,1.0,1.5,2.5,1.5
grand_sim_v0_3,5,5,0.0,10,1.0,5.0,1.0,5.0,10.0,5.0
grand_sim_v0_3,5,5,0.1,10,1.0,5.0,1.0,5.5,10.5,5.5
grand_sim_v0_3,5,5,0.25,10,1.0,5.0,1.0,7.0,12.0,7.0
grand_sim_v0_3,5,10,0.0,10,1.0,10.0,1.0,10.0,20.0,10.0
grand_sim_v0_3,5,10,0.1,10,1.0,10.5,1.0,10.0,20.5,10.0
grand_sim_v0_3,5,10,0.25,10,1.0,13.0,1.0,13.5,26.5,13.5
grand_sim_v0_3,5,20,0.0,10,1.0,20.0,1.0,20.0,40.0,20.0
grand_sim_v0_3,5,20,0.1,10,0.8,20.0,1.0,20.0,41.0,20.0
grand_sim_v0_3,5,20,0.25,10,0.7,20.0,1.0,21.0,42.5,21.0
grand_sim_v0_3,10,0,0.0,10,1.0,5.0,1.0,0.0,5.0,0.0
grand_sim_v0_3,10,0,0.1,10,1.0,5.0,1.0,1.0,6.0,1.0
grand_sim_v0_3,10,0,0.25,10,1.0,9.0,1.0,0.0,9.0,0.0
grand_sim_v0_3,10,5,0.0,10,1.0,5.0,1.0,10.0,15.0,10.0
grand_sim_v0_3,10,5,0.1,10,1.0,6.0,1.0,11.0,17.0,11.0
grand_sim_v0_3,10,5,0.25,10,1.0,6.0,1.0,11.0,17.0,11.0
grand_sim_v0_3,10,10,0.0,10,1.0,15.0,1.0,10.0,25.0,10.0
grand_sim_v0_3,10,10,0.1,10,1.0,15.0,1.0,13.0,28.0,13.0
grand_sim_v0_3,10,10,0.25,10,0.8,15.0,1.0,14.0,31.0,14.0
grand_sim_v0_3,10,20,0.0,10,0.0,,1.0,20.0,45.0,20.0
grand_sim_v0_3,10,20,0.1,10,0.0,,1.0,20.0,45.0,20.0
grand_sim_v0_3,10,20,0.25,10,0.0,,0.8,21.25,52.0,27.0
