weight_profile,psi_threshold,orig_on_time_tpr,ablation_on_time_tpr,delta_on_time_tpr,orig_fp_rate,ablation_fp_rate,delta_fp_rate,orig_avg_lead,ablation_avg_lead,delta_avg_lead,orig_accepted,ablation_accepted
disturbance_heavy,0.1,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
disturbance_heavy,0.12,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
disturbance_heavy,0.14,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
disturbance_heavy,0.16,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
disturbance_heavy,0.18,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
disturbance_heavy,0.2,1.0,1.0,0.0,1.0,0.65,-0.35,52.1625,34.9875,-17.175,0,0
disturbance_heavy,0.22,1.0,1.0,0.0,0.125,0.0,-0.125,23.6375,16.6125,-7.025,0,1
disturbance_heavy,0.24,1.0,1.0,0.0,0.0,0.0,0.0,15.6875,13.575,-2.1125,1,1
disturbance_heavy,0.26,1.0,1.0,0.0,0.0,0.0,0.0,12.9125,11.2375,-1.675,1,1
disturbance_heavy,0.28,1.0,1.0,0.0,0.0,0.0,0.0,10.75,9.35,-1.4,1,1
disturbance_heavy,0.3,1.0,1.0,0.0,0.0,0.0,0.0,8.9875,7.6375,-1.35,1,1
disturbance_heavy,0.32,1.0,1.0,0.0,0.0,0.0,0.0,7.3,4.925,-2.375,1,1
disturbance_heavy,0.34,1.0,0.525,-0.475,0.0,0.0,0.0,5.4125,3.02381,-2.38869,1,0
disturbance_heavy,0.36,1.0,0.5,-0.5,0.0,0.0,0.0,4.75,2.125,-2.625,1,0
disturbance_heavy,0.38,1.0,0.45,-0.55,0.0,0.0,0.0,3.9375,1.25,-2.6875,1,0
disturbance_heavy,0.4,0.675,0.275,-0.4,0.0,0.0,0.0,1.259259,0.954545,-0.304714,0,0
disturbance_heavy,0.42,0.5,0.1375,-0.3625,0.0,0.0,0.0,1.225,0.909091,-0.315909,0,0
disturbance_heavy,0.44,0.4875,0.075,-0.4125,0.0,0.0,0.0,0.846154,0.333333,-0.512821,0,0
disturbance_heavy,0.46,0.325,0.0,-0.325,0.0,0.0,0.0,0.653846,0.0,-0.653846,0,0
disturbance_heavy,0.48,0.175,0.0,-0.175,0.0,0.0,0.0,0.785714,0.0,-0.785714,0,0
disturbance_heavy,0.5,0.1375,0.0,-0.1375,0.0,0.0,0.0,0.272727,0.0,-0.272727,0,0
disturbance_heavy,0.52,0.025,0.0,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0,0
disturbance_heavy,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
disturbance_heavy,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
disturbance_heavy,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
disturbance_heavy,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
regime_heavy,0.1,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
regime_heavy,0.12,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
regime_heavy,0.14,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
regime_heavy,0.16,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
regime_heavy,0.18,1.0,1.0,0.0,1.0,0.025,-0.975,52.1625,21.35,-30.8125,0,1
regime_heavy,0.2,1.0,1.0,0.0,1.0,0.0,-1.0,52.1625,14.8,-37.3625,0,1
regime_heavy,0.22,1.0,1.0,0.0,0.0,0.0,0.0,19.5,12.0875,-7.4125,1,1
regime_heavy,0.24,1.0,1.0,0.0,0.0,0.0,0.0,14.2875,9.9125,-4.375,1,1
regime_heavy,0.26,1.0,1.0,0.0,0.0,0.0,0.0,11.7875,7.925,-3.8625,1,1
regime_heavy,0.28,1.0,0.9625,-0.0375,0.0,0.0,0.0,9.75,4.142857,-5.607143,1,1
regime_heavy,0.3,1.0,0.5,-0.5,0.0,0.0,0.0,7.8625,4.325,-3.5375,1,0
regime_heavy,0.32,1.0,0.5,-0.5,0.0,0.0,0.0,6.175,3.175,-3.0,1,0
regime_heavy,0.34,1.0,0.5,-0.5,0.0,0.0,0.0,5.4625,2.025,-3.4375,1,0
regime_heavy,0.36,1.0,0.45,-0.55,0.0,0.0,0.0,4.85,1.194444,-3.655556,1,0
regime_heavy,0.38,1.0,0.2625,-0.7375,0.0,0.0,0.0,4.375,0.952381,-3.422619,1,0
regime_heavy,0.4,1.0,0.125,-0.875,0.0,0.0,0.0,4.1125,0.8,-3.3125,1,0
regime_heavy,0.42,1.0,0.05,-0.95,0.0,0.0,0.0,3.85,0.0,-3.85,1,0
regime_heavy,0.44,1.0,0.0,-1.0,0.0,0.0,0.0,2.225,0.0,-2.225,1,0
regime_heavy,0.46,0.5,0.0,-0.5,0.0,0.0,0.0,1.2,0.0,-1.2,0,0
regime_heavy,0.48,0.5,0.0,-0.5,0.0,0.0,0.0,1.2,0.0,-1.2,0,0
regime_heavy,0.5,0.5,0.0,-0.5,0.0,0.0,0.0,1.15,0.0,-1.15,0,0
regime_heavy,0.52,0.475,0.0,-0.475,0.0,0.0,0.0,0.763158,0.0,-0.763158,0,0
regime_heavy,0.54,0.3125,0.0,-0.3125,0.0,0.0,0.0,0.68,0.0,-0.68,0,0
regime_heavy,0.56,0.175,0.0,-0.175,0.0,0.0,0.0,0.571429,0.0,-0.571429,0,0
regime_heavy,0.58,0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
regime_heavy,0.6,0.05,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0
stability_heavy,0.1,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
stability_heavy,0.12,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
stability_heavy,0.14,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
stability_heavy,0.16,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
stability_heavy,0.18,1.0,1.0,0.0,1.0,1.0,0.0,52.1625,52.1625,0.0,0,0
stability_heavy,0.2,1.0,1.0,0.0,1.0,0.8,-0.2,52.1625,42.7625,-9.4,0,0
stability_heavy,0.22,1.0,1.0,0.0,0.45,0.0,-0.45,31.8625,19.8125,-12.05,0,1
stability_heavy,0.24,1.0,1.0,0.0,0.0,0.0,0.0,18.8125,16.4875,-2.325,1,1
stability_heavy,0.26,1.0,1.0,0.0,0.0,0.0,0.0,15.8125,14.3125,-1.5,1,1
stability_heavy,0.28,1.0,1.0,0.0,0.0,0.0,0.0,13.8,12.45,-1.35,1,1
stability_heavy,0.3,1.0,1.0,0.0,0.0,0.0,0.0,12.0625,10.9375,-1.125,1,1
stability_heavy,0.32,1.0,1.0,0.0,0.0,0.0,0.0,10.5375,9.5375,-1.0,1,1
stability_heavy,0.34,1.0,1.0,0.0,0.0,0.0,0.0,9.2875,8.35,-0.9375,1,1
stability_heavy,0.36,1.0,1.0,0.0,0.0,0.0,0.0,8.1,7.1125,-0.9875,1,1
stability_heavy,0.38,1.0,1.0,0.0,0.0,0.0,0.0,6.9875,5.7,-1.2875,1,1
stability_heavy,0.4,1.0,0.9625,-0.0375,0.0,0.0,0.0,5.45,2.350649,-3.099351,1,1
stability_heavy,0.42,1.0,0.5,-0.5,0.0,0.0,0.0,4.575,1.95,-2.625,1,0
stability_heavy,0.44,1.0,0.4625,-0.5375,0.0,0.0,0.0,4.05,1.297297,-2.752703,1,0
