batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,detected_before_or_at_event,false_positive,lead_steps,lag_steps
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,0,8300,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,1,8301,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,2,8302,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,3,8303,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,4,8304,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,5,8305,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,6,8306,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,7,8307,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,8,8308,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,low_stress,9,8309,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,0,8310,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,1,8311,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,2,8312,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,3,8313,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,4,8314,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,5,8315,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,6,8316,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,7,8317,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,8,8318,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,mid_stress,9,8319,0,,0,0,1,,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,high_stress,0,8320,1,31,0,1,0,31,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,high_stress,1,8321,1,32,0,1,0,32,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,high_stress,2,8322,1,29,0,1,0,29,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,high_stress,3,8323,1,31,0,1,0,31,
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,async_message_loss,high_stress,4,8324,1,31,0,1,0,31,
