batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps,accepted_candidate,target_threshold_candidate,recommended_independent_candidate,recommended_strict_ablation_candidate
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.1,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.12,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.14,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.16,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.18,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.2,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.22,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,1.0,52.1625,57.0,23.0,99.0,0.0,0,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.24,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,16.9875,17.0,7.0,28.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.26,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,13.3625,13.0,5.0,20.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.28,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,11.1875,10.0,5.0,17.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,9.3625,8.0,5.0,16.0,0.0,1,1,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.32,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,7.325,7.0,3.0,16.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.34,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,6.4875,6.0,3.0,14.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.36,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,1.0,0.0,0.0,5.625,5.0,3.0,12.0,0.0,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.38,0.25,0.25,0.2,0.2,0.1,120,80,40,1.0,0.9125,0.0,0.0,2.616438,2.0,0.0,8.0,1.571429,1,0,0,0
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.4,0.25,0.25,0.2,0.2,0.1,120,80,40,0.875,0.5,0.125,0.0,3.05,2.0,1.0,7.0,6.1,0,0,0,0
