batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,lead_steps,psi_score,non_regime_score,term_t,term_d,term_g,term_s,term_regime,term_variance,regime_share_of_score,collapse_share_at_detect,s_network_at_detect,cluster_variance_at_detect,regime_weight_at_detect
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,0,8320,1,31,18,13,0.301601,0.286601,0.079978,0.039826,0.096775,0.069687,0.015,0.000335,0.049735,0.0,0.651563,0.003348,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,1,8321,1,32,19,13,0.304698,0.289698,0.082805,0.038687,0.098885,0.068859,0.015,0.000462,0.049229,0.0,0.655707,0.004621,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,2,8322,1,29,17,12,0.30595,0.29095,0.082796,0.040599,0.098593,0.068702,0.015,0.00026,0.049028,0.0,0.65649,0.002604,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,3,8323,1,31,18,13,0.301933,0.286933,0.080975,0.039727,0.098261,0.067716,0.015,0.000255,0.04968,0.0,0.661419,0.002546,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,4,8324,1,31,17,14,0.301647,0.286647,0.080173,0.04007,0.09851,0.067649,0.015,0.000245,0.049727,0.0,0.661754,0.002451,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,5,8325,1,32,19,13,0.303094,0.288094,0.081861,0.039312,0.097784,0.068718,0.015,0.000419,0.04949,0.0,0.656409,0.004191,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,6,8326,1,32,17,15,0.30095,0.28595,0.079846,0.040911,0.096964,0.067916,0.015,0.000313,0.049842,0.0,0.66042,0.003134,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,7,8327,1,33,19,14,0.304039,0.289039,0.08069,0.038309,0.098865,0.070899,0.015,0.000276,0.049336,0.0,0.645505,0.002765,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,8,8328,1,31,18,13,0.309338,0.294338,0.082951,0.039552,0.098372,0.073025,0.015,0.000439,0.048491,0.0,0.634876,0.004387,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,async_message_loss,high_stress,9,8329,1,32,18,14,0.309764,0.294764,0.082038,0.039202,0.099592,0.07363,0.015,0.000303,0.048424,0.0,0.631851,0.003027,0.15
