variant,weight_profile,psi_threshold,scenario,profile,samples,avg_lead_steps,avg_psi_score,avg_non_regime_score,avg_term_t,avg_term_d,avg_term_g,avg_term_s,avg_term_regime,avg_term_variance,avg_regime_share_of_score,avg_collapse_share_at_detect,avg_s_network_at_detect
no_regime_ablation,stability_heavy,0.3,async_message_loss,high_stress,10,12.4,0.304371,0.304371,0.068258,0.031547,0.076385,0.127776,0.0,0.000406,0.0,0.0,0.634927
no_regime_ablation,stability_heavy,0.3,federation_bridge_stress,high_stress,10,7.3,0.307414,0.307414,0.074356,0.029057,0.073223,0.130025,0.0,0.000753,0.0,0.003333,0.628499
no_regime_ablation,stability_heavy,0.3,federation_cluster_attack,high_stress,10,7.5,0.308306,0.308306,0.074834,0.026256,0.07427,0.132085,0.0,0.000862,0.0,0.001667,0.622614
no_regime_ablation,stability_heavy,0.3,federation_cluster_attack,low_stress,10,18.1,0.306861,0.306861,0.034304,0.063964,0.0,0.207552,0.0,0.001042,0.0,0.043334,0.406995
no_regime_ablation,stability_heavy,0.3,federation_cluster_attack,mid_stress,10,10.5,0.307628,0.307628,0.036427,0.058855,0.0,0.211119,0.0,0.001227,0.0,0.131667,0.396804
no_regime_ablation,stability_heavy,0.3,psi_corruption,high_stress,10,7.6,0.306405,0.306405,0.074493,0.02924,0.073406,0.128494,0.0,0.000773,0.0,0.001667,0.632875
no_regime_ablation,stability_heavy,0.3,psi_corruption,low_stress,10,15.6,0.307019,0.307019,0.033854,0.061428,0.0,0.210591,0.0,0.001145,0.0,0.071667,0.398311
no_regime_ablation,stability_heavy,0.3,psi_corruption,mid_stress,10,8.5,0.312112,0.312112,0.035561,0.059327,0.0,0.215972,0.0,0.001251,0.0,0.103333,0.382936
no_regime_ablation,v02_default,0.22,async_message_loss,high_stress,10,31.4,0.222165,0.222165,0.05495,0.046353,0.078217,0.042569,0.0,7.6e-05,0.0,0.0,0.787154
no_regime_ablation,v02_default,0.22,federation_bridge_stress,high_stress,10,23.1,0.221906,0.221906,0.055866,0.044697,0.077883,0.04338,0.0,7.9e-05,0.0,0.0,0.783099
no_regime_ablation,v02_default,0.22,federation_cluster_attack,high_stress,10,24.9,0.221307,0.221307,0.055758,0.044139,0.077941,0.043388,0.0,8.1e-05,0.0,0.0,0.783062
no_regime_ablation,v02_default,0.22,federation_cluster_attack,low_stress,10,20.6,0.223174,0.223174,0.036373,0.079279,0.0,0.106797,0.0,0.000726,0.0,0.0,0.466014
no_regime_ablation,v02_default,0.22,federation_cluster_attack,mid_stress,10,11.6,0.225915,0.225915,0.040551,0.073362,0.0,0.111045,0.0,0.000957,0.0,0.02,0.444772
no_regime_ablation,v02_default,0.22,psi_corruption,high_stress,10,23.6,0.221553,0.221553,0.055485,0.045349,0.077898,0.042744,0.0,7.6e-05,0.0,0.0,0.786279
no_regime_ablation,v02_default,0.22,psi_corruption,low_stress,10,17.4,0.223814,0.223814,0.037742,0.074293,0.0,0.110865,0.0,0.000914,0.0,0.023333,0.445674
no_regime_ablation,v02_default,0.22,psi_corruption,mid_stress,10,9.4,0.228175,0.228175,0.039528,0.073812,0.0,0.113845,0.0,0.00099,0.0,0.023333,0.430776
with_regime_original,stability_heavy,0.3,async_message_loss,high_stress,10,13.6,0.305793,0.290793,0.064697,0.031733,0.073191,0.12085,0.015,0.000322,0.04906,0.0,0.654715
with_regime_original,stability_heavy,0.3,federation_bridge_stress,high_stress,10,8.6,0.304821,0.289821,0.069061,0.029228,0.069751,0.121214,0.015,0.000568,0.049216,0.0,0.653675
with_regime_original,stability_heavy,0.3,federation_cluster_attack,high_stress,10,9.0,0.304019,0.289018,0.069032,0.02657,0.070259,0.122519,0.015,0.000639,0.049346,0.001667,0.649946
with_regime_original,stability_heavy,0.3,federation_cluster_attack,low_stress,10,19.5,0.306529,0.291529,0.031281,0.063682,0.0,0.195709,0.015,0.000857,0.048939,0.011667,0.440831
with_regime_original,stability_heavy,0.3,federation_cluster_attack,mid_stress,10,11.1,0.311221,0.296221,0.034304,0.058764,0.0,0.20209,0.015,0.001064,0.048221,0.076666,0.422601
with_regime_original,stability_heavy,0.3,psi_corruption,high_stress,10,8.7,0.306486,0.291486,0.069907,0.029507,0.070411,0.121048,0.015,0.000613,0.048949,0.0,0.654148
with_regime_original,stability_heavy,0.3,psi_corruption,low_stress,10,17.0,0.304141,0.28914,0.030986,0.059745,0.0,0.197449,0.015,0.00096,0.049323,0.026667,0.435861
with_regime_original,stability_heavy,0.3,psi_corruption,mid_stress,10,9.0,0.315418,0.300418,0.033367,0.059184,0.0,0.206764,0.015,0.001103,0.047575,0.058333,0.409247
