variant,weight_profile,psi_threshold,detected_tpr,on_time_tpr,missed_rate,false_positive_rate,avg_lead_steps,median_lead_steps,accepted_candidate
with_regime_original,v02_default,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.2,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.22,1.0,1.0,0.0,1.0,52.1625,57.0,0
with_regime_original,v02_default,0.24,1.0,1.0,0.0,0.0,16.9875,17.0,1
with_regime_original,v02_default,0.26,1.0,1.0,0.0,0.0,13.3625,13.0,1
with_regime_original,v02_default,0.28,1.0,1.0,0.0,0.0,11.1875,10.0,1
with_regime_original,v02_default,0.3,1.0,1.0,0.0,0.0,9.3625,8.0,1
with_regime_original,v02_default,0.32,1.0,1.0,0.0,0.0,7.325,7.0,1
with_regime_original,v02_default,0.34,1.0,1.0,0.0,0.0,6.4875,6.0,1
with_regime_original,v02_default,0.36,1.0,1.0,0.0,0.0,5.625,5.0,1
with_regime_original,v02_default,0.38,1.0,0.9125,0.0,0.0,2.616438,2.0,1
with_regime_original,v02_default,0.4,0.875,0.5,0.125,0.0,3.05,2.0,0
with_regime_original,v02_default,0.42,0.75,0.5,0.25,0.0,2.2,2.0,0
with_regime_original,v02_default,0.44,0.75,0.5,0.25,0.0,1.675,1.0,0
with_regime_original,v02_default,0.46,0.75,0.5,0.25,0.0,1.3,1.0,0
with_regime_original,v02_default,0.48,0.75,0.5,0.25,0.0,0.975,1.0,0
with_regime_original,v02_default,0.5,0.75,0.425,0.25,0.0,0.647059,0.0,0
with_regime_original,v02_default,0.52,0.7,0.275,0.3,0.0,0.772727,0.0,0
with_regime_original,v02_default,0.54,0.5,0.175,0.5,0.0,0.571429,0.0,0
with_regime_original,v02_default,0.56,0.5,0.0875,0.5,0.0,0.142857,0.0,0
with_regime_original,v02_default,0.58,0.5,0.0125,0.5,0.0,0.0,0.0,0
with_regime_original,v02_default,0.6,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,v02_default,0.1,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.12,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.14,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.16,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.18,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.2,1.0,1.0,0.0,1.0,52.1625,57.0,0
no_regime_ablation,v02_default,0.22,1.0,1.0,0.0,0.0,20.25,21.0,1
no_regime_ablation,v02_default,0.24,1.0,1.0,0.0,0.0,14.0375,14.0,1
no_regime_ablation,v02_default,0.26,1.0,1.0,0.0,0.0,11.6625,11.0,1
no_regime_ablation,v02_default,0.28,1.0,1.0,0.0,0.0,9.725,9.0,1
no_regime_ablation,v02_default,0.3,1.0,1.0,0.0,0.0,7.05,7.0,1
no_regime_ablation,v02_default,0.32,1.0,0.7125,0.0,0.0,4.894737,5.0,0
no_regime_ablation,v02_default,0.34,0.875,0.5,0.125,0.0,5.525,5.0,0
no_regime_ablation,v02_default,0.36,0.75,0.5,0.25,0.0,4.275,4.0,0
no_regime_ablation,v02_default,0.38,0.75,0.5,0.25,0.0,3.275,3.0,0
no_regime_ablation,v02_default,0.4,0.75,0.5,0.25,0.0,2.275,2.0,0
no_regime_ablation,v02_default,0.42,0.75,0.4875,0.25,0.0,1.461538,1.0,0
no_regime_ablation,v02_default,0.44,0.75,0.3875,0.25,0.0,1.064516,0.0,0
no_regime_ablation,v02_default,0.46,0.625,0.2,0.375,0.0,0.9375,1.0,0
no_regime_ablation,v02_default,0.48,0.5,0.1125,0.5,0.0,0.777778,1.0,0
no_regime_ablation,v02_default,0.5,0.5,0.05,0.5,0.0,0.0,0.0,0
no_regime_ablation,v02_default,0.52,0.5,0.0,0.5,0.0,0.0,0.0,0
no_regime_ablation,v02_default,0.54,0.5,0.0,0.5,0.0,0.0,0.0,0
