scenario,profile,run_index,seed,detect_step,collapse30_event_step,lead_steps,psi_extended_at_detect,psi_term_regime_at_detect,collapse_share_at_detect,S_network_at_detect,cluster_variance_at_detect,trigger_A_source_at_detect
federation_cluster_attack,low_stress,0,9330,80,99,19,0.306329,0.0,0.016667,0.39871,0.009801,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,1,9331,79,98,19,0.301103,0.0,0.016667,0.414484,0.010803,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,2,9332,79,97,18,0.300794,0.0,0.016667,0.417309,0.009397,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,3,9333,79,98,19,0.301351,0.0,0.033333,0.415076,0.010344,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,4,9334,78,98,20,0.305263,0.0,0.016667,0.412827,0.009643,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,5,9335,79,98,19,0.302525,0.0,0.016667,0.421911,0.008297,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,6,9336,79,98,19,0.309523,0.0,0.066667,0.399062,0.013032,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,7,9337,79,97,18,0.302291,0.0,0.016667,0.415125,0.009713,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,8,9338,80,95,15,0.311247,0.0,0.05,0.398149,0.00879,C07_PSI_EXTENDED
federation_cluster_attack,low_stress,9,9339,78,93,15,0.304032,0.0,0.033333,0.416732,0.008453,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,0,9340,55,67,12,0.305699,0.0,0.116667,0.407067,0.011473,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,1,9341,56,66,10,0.318618,0.0,0.166667,0.371493,0.014393,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,2,9342,55,62,7,0.307198,0.0,0.133333,0.399041,0.010142,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,3,9343,55,61,6,0.316839,0.0,0.2,0.384135,0.010241,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,4,9344,55,65,10,0.308502,0.0,0.133333,0.402183,0.011104,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,5,9345,55,65,10,0.309743,0.0,0.166667,0.39346,0.013219,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,6,9346,55,67,12,0.302849,0.0,0.15,0.409469,0.014393,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,7,9347,55,66,11,0.306441,0.0,0.133333,0.400835,0.011616,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,8,9348,56,66,10,0.318643,0.0,0.133333,0.368227,0.012593,C07_PSI_EXTENDED
federation_cluster_attack,mid_stress,9,9349,60,67,7,0.318163,0.0,0.066667,0.376593,0.014047,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,0,9350,19,27,8,0.300745,0.0,0.0,0.643871,0.006634,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,1,9351,18,25,7,0.307566,0.0,0.0,0.634402,0.006258,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,2,9352,19,27,8,0.305369,0.0,0.016667,0.635972,0.009672,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,3,9353,17,26,9,0.300095,0.0,0.0,0.626526,0.008678,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,4,9354,19,27,8,0.303331,0.0,0.0,0.631359,0.007299,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,5,9355,18,26,8,0.306473,0.0,0.016667,0.626109,0.008649,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,6,9356,19,27,8,0.304468,0.0,0.016667,0.632943,0.008089,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,7,9357,18,27,9,0.312819,0.0,0.0,0.601282,0.008967,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,8,9358,17,25,8,0.301273,0.0,0.0,0.638177,0.004835,C07_PSI_EXTENDED
federation_cluster_attack,high_stress,9,9359,20,28,8,0.312015,0.0,0.0,0.617741,0.007791,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,0,9380,18,26,8,0.307846,0.0,0.0,0.636671,0.00592,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,1,9381,17,25,8,0.302059,0.0,0.0,0.627309,0.006414,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,2,9382,18,25,7,0.313248,0.0,0.0,0.621905,0.009711,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,3,9383,18,26,8,0.3125,0.0,0.0,0.621816,0.007037,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,4,9384,16,25,9,0.30224,0.0,0.0,0.628451,0.004752,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,5,9385,17,26,9,0.301187,0.0,0.0,0.638234,0.006463,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,6,9386,20,27,7,0.313774,0.0,0.0,0.631765,0.006934,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,7,9387,18,26,8,0.3154,0.0,0.0,0.606015,0.008872,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,8,9388,17,24,7,0.310035,0.0,0.0,0.628897,0.01089,C07_PSI_EXTENDED
federation_bridge_stress,high_stress,9,9389,17,25,8,0.30284,0.0,0.0,0.638663,0.005798,C07_PSI_EXTENDED
psi_corruption,low_stress,0,9660,83,86,3,0.302777,0.0,0.25,0.204395,0.008517,C07_PSI_EXTENDED
psi_corruption,low_stress,1,9661,80,85,5,0.300302,0.0,0.25,0.213576,0.013613,C07_PSI_EXTENDED
psi_corruption,low_stress,2,9662,77,80,3,0.301472,0.0,0.283333,0.225202,0.010888,C07_PSI_EXTENDED
psi_corruption,low_stress,3,9663,82,86,4,0.300153,0.0,0.2,0.206053,0.011129,C07_PSI_EXTENDED
psi_corruption,low_stress,4,9664,82,87,5,0.302269,0.0,0.233333,0.205983,0.012059,C07_PSI_EXTENDED
psi_corruption,low_stress,5,9665,83,88,5,0.301597,0.0,0.216667,0.204054,0.011486,C07_PSI_EXTENDED
psi_corruption,low_stress,6,9666,82,87,5,0.301897,0.0,0.233333,0.207298,0.012297,C07_PSI_EXTENDED
psi_corruption,low_stress,7,9667,80,82,2,0.302029,0.0,0.266667,0.212633,0.010212,C07_PSI_EXTENDED
psi_corruption,low_stress,8,9668,81,82,1,0.30044,0.0,0.25,0.211581,0.007862,C07_PSI_EXTENDED
psi_corruption,low_stress,9,9669,80,86,6,0.300289,0.0,0.233333,0.216849,0.011732,C07_PSI_EXTENDED
psi_corruption,mid_stress,0,9670,57,61,4,0.300268,0.0,0.266667,0.210156,0.011468,C07_PSI_EXTENDED
psi_corruption,mid_stress,1,9671,57,57,0,0.301266,0.0,0.3,0.212878,0.005722,C07_PSI_EXTENDED
psi_corruption,mid_stress,2,9672,59,60,1,0.302819,0.0,0.25,0.205713,0.007114,C07_PSI_EXTENDED
psi_corruption,mid_stress,3,9673,59,59,0,0.306055,0.0,0.3,0.203941,0.007121,C07_PSI_EXTENDED
psi_corruption,mid_stress,4,9674,57,61,4,0.301918,0.0,0.266667,0.210277,0.011541,C07_PSI_EXTENDED
psi_corruption,mid_stress,5,9675,56,58,2,0.305581,0.0,0.266667,0.211309,0.009871,C07_PSI_EXTENDED
psi_corruption,mid_stress,6,9676,57,60,3,0.301067,0.0,0.233333,0.208328,0.012489,C07_PSI_EXTENDED
psi_corruption,mid_stress,7,9677,57,60,3,0.301424,0.0,0.266667,0.210104,0.010359,C07_PSI_EXTENDED
psi_corruption,mid_stress,8,9678,57,60,3,0.303735,0.0,0.283333,0.210642,0.007986,C07_PSI_EXTENDED
psi_corruption,mid_stress,9,9679,57,61,4,0.303338,0.0,0.25,0.205212,0.014267,C07_PSI_EXTENDED
psi_corruption,high_stress,0,9680,23,25,2,0.323042,0.0,0.233333,0.452101,0.038328,C07_PSI_EXTENDED
psi_corruption,high_stress,1,9681,23,25,2,0.300499,0.0,0.2,0.483449,0.027782,C07_PSI_EXTENDED
psi_corruption,high_stress,2,9682,22,24,2,0.304396,0.0,0.183333,0.48484,0.026145,C07_PSI_EXTENDED
psi_corruption,high_stress,3,9683,22,24,2,0.310106,0.0,0.166667,0.466408,0.023574,C07_PSI_EXTENDED
psi_corruption,high_stress,4,9684,25,28,3,0.321147,0.0,0.133333,0.437872,0.023964,C07_PSI_EXTENDED
psi_corruption,high_stress,5,9685,22,23,1,0.319117,0.0,0.216667,0.451602,0.022329,C07_PSI_EXTENDED
psi_corruption,high_stress,6,9686,23,25,2,0.310026,0.0,0.233333,0.488356,0.031383,C07_PSI_EXTENDED
psi_corruption,high_stress,7,9687,22,24,2,0.319519,0.0,0.166667,0.443585,0.022829,C07_PSI_EXTENDED
psi_corruption,high_stress,8,9688,24,27,3,0.311409,0.0,0.15,0.456597,0.021603,C07_PSI_EXTENDED
psi_corruption,high_stress,9,9689,23,24,1,0.323243,0.0,0.266667,0.438394,0.026196,C07_PSI_EXTENDED
async_message_loss,high_stress,0,9710,19,30,11,0.307654,0.0,0.0,0.633084,0.004004,C07_PSI_EXTENDED
async_message_loss,high_stress,1,9711,19,32,13,0.302605,0.0,0.0,0.637094,0.001914,C07_PSI_EXTENDED
async_message_loss,high_stress,2,9712,20,31,11,0.305888,0.0,0.0,0.627143,0.003118,C07_PSI_EXTENDED
async_message_loss,high_stress,3,9713,20,31,11,0.308203,0.0,0.0,0.630125,0.00349,C07_PSI_EXTENDED
async_message_loss,high_stress,4,9714,18,30,12,0.302256,0.0,0.0,0.630876,0.003959,C07_PSI_EXTENDED
async_message_loss,high_stress,5,9715,20,33,13,0.30359,0.0,0.0,0.634293,0.00283,C07_PSI_EXTENDED
async_message_loss,high_stress,6,9716,20,32,12,0.311067,0.0,0.0,0.632031,0.004092,C07_PSI_EXTENDED
async_message_loss,high_stress,7,9717,19,32,13,0.300796,0.0,0.0,0.63904,0.005123,C07_PSI_EXTENDED
async_message_loss,high_stress,8,9718,18,30,12,0.306125,0.0,0.0,0.625706,0.005705,C07_PSI_EXTENDED
async_message_loss,high_stress,9,9719,21,33,12,0.306256,0.0,0.0,0.628921,0.004342,C07_PSI_EXTENDED
