scenario,profile,run_index,seed,collapse_share_peak,collapse30_event_first_step,trigger_A_first_step,trigger_A_source,trigger_A_lead_to_collapse30,trigger_A_before_collapse30,trigger_A_false_positive_no_collapse30,psi_threshold,psi_weight_profile,psi_w_t,psi_w_d,psi_w_g,psi_w_s,psi_w_regime
federation_cluster_attack,low_stress,0,9330,0.333333,99,80,C07_PSI_EXTENDED,19,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,1,9331,0.333333,98,79,C07_PSI_EXTENDED,19,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,2,9332,0.333333,97,79,C07_PSI_EXTENDED,18,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,3,9333,0.333333,98,79,C07_PSI_EXTENDED,19,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,4,9334,0.333333,98,78,C07_PSI_EXTENDED,20,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,5,9335,0.333333,98,79,C07_PSI_EXTENDED,19,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,6,9336,0.333333,98,79,C07_PSI_EXTENDED,19,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,7,9337,0.333333,97,79,C07_PSI_EXTENDED,18,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,8,9338,0.333333,95,80,C07_PSI_EXTENDED,15,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,low_stress,9,9339,0.333333,93,78,C07_PSI_EXTENDED,15,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,0,9340,0.333333,67,55,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,1,9341,0.333333,66,56,C07_PSI_EXTENDED,10,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,2,9342,0.333333,62,55,C07_PSI_EXTENDED,7,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,3,9343,0.333333,61,55,C07_PSI_EXTENDED,6,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,4,9344,0.333333,65,55,C07_PSI_EXTENDED,10,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,5,9345,0.333333,65,55,C07_PSI_EXTENDED,10,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,6,9346,0.333333,67,55,C07_PSI_EXTENDED,12,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,7,9347,0.333333,66,55,C07_PSI_EXTENDED,11,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
federation_cluster_attack,mid_stress,8,9348,0.333333,66,56,C07_PSI_EXTENDED,10,1,0,0.3,stability_heavy_no_regime,0.2,0.2,0.15,0.35,0.0
