scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
ring_baseline,low_stress,0,9300,ring_mesh,0,,,,0.3
ring_baseline,low_stress,1,9301,ring_mesh,0,,,,0.3
ring_baseline,low_stress,2,9302,ring_mesh,0,,,,0.3
ring_baseline,low_stress,3,9303,ring_mesh,0,,,,0.3
ring_baseline,low_stress,4,9304,ring_mesh,0,,,,0.3
ring_baseline,low_stress,5,9305,ring_mesh,0,,,,0.3
ring_baseline,low_stress,6,9306,ring_mesh,0,,,,0.3
ring_baseline,low_stress,7,9307,ring_mesh,0,,,,0.3
ring_baseline,low_stress,8,9308,ring_mesh,0,,,,0.3
ring_baseline,low_stress,9,9309,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,0,9310,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,1,9311,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,2,9312,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,3,9313,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,4,9314,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,5,9315,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,6,9316,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,7,9317,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,8,9318,ring_mesh,0,,,,0.3
ring_baseline,mid_stress,9,9319,ring_mesh,0,,,,0.3
ring_baseline,high_stress,0,9320,ring_mesh,121,39,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,1,9321,ring_mesh,122,38,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,2,9322,ring_mesh,122,38,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,3,9323,ring_mesh,121,39,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,4,9324,ring_mesh,121,39,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,5,9325,ring_mesh,124,36,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,6,9326,ring_mesh,122,38,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,7,9327,ring_mesh,123,37,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,8,9328,ring_mesh,124,36,C04_S_THRESHOLD,,0.3
ring_baseline,high_stress,9,9329,ring_mesh,120,40,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,0,9390,star,104,56,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,1,9391,star,101,59,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,2,9392,star,98,62,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,3,9393,star,104,56,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,4,9394,star,93,67,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,5,9395,star,107,53,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,6,9396,star,106,54,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,7,9397,star,104,56,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,8,9398,star,95,65,C04_S_THRESHOLD,,0.3
star_unsafe_reference,low_stress,9,9399,star,91,69,C04_S_THRESHOLD,,0.3
