scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,S_network,cluster_variance,max_cluster_collapse_share,trigger_A,trigger_A_source,message_loss,phase_divergence
psi_corruption,mid_stress,1,9671,54,57,57,0,0.281875,0.0,0.018578,0.036813,0.00105,0.223936,0.001498,0.166667,0.240183,0.014976,0.5,0,,0.14,0.257286
psi_corruption,mid_stress,1,9671,55,57,57,0,0.288192,0.0,0.020316,0.03701,0.002249,0.227391,0.001226,0.166667,0.230312,0.01226,0.5,0,,0.14,0.21581
psi_corruption,mid_stress,1,9671,56,57,57,0,0.294987,0.0,0.022415,0.03734,0.003593,0.230715,0.000924,0.233333,0.220815,0.009237,0.7,0,,0.14,0.216221
psi_corruption,mid_stress,1,9671,57,57,57,0,0.301266,0.0,0.024581,0.037507,0.005113,0.233493,0.000572,0.3,0.212878,0.005722,0.9,1,C07_PSI_EXTENDED,0.14,0.259926
psi_corruption,mid_stress,1,9671,58,57,57,0,0.303935,0.0,0.02675,0.03752,0.004109,0.235159,0.000398,0.316667,0.208117,0.003975,0.95,1,C07_PSI_EXTENDED,0.14,0.210434
psi_corruption,mid_stress,1,9671,59,57,57,0,0.306457,0.0,0.028487,0.037506,0.003334,0.236814,0.000317,0.316667,0.20339,0.003169,0.95,1,C07_PSI_EXTENDED,0.14,0.220409
psi_corruption,mid_stress,1,9671,60,57,57,0,0.310768,0.0,0.030842,0.037606,0.002743,0.23944,0.000137,0.333333,0.195886,0.001372,1.0,1,C07_PSI_EXTENDED,0.14,0.257286
psi_corruption,mid_stress,3,9673,56,59,59,0,0.290368,0.0,0.018236,0.038367,0.001975,0.230333,0.001457,0.183333,0.221907,0.014573,0.55,0,,0.14,0.19347
psi_corruption,mid_stress,3,9673,57,59,59,0,0.295814,0.0,0.019532,0.038602,0.003123,0.233285,0.001273,0.216667,0.213471,0.012729,0.65,0,,0.14,0.213202
psi_corruption,mid_stress,3,9673,58,59,59,0,0.299934,0.0,0.020418,0.038877,0.004375,0.234956,0.001308,0.216667,0.208697,0.013082,0.65,0,,0.14,0.290421
psi_corruption,mid_stress,3,9673,59,59,59,0,0.306055,0.0,0.02405,0.038986,0.005687,0.236621,0.000712,0.3,0.203941,0.007121,0.9,1,C07_PSI_EXTENDED,0.14,0.237317
psi_corruption,mid_stress,3,9673,60,59,59,0,0.30907,0.0,0.025067,0.039096,0.00462,0.239634,0.000654,0.316667,0.195332,0.00654,0.95,1,C07_PSI_EXTENDED,0.14,0.180256
psi_corruption,mid_stress,3,9673,61,59,59,0,0.310346,0.0,0.025644,0.039068,0.003672,0.241272,0.00069,0.316667,0.190651,0.006901,0.95,1,C07_PSI_EXTENDED,0.14,0.291058
psi_corruption,mid_stress,3,9673,62,59,59,0,0.313774,0.0,0.028464,0.039341,0.002801,0.242902,0.000267,0.333333,0.185995,0.002667,1.0,1,C07_PSI_EXTENDED,0.14,0.19347
psi_corruption,high_stress,5,9685,19,22,23,1,0.247126,0.0,0.05659,0.006731,0.069837,0.112828,0.00114,0.016667,0.557633,0.011397,0.05,0,,0.17,0.23007
psi_corruption,high_stress,5,9685,20,22,23,1,0.267782,0.0,0.063493,0.006547,0.073695,0.122613,0.001435,0.05,0.529679,0.014347,0.1,0,,0.17,0.233911
psi_corruption,high_stress,5,9685,21,22,23,1,0.292437,0.0,0.070835,0.006335,0.077888,0.135564,0.001814,0.133333,0.492673,0.018137,0.25,0,,0.17,0.219145
psi_corruption,high_stress,5,9685,22,22,23,1,0.319117,0.0,0.078671,0.005873,0.0824,0.149939,0.002233,0.216667,0.451602,0.022329,0.4,1,C07_PSI_EXTENDED,0.17,0.225856
psi_corruption,high_stress,5,9685,23,22,23,1,0.345394,0.0,0.087085,0.005454,0.084512,0.165599,0.002745,0.35,0.406861,0.027447,0.55,1,C07_PSI_EXTENDED,0.17,0.237983
psi_corruption,high_stress,5,9685,24,22,23,1,0.372931,0.0,0.096093,0.005086,0.087083,0.181629,0.00304,0.416667,0.361059,0.030401,0.7,1,C07_PSI_EXTENDED,0.17,0.214069
psi_corruption,high_stress,5,9685,25,22,23,1,0.394438,0.0,0.104274,0.004956,0.090101,0.191648,0.00346,0.466667,0.332436,0.034599,0.75,1,C07_PSI_EXTENDED,0.17,0.23007
psi_corruption,high_stress,5,9685,26,22,23,1,0.408887,0.0,0.112702,0.004837,0.093453,0.194265,0.003629,0.533333,0.324956,0.036292,0.75,1,C07_PSI_EXTENDED,0.17,0.233911
psi_corruption,high_stress,9,9689,20,23,24,1,0.25632,0.0,0.055447,0.006679,0.071296,0.121597,0.001302,0.016667,0.532581,0.013018,0.05,0,,0.17,0.247144
psi_corruption,high_stress,9,9689,21,23,24,1,0.279787,0.0,0.061821,0.006817,0.074995,0.134533,0.001621,0.083333,0.495619,0.016212,0.2,0,,0.17,0.248126
psi_corruption,high_stress,9,9689,22,23,24,1,0.296851,0.0,0.068954,0.006702,0.078994,0.140205,0.001996,0.166667,0.479416,0.019963,0.3,0,,0.17,0.230673
psi_corruption,high_stress,9,9689,23,23,24,1,0.323243,0.0,0.076225,0.006529,0.083306,0.154562,0.00262,0.266667,0.438394,0.026196,0.4,1,C07_PSI_EXTENDED,0.17,0.254754
psi_corruption,high_stress,9,9689,24,23,24,1,0.344724,0.0,0.084663,0.006527,0.085191,0.165244,0.003099,0.3,0.407873,0.030989,0.4,1,C07_PSI_EXTENDED,0.17,0.238566
psi_corruption,high_stress,9,9689,25,23,24,1,0.370897,0.0,0.092356,0.006559,0.08755,0.181064,0.003367,0.383333,0.362674,0.033674,0.55,1,C07_PSI_EXTENDED,0.17,0.240547
psi_corruption,high_stress,9,9689,26,23,24,1,0.393979,0.0,0.099656,0.006517,0.090281,0.19384,0.003686,0.383333,0.326173,0.036859,0.55,1,C07_PSI_EXTENDED,0.17,0.247144
psi_corruption,high_stress,9,9689,27,23,24,1,0.407751,0.0,0.106062,0.006419,0.093311,0.198455,0.003505,0.433333,0.312987,0.035045,0.6,1,C07_PSI_EXTENDED,0.17,0.248126
async_message_loss,high_stress,0,9710,16,19,30,11,0.276011,0.0,0.061491,0.031379,0.070437,0.112464,0.00024,0.0,0.678674,0.002399,0.0,0,,0.31,0.300547
async_message_loss,high_stress,0,9710,17,19,30,11,0.285711,0.0,0.064347,0.031091,0.072774,0.117214,0.000285,0.0,0.665103,0.002853,0.0,0,,0.31,0.250406
async_message_loss,high_stress,0,9710,18,19,30,11,0.294587,0.0,0.066037,0.031291,0.075366,0.121568,0.000326,0.0,0.652664,0.003261,0.0,0,,0.31,0.247087
async_message_loss,high_stress,0,9710,19,19,30,11,0.307654,0.0,0.06934,0.031384,0.078109,0.128421,0.0004,0.0,0.633084,0.004004,0.0,1,C07_PSI_EXTENDED,0.31,0.299064
