batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,52,57,57,0,federation,federation,0.233626,0.009041,0.036272,0.0,0.187162,0.001151,0.0,0.166667,0.345253,0.011514,0,
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,53,57,57,0,federation,federation,0.260145,0.013937,0.036645,0.000289,0.20772,0.001554,0.0,0.166667,0.286514,0.015543,0,
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,54,57,57,0,federation,federation,0.281875,0.018578,0.036813,0.00105,0.223936,0.001498,0.0,0.166667,0.240183,0.014976,0,
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,55,57,57,0,federation,federation,0.288192,0.020316,0.03701,0.002249,0.227391,0.001226,0.0,0.166667,0.230312,0.01226,0,
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,56,57,57,0,federation,federation,0.294987,0.022415,0.03734,0.003593,0.230715,0.000924,0.0,0.233333,0.220815,0.009237,0,
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,57,57,57,0,federation,federation,0.301266,0.024581,0.037507,0.005113,0.233493,0.000572,0.0,0.3,0.212878,0.005722,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,58,57,57,0,federation,federation,0.303935,0.02675,0.03752,0.004109,0.235159,0.000398,0.0,0.316667,0.208117,0.003975,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,59,57,57,0,federation,federation,0.306457,0.028487,0.037506,0.003334,0.236814,0.000317,0.0,0.316667,0.20339,0.003169,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,60,57,57,0,federation,federation,0.310768,0.030842,0.037606,0.002743,0.23944,0.000137,0.0,0.333333,0.195886,0.001372,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,61,57,57,0,federation,federation,0.313764,0.031602,0.037807,0.002393,0.241831,0.00013,0.0,0.333333,0.189054,0.001297,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,1,9671,62,57,57,0,federation,federation,0.315657,0.031712,0.038229,0.002125,0.243462,0.00013,0.0,0.333333,0.184394,0.0013,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,54,59,59,0,federation,federation,0.278274,0.013745,0.038225,0.00041,0.223655,0.002239,0.0,0.15,0.240986,0.022392,0,
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,55,59,59,0,federation,federation,0.283488,0.01474,0.038388,0.00115,0.227018,0.002191,0.0,0.15,0.231378,0.021913,0,
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,56,59,59,0,federation,federation,0.290368,0.018236,0.038367,0.001975,0.230333,0.001457,0.0,0.183333,0.221907,0.014573,0,
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,57,59,59,0,federation,federation,0.295814,0.019532,0.038602,0.003123,0.233285,0.001273,0.0,0.216667,0.213471,0.012729,0,
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,58,59,59,0,federation,federation,0.299934,0.020418,0.038877,0.004375,0.234956,0.001308,0.0,0.216667,0.208697,0.013082,0,
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,59,59,59,0,federation,federation,0.306055,0.02405,0.038986,0.005687,0.236621,0.000712,0.0,0.3,0.203941,0.007121,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,60,59,59,0,federation,federation,0.30907,0.025067,0.039096,0.00462,0.239634,0.000654,0.0,0.316667,0.195332,0.00654,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,61,59,59,0,federation,federation,0.310346,0.025644,0.039068,0.003672,0.241272,0.00069,0.0,0.316667,0.190651,0.006901,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,62,59,59,0,federation,federation,0.313774,0.028464,0.039341,0.002801,0.242902,0.000267,0.0,0.333333,0.185995,0.002667,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,63,59,59,0,federation,federation,0.315091,0.028931,0.039214,0.00222,0.244528,0.000198,0.0,0.333333,0.181348,0.001982,1,C07_PSI_EXTENDED
grand_sim_v0_5,psi_corruption,mid_stress,3,9673,64,59,59,0,federation,federation,0.315944,0.028931,0.038968,0.001698,0.24615,0.000198,0.0,0.333333,0.176716,0.001982,1,C07_PSI_EXTENDED
