batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,max_cluster_collapse_share,S_network,cluster_variance,trigger_A,trigger_A_source,message_loss,false_stability
grand_sim_v0_5,psi_corruption,high_stress,5,9685,20,22,23,1,0.267782,0.0,0.063493,0.006547,0.073695,0.122613,0.001435,0.05,0.1,0.529679,0.014347,0,,0.17,0
grand_sim_v0_5,psi_corruption,high_stress,5,9685,21,22,23,1,0.292437,0.0,0.070835,0.006335,0.077888,0.135564,0.001814,0.133333,0.25,0.492673,0.018137,0,,0.17,0
grand_sim_v0_5,psi_corruption,high_stress,5,9685,22,22,23,1,0.319117,0.0,0.078671,0.005873,0.0824,0.149939,0.002233,0.216667,0.4,0.451602,0.022329,1,C07_PSI_EXTENDED,0.17,0
grand_sim_v0_5,psi_corruption,high_stress,5,9685,23,22,23,1,0.345394,0.0,0.087085,0.005454,0.084512,0.165599,0.002745,0.35,0.55,0.406861,0.027447,1,C07_PSI_EXTENDED,0.17,0
grand_sim_v0_5,psi_corruption,high_stress,5,9685,24,22,23,1,0.372931,0.0,0.096093,0.005086,0.087083,0.181629,0.00304,0.416667,0.7,0.361059,0.030401,1,C07_PSI_EXTENDED,0.17,0
grand_sim_v0_5,psi_corruption,high_stress,5,9685,25,22,23,1,0.394438,0.0,0.104274,0.004956,0.090101,0.191648,0.00346,0.466667,0.75,0.332436,0.034599,1,C07_PSI_EXTENDED,0.17,0
grand_sim_v0_5,psi_corruption,low_stress,8,9668,79,81,82,1,0.295092,0.0,0.021237,0.042033,0.0,0.230734,0.001087,0.216667,0.65,0.220759,0.01087,0,,0.11,0
grand_sim_v0_5,psi_corruption,low_stress,8,9668,80,81,82,1,0.297903,0.0,0.0224,0.042157,0.0,0.23241,0.000937,0.25,0.75,0.215971,0.009365,0,,0.11,0
grand_sim_v0_5,psi_corruption,low_stress,8,9668,81,81,82,1,0.30044,0.0,0.023363,0.042344,0.0,0.233947,0.000786,0.25,0.75,0.211581,0.007862,1,C07_PSI_EXTENDED,0.11,0
grand_sim_v0_5,psi_corruption,low_stress,8,9668,82,81,82,1,0.303428,0.0,0.024839,0.042545,0.0,0.23544,0.000604,0.3,0.9,0.207314,0.00604,1,C07_PSI_EXTENDED,0.11,0
grand_sim_v0_5,psi_corruption,low_stress,8,9668,83,81,82,1,0.305806,0.0,0.025585,0.042846,0.0,0.236813,0.000561,0.3,0.9,0.203392,0.005613,1,C07_PSI_EXTENDED,0.11,0
