batch_id,psi_threshold,scenario,profile,runs,positive_runs,on_time_detections,false_positive_runs,on_time_tpr,false_positive_rate,avg_lead
grand_sim_v0_5,0.26,async_message_loss,high_stress,10,10,10,0,1.0,0.0,16.3
grand_sim_v0_5,0.26,async_message_loss,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.26,async_message_loss,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.26,federation_bridge_stress,high_stress,10,10,10,0,1.0,0.0,11.5
grand_sim_v0_5,0.26,federation_bridge_stress,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.26,federation_bridge_stress,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.26,federation_cluster_attack,high_stress,10,10,10,0,1.0,0.0,11.6
grand_sim_v0_5,0.26,federation_cluster_attack,low_stress,10,10,10,0,1.0,0.0,21.8
grand_sim_v0_5,0.26,federation_cluster_attack,mid_stress,10,10,10,0,1.0,0.0,11.9
grand_sim_v0_5,0.26,psi_corruption,high_stress,10,10,10,0,1.0,0.0,3.9
grand_sim_v0_5,0.26,psi_corruption,low_stress,10,10,10,0,1.0,0.0,10.2
grand_sim_v0_5,0.26,psi_corruption,mid_stress,10,10,10,0,1.0,0.0,6.4
grand_sim_v0_5,0.28,async_message_loss,high_stress,10,10,10,0,1.0,0.0,14.0
grand_sim_v0_5,0.28,async_message_loss,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.28,async_message_loss,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.28,federation_bridge_stress,high_stress,10,10,10,0,1.0,0.0,9.5
grand_sim_v0_5,0.28,federation_bridge_stress,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.28,federation_bridge_stress,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.28,federation_cluster_attack,high_stress,10,10,10,0,1.0,0.0,9.5
grand_sim_v0_5,0.28,federation_cluster_attack,low_stress,10,10,10,0,1.0,0.0,19.9
grand_sim_v0_5,0.28,federation_cluster_attack,mid_stress,10,10,10,0,1.0,0.0,10.6
grand_sim_v0_5,0.28,psi_corruption,high_stress,10,10,10,0,1.0,0.0,3.0
grand_sim_v0_5,0.28,psi_corruption,low_stress,10,10,10,0,1.0,0.0,8.8
grand_sim_v0_5,0.28,psi_corruption,mid_stress,10,10,10,0,1.0,0.0,5.6
grand_sim_v0_5,0.3,async_message_loss,high_stress,10,10,10,0,1.0,0.0,12.0
grand_sim_v0_5,0.3,async_message_loss,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.3,async_message_loss,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.3,federation_bridge_stress,high_stress,10,10,10,0,1.0,0.0,7.9
grand_sim_v0_5,0.3,federation_bridge_stress,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.3,federation_bridge_stress,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.3,federation_cluster_attack,high_stress,10,10,10,0,1.0,0.0,8.1
grand_sim_v0_5,0.3,federation_cluster_attack,low_stress,10,10,10,0,1.0,0.0,18.1
grand_sim_v0_5,0.3,federation_cluster_attack,mid_stress,10,10,10,0,1.0,0.0,9.5
grand_sim_v0_5,0.3,psi_corruption,high_stress,10,10,10,0,1.0,0.0,2.0
grand_sim_v0_5,0.3,psi_corruption,low_stress,10,10,10,0,1.0,0.0,3.9
grand_sim_v0_5,0.3,psi_corruption,mid_stress,10,10,10,0,1.0,0.0,2.4
grand_sim_v0_5,0.32,async_message_loss,high_stress,10,10,10,0,1.0,0.0,10.1
grand_sim_v0_5,0.32,async_message_loss,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.32,async_message_loss,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.32,federation_bridge_stress,high_stress,10,10,10,0,1.0,0.0,6.4
grand_sim_v0_5,0.32,federation_bridge_stress,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.32,federation_bridge_stress,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.32,federation_cluster_attack,high_stress,10,10,10,0,1.0,0.0,6.3
grand_sim_v0_5,0.32,federation_cluster_attack,low_stress,10,10,10,0,1.0,0.0,16.3
grand_sim_v0_5,0.32,federation_cluster_attack,mid_stress,10,10,10,0,1.0,0.0,8.5
grand_sim_v0_5,0.32,psi_corruption,high_stress,10,10,10,0,1.0,0.0,1.3
grand_sim_v0_5,0.32,psi_corruption,low_stress,10,10,0,0,0.0,0.0,
grand_sim_v0_5,0.32,psi_corruption,mid_stress,10,10,0,0,0.0,0.0,
grand_sim_v0_5,0.34,async_message_loss,high_stress,10,10,10,0,1.0,0.0,8.4
grand_sim_v0_5,0.34,async_message_loss,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.34,async_message_loss,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.34,federation_bridge_stress,high_stress,10,10,10,0,1.0,0.0,5.0
grand_sim_v0_5,0.34,federation_bridge_stress,low_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.34,federation_bridge_stress,mid_stress,10,0,0,0,0.0,0.0,
grand_sim_v0_5,0.34,federation_cluster_attack,high_stress,10,10,10,0,1.0,0.0,4.8
grand_sim_v0_5,0.34,federation_cluster_attack,low_stress,10,10,10,0,1.0,0.0,14.4
