scenario,profile,runs,sustained_ignition_rate,avg_peak_collapse,avg_final_S_network,avg_hub_degree_imbalance,avg_min_hub1_S,avg_min_hub2_S,avg_min_hub3_S
hub_2_balanced,low_stress,10,0.0,0.033333,0.3936756,0.0,0.21119910000000003,0.21115270000000003,0.0
hub_2_balanced,mid_stress,10,1.0,1.0,0.1521481,0.0,0.0724734,0.0724095,0.0
hub_2_balanced,high_stress,10,1.0,1.0,0.14779340000000002,0.0,0.0473509,0.047478900000000004,0.0
hub_3_balanced,low_stress,10,0.0,0.05,0.3807586,0.0,0.21158280000000002,0.2114143,0.2115729
hub_3_balanced,mid_stress,10,1.0,0.9983333,0.23857040000000002,0.0,0.10703290000000001,0.10706089999999999,0.10682240000000001
hub_3_balanced,high_stress,10,1.0,1.0,0.1472586,0.0,0.0462303,0.0462302,0.0462719
hub_2_single_hub_failure,low_stress,10,0.0,0.016667,0.4838813,0.0,0.2120094,0.8135074,0.0
hub_2_single_hub_failure,mid_stress,10,1.0,0.5,0.2185597,0.0,0.1099405,0.8156098,0.0
hub_2_single_hub_failure,high_stress,10,1.0,1.0,0.1478016,0.0,0.0480763,0.1462581,0.0
hub_3_single_hub_failure,low_stress,10,0.0,0.016667,0.46189,0.0,0.2138596,0.8193151999999999,0.8229310999999999
hub_3_single_hub_failure,mid_stress,10,0.0,0.11000000000000001,0.3630758,0.0,0.1302184,0.8240527,0.8165694
hub_3_single_hub_failure,high_stress,10,1.0,1.0,0.1479186,0.0,0.0480761,0.14931860000000002,0.1441567
hub_2_unbalanced_primary_failure,low_stress,10,0.0,0.016667,0.4506547,24.0,0.2119608,0.8285024,0.0
hub_2_unbalanced_primary_failure,mid_stress,10,1.0,0.9483332000000001,0.1706918,24.0,0.0941553,0.30176569999999997,0.0
hub_2_unbalanced_primary_failure,high_stress,10,1.0,1.0,0.1458933,24.0,0.0478161,0.1414447,0.0
hub_3_unbalanced_primary_failure,low_stress,10,0.0,0.016667,0.4684216,23.0,0.21383290000000002,0.8211921999999999,0.8272703
hub_3_unbalanced_primary_failure,mid_stress,10,0.1,0.3199999,0.3473633,23.0,0.1266025,0.8184735,0.8128355
hub_3_unbalanced_primary_failure,high_stress,10,1.0,1.0,0.14840409999999998,23.0,0.0478393,0.1462656,0.1460131
hub_3_unbalanced_secondary_failure,low_stress,10,0.0,0.016667,0.4604591,23.0,0.815911,0.2136625,0.8173683
hub_3_unbalanced_secondary_failure,mid_stress,10,0.0,0.10333350000000001,0.3616081,23.0,0.8054463000000001,0.1312953,0.8027459
hub_3_unbalanced_secondary_failure,high_stress,10,1.0,1.0,0.1469856,23.0,0.1457006,0.0478556,0.1454588
