scenario,profile,runs,sustained_ignition_rate,avg_peak_collapse,avg_final_S_network,avg_hub_degree_imbalance,avg_min_hub1_S,avg_min_hub2_S,avg_min_hub3_S
hub_2_balanced,low_stress,10,0.0,0.033333,0.4256232,0.0,0.21129579999999998,0.2112529,0.0
hub_2_balanced,mid_stress,10,1.0,1.0,0.15127580000000002,0.0,0.0728302,0.0727999,0.0
hub_2_balanced,high_stress,10,1.0,1.0,0.14762329999999999,0.0,0.0473789,0.0473523,0.0
hub_3_balanced,low_stress,10,0.0,0.05,0.3735577,0.0,0.21152980000000002,0.21157520000000002,0.2116203
hub_3_balanced,mid_stress,10,1.0,0.9983333,0.23320790000000002,0.0,0.1069979,0.106922,0.10705309999999998
hub_3_balanced,high_stress,10,1.0,1.0,0.1479274,0.0,0.0461416,0.0461831,0.046109899999999995
hub_2_single_hub_failure,low_stress,10,0.0,0.016667,0.4737534,0.0,0.2120864,0.8120912,0.0
hub_2_single_hub_failure,mid_stress,10,1.0,0.5,0.2236352,0.0,0.11011630000000001,0.8086133,0.0
hub_2_single_hub_failure,high_stress,10,1.0,1.0,0.147565,0.0,0.048062900000000006,0.1450014,0.0
hub_3_single_hub_failure,low_stress,10,0.0,0.016667,0.4838846,0.0,0.2138279,0.8161670000000001,0.8216448
hub_3_single_hub_failure,mid_stress,10,0.0,0.1083334,0.3675138,0.0,0.12974829999999998,0.8142726,0.8007872
hub_3_single_hub_failure,high_stress,10,1.0,1.0,0.1505591,0.0,0.048021,0.1476726,0.1493846
hub_2_unbalanced_primary_failure,low_stress,10,0.0,0.016667,0.46244389999999996,24.0,0.21189239999999998,0.8280608,0.0
hub_2_unbalanced_primary_failure,mid_stress,10,1.0,0.9550000000000001,0.1710944,24.0,0.0942276,0.2535866,0.0
hub_2_unbalanced_primary_failure,high_stress,10,1.0,1.0,0.1450452,24.0,0.0478745,0.1457352,0.0
hub_2_unbalanced_secondary_failure,low_stress,10,0.0,0.016667,0.46732779999999996,24.0,0.8196770000000001,0.2116847,0.0
hub_2_unbalanced_secondary_failure,mid_stress,10,0.0,0.3,0.3265586,24.0,0.8173631,0.1146073,0.0
hub_2_unbalanced_secondary_failure,high_stress,10,1.0,1.0,0.14617560000000002,24.0,0.14572210000000002,0.047844700000000004,0.0
hub_3_unbalanced_primary_failure,low_stress,10,0.0,0.016667,0.4639705,23.0,0.21372460000000001,0.8259293,0.8251751
hub_3_unbalanced_primary_failure,mid_stress,10,0.0,0.325,0.3522531,23.0,0.1262828,0.8052021,0.8164047999999999
hub_3_unbalanced_primary_failure,high_stress,10,1.0,1.0,0.14688890000000002,23.0,0.0478478,0.1467064,0.1473148
hub_3_unbalanced_secondary_failure,low_stress,10,0.0,0.016667,0.4703734,23.0,0.8209642,0.21363910000000003,0.8242011
hub_3_unbalanced_secondary_failure,mid_stress,10,0.0,0.0916667,0.36102690000000004,23.0,0.8144334000000001,0.1315859,0.8095762000000001
hub_3_unbalanced_secondary_failure,high_stress,10,1.0,1.0,0.14646189999999998,23.0,0.1463081,0.0476825,0.1428934
