scenario,profile,runs,resource_exhaustion_rate,avg_resource_floor_steps,avg_max_unmet_recovery_demand,avg_max_routing_delay_loss,avg_routing_delay_steps,sustained_ignition_rate,avg_peak_collapse
resource_pressure_mild,low_stress,10,1.0,53.2,0.016749800000000002,0.0,0.0,1.0,1.0
resource_pressure_mild,mid_stress,10,1.0,85.0,0.0169084,0.0,0.0,1.0,1.0
resource_pressure_mild,high_stress,10,1.0,110.0,0.016549,0.0,0.0,1.0,1.0
resource_pressure_mid,low_stress,10,1.0,54.7,0.0189683,0.0,0.0,1.0,1.0
resource_pressure_mid,mid_stress,10,1.0,89.9,0.0191469,0.0,0.0,1.0,1.0
resource_pressure_mid,high_stress,10,1.0,110.5,0.018725,0.0,0.0,1.0,1.0
resource_pressure_harsh,low_stress,10,1.0,91.1,0.0230388,0.0103379,160.0,1.0,1.0
resource_pressure_harsh,mid_stress,10,1.0,106.0,0.022900499999999997,0.010356899999999999,160.0,1.0,1.0
resource_pressure_harsh,high_stress,10,1.0,128.1,0.0230843,0.0104395,160.0,1.0,1.0
resource_budget_shock,low_stress,10,1.0,104.0,0.0251495,0.0,0.0,1.0,1.0
resource_budget_shock,mid_stress,10,1.0,112.6,0.023067999999999998,0.0,0.0,1.0,1.0
resource_budget_shock,high_stress,10,1.0,133.8,0.022868199999999998,0.0,0.0,1.0,1.0
resource_routing_delay,low_stress,10,1.0,91.7,0.0230932,0.0103124,160.0,1.0,1.0
resource_routing_delay,mid_stress,10,1.0,106.0,0.022906799999999998,0.010416,160.0,1.0,1.0
resource_routing_delay,high_stress,10,1.0,127.5,0.023050599999999997,0.0104177,160.0,1.0,1.0
