batch_id,scenario,profile,runs,sustained_ignition_rate,avg_collapse_share_peak,avg_final_T_mean,avg_final_S_network,avg_final_G_effective,avg_trigger_A_count,avg_trigger_B_count,avg_trigger_C_count,avg_false_stability_steps,avg_async_false_stability_steps,avg_topology_wrong_monitoring_steps,avg_topology_false_stability_steps,avg_topology_hidden_collapse_steps,avg_topology_blind_no_trigger_steps,avg_max_wrong_monitoring_window,resource_exhaustion_rate,avg_resource_floor_steps,avg_max_unmet_recovery_demand,avg_max_routing_delay_loss
grand_sim_v0_7,async_message_loss,high_stress,10,1.0,1.0,0.03,0.153394,0.0,141.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,async_message_loss,low_stress,10,0.0,0.1,0.906106,0.972907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,async_message_loss,mid_stress,10,0.0,0.1,0.903353,0.968722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.7,0.004365,0.0
grand_sim_v0_7,federation_bridge_stress,high_stress,10,1.0,1.0,0.03,0.156953,0.0,142.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,federation_bridge_stress,low_stress,10,0.0,0.1,0.903031,0.975381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.5,0.009814,0.0
grand_sim_v0_7,federation_bridge_stress,mid_stress,10,0.0,0.1,0.903,0.972866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.9,0.013648,0.0
grand_sim_v0_7,federation_cluster_attack,high_stress,10,1.0,1.0,0.03,0.159192,0.0,141.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,federation_cluster_attack,low_stress,10,0.0,0.333333,0.676891,0.392565,0.977267,70.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.4,0.003199,0.0
grand_sim_v0_7,federation_cluster_attack,mid_stress,10,0.0,0.333333,0.676667,0.371495,1.0,104.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.8,0.002724,0.0
grand_sim_v0_7,governance_capture,high_stress,10,1.0,1.0,0.03,0.161887,0.0,132.0,0.0,55.3,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,governance_capture,low_stress,10,1.0,1.0,0.03,0.28836,0.0,48.5,0.0,98.2,81.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,governance_capture,mid_stress,10,1.0,1.0,0.03,0.247677,0.0,62.7,0.0,94.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grand_sim_v0_7,hub_2_balanced,high_stress,10,1.0,1.0,0.03,0.147623,0.0,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2,0.001178,0.0
grand_sim_v0_7,hub_2_balanced,low_stress,10,0.0,0.033333,0.972156,0.425623,1.0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,0.003005,0.0
grand_sim_v0_7,hub_2_balanced,mid_stress,10,1.0,1.0,0.03,0.151276,0.0,115.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,38.2,0.001174,0.0
grand_sim_v0_7,hub_2_single_hub_failure,high_stress,10,1.0,1.0,0.03,0.147565,0.0,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,16.6,0.000163,0.0
grand_sim_v0_7,hub_2_single_hub_failure,low_stress,10,0.0,0.016667,0.987103,0.473753,1.0,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
