scenario,profile,runs,avg_reclassification_latency_steps,avg_wrong_monitoring_steps,avg_hidden_collapse_steps,avg_blind_no_trigger_steps,avg_topology_false_stability_steps,max_wrong_monitoring_window,sustained_ignition_rate,avg_peak_collapse
topology_drift,low_stress,10,25.0,25.0,0.0,0.0,0.0,25,0.0,0.016667
topology_drift,mid_stress,10,25.0,25.0,0.0,0.0,0.0,25,1.0,1.0
topology_drift,high_stress,10,25.0,25.0,0.0,0.0,0.0,25,1.0,1.0
topology_lag_centralizing,low_stress,10,50.0,50.0,0.0,0.0,0.0,50,0.0,0.016667
topology_lag_centralizing,mid_stress,10,50.0,50.0,0.0,0.0,0.0,50,1.0,1.0
topology_lag_centralizing,high_stress,10,50.0,50.0,0.0,0.0,0.0,50,1.0,1.0
topology_misclassification_async,low_stress,10,65.0,65.0,0.0,0.0,0.0,65,0.0,0.016667
topology_misclassification_async,mid_stress,10,65.0,65.0,2.2,0.0,0.0,65,1.0,1.0
topology_misclassification_async,high_stress,10,65.0,65.0,0.0,0.0,0.0,65,1.0,1.0
topology_lag_governance_capture,low_stress,10,65.0,65.0,5.2,0.0,0.0,65,1.0,1.0
topology_lag_governance_capture,mid_stress,10,65.0,65.0,7.6,0.0,0.0,65,1.0,1.0
topology_lag_governance_capture,high_stress,10,65.0,65.0,0.0,0.0,0.0,65,1.0,1.0
topology_lag_resource_cascade,low_stress,10,65.0,65.0,6.2,0.0,4.9,65,1.0,1.0
topology_lag_resource_cascade,mid_stress,10,65.0,65.0,0.9,0.0,0.0,65,1.0,1.0
topology_lag_resource_cascade,high_stress,10,65.0,65.0,0.0,0.0,0.0,65,1.0,1.0
topology_lag_identity_shock,low_stress,10,65.0,65.0,0.0,0.0,0.0,65,1.0,0.6833332999999999
topology_lag_identity_shock,mid_stress,10,65.0,65.0,6.7,0.0,0.0,65,1.0,1.0
topology_lag_identity_shock,high_stress,10,65.0,65.0,0.0,0.0,0.0,65,1.0,1.0
