relative_path,bytes,sha256
FILE_MANIFEST.md,2016,fad326845b48d97deb8621f3e520f271d7497719b90cd2a35d2ec625cddff4a2
READ_FIRST_SOE_HOSTILE_REVIEW_SPRINT_PLANNING_PACKET_PATCHED_2026-06-22.md,3086,2e2e54656218812049bba788ae5ac9ac3b6b497359e4aadfcb60c3c5b2b4c015
SEND_TO_MULTI_AI_HOSTILE_SPRINT_PLANNING_REVIEW_PATCHED_2026-06-22.md,2007,97b889260692adc281e4ef48def8a424592e4e99cb9d8c432e292e7142c8e930
SOE_Hostile_Review_Sprint_Planning_Packet_PATCHED_2026-06-22.md,7463,e878adaf76c877f12a2f5b249166c29d476dead27f5e50b9468814dc5a12f2c6
SOE_Hostile_Sprint_C00_C09_Attack_Index_PATCHED_2026-06-22.md,5522,46e0e76bdabc143ca6608ca50434ba8e01d7acd93e5cfa25566bc35c237ee560
SOE_Hostile_Sprint_Exit_And_Reality_Contact_Gate_PATCHED_2026-06-22.md,3265,d5f1c4bebbfc233a92baea4df5b3b70e48f97d0a8cd9632eda9b06b821c13843
SOE_Hostile_Sprint_Output_Schema_And_Tooling_PATCHED_2026-06-22.md,4067,e487d46a46f63a2bc763f85f30f157da866955bd646c99d4a40f34449b69eec1
SOE_Hostile_Sprint_Review_Disposition_PATCHED_2026-06-22.md,2661,96e52847d572adce856634c2eaadfb5a39abfd566d854b788f5bb598511e5cdb
SOE_Hostile_Sprint_Wave_And_Role_Matrix_PATCHED_2026-06-22.md,4428,0acfcd4dc8536ae6bfd0c9f2eb7fd660137a62f77ea5fc5f0006f5f8f8bc5e6f
source_context/accepted_prep_package_key_files/READ_FIRST_SOE_HOSTILE_REVIEW_PREP_PACKAGE_2026-06-18.md,2947,9f1b290ed655e216350cbf2fdd785ecb93b87263386fa6175353be7fea9a64c6
source_context/accepted_prep_package_key_files/SEND_TO_MULTI_AI_HOSTILE_REVIEW_PREP_PROMPT_2026-06-18.md,1378,ee1a5ff0e54e947a022cc3762752d8e57760705a3d31583acd113cc6d848b371
source_context/accepted_prep_package_key_files/SOE_Adversary_Model_And_Test_Families_2026-06-18.md,15968,e6ecb895e53876dcc028bc64db5b5512041eb60c4f43c0d1dc563d4e2e31fba2
source_context/accepted_prep_package_key_files/SOE_Hostile_Review_AI_Prompt_2026-06-18.md,3986,c95b22de72a85aa8f1d24b47a1a49f8a63970ff6b35442740b5d6bd36163f462
source_context/accepted_prep_package_key_files/SOE_Hostile_Review_Flaw_Taxonomy_And_Verdicts_2026-06-18.md,3980,e957b778c9161fc0f2e430623962aac757d941a833af6985d771268be79ad544
source_context/accepted_prep_package_key_files/SOE_Hostile_Review_Patch_Response_2026-06-18.md,3464,44de7a6bae62c2f79efc44a5e36b5788685761bfe740eca184ae20e5298a0d3b
source_context/accepted_prep_package_key_files/SOE_Minimal_Architecture_Map_For_Hostile_Review_2026-06-18.md,4345,e8cb57d07da880de1b46039f3309660acbbcbf3c9f590bfb8124292bc4a8dbca
source_context/SOE_C09_Node_Recognition_Simulation_v0_1_Findings.md,4208,d60710698e5f9f89bf08446732b079a93b8ccf3ce9710842e4ce7940b2a7d848
source_context/SOE_Grand_Simulation_v0_7_Findings.md,3294,1094b4ecaa6a71834b241c2fe30746b3bb47b70a07a4e1de90fb7df39a5d3a00
source_context/SOE_Paper_Limitations_And_Claims_Control_v0_1.md,2959,5a76fbafc8fb0ca07d3d478a32eff7265acd75677f402e3bef1ed7f3f4b79410
