step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_distortion_trust_damage,avg_effective_info,stable_share
0,0.8580762982507449,0.7845502374400001,0.50982346675,0.5219437248744001,0.11000000000000001,0.06599999999999999,0.0016037999999999996,0.6431289,1.0
1,0.8638996178359243,0.7581207124472775,0.519453932619206,0.5607917887675775,0.11000000000000001,0.06599999999999999,0.0016037999999999996,0.6431289,1.0
2,0.865100424211756,0.7551033146087491,0.5288878325976971,0.5700807608010157,0.16999999999999998,0.10200000000000001,0.0024785999999999996,0.6421083000000001,1.0
3,0.870459057468343,0.7548495937957431,0.5381471476091064,0.5896287760410486,0.08,0.049,0.0011906999999999998,0.6436108500000001,0.95
4,0.8687014877167625,0.7075164974704325,0.5472262464847026,0.6263718042743823,0.065,0.039999999999999994,0.0009719999999999998,0.643866,0.95
5,0.8751746517295519,0.7224024837474555,0.5561268683943856,0.6588017820734298,0.065,0.039999999999999994,0.0009719999999999998,0.643866,0.95
6,0.8739312378283748,0.6888207795781255,0.564852521974305,0.6984967851041584,0.065,0.039999999999999994,0.0009719999999999998,0.643866,0.95
7,0.870096014107933,0.6695342620883492,0.5734083121586669,0.7042882880935444,0.05,0.031,0.0007532999999999998,0.64412115,0.95
8,0.8679340826013281,0.662007018474706,0.5817924330837214,0.7181977607062263,0.08,0.05,0.0012149999999999997,0.6435825000000001,0.9
9,0.8650869703897698,0.6673563845759707,0.5900133752885164,0.7268509129959562,0.065,0.040999999999999995,0.0009962999999999999,0.64383765,0.9
10,0.8619768011676274,0.6580541057802541,0.5980648679771712,0.7388307989586684,0.13999999999999999,0.086,0.0020897999999999997,0.6425619,0.9
11,0.8632253287614841,0.6618879754811144,0.6059602934058135,0.7507885699066602,0.11000000000000001,0.074,0.0017981999999999998,0.6429021,0.9
12,0.868212654427003,0.666836626582671,0.6137046462853106,0.7721520553852758,0.08,0.05,0.0012149999999999997,0.6435825000000001,0.9
13,0.8659378967591547,0.6480664972770894,0.6212982720892435,0.783972912758573,0.065,0.040999999999999995,0.0009962999999999999,0.64383765,0.9
14,0.8618015061301236,0.6515533945149862,0.6287357009370094,0.7879756289149098,0.125,0.08399999999999999,0.0020411999999999995,0.6426186,0.85
15,0.8653533511147444,0.6689577114913231,0.636033694948232,0.7992930311049354,0.065,0.041999999999999996,0.0010205999999999998,0.6438093,0.85
16,0.8614702463004565,0.6351383344288631,0.6431808010765396,0.8116971096732737,0.125,0.09,0.0021869999999999997,0.6424485000000001,0.85
17,0.8488640293005373,0.5698126092090818,0.6501934801888168,0.8126241139703753,0.08,0.051000000000000004,0.0012392999999999998,0.64355415,0.85
18,0.8479758566370352,0.5778759357663522,0.6570641721821091,0.8245600474688984,0.125,0.079,0.0019196999999999994,0.6427603500000001,0.8
19,0.8535493444939408,0.5982028145169782,0.6638035597676917,0.8468508846372563,0.08,0.054000000000000006,0.0013121999999999997,0.6434691000000001,0.7
20,0.8544176085453182,0.5940953899254082,0.6704117913749248,0.8557677877046161,0.065,0.045,0.0010934999999999996,0.6437242500000001,0.7
21,0.8530487788591252,0.5751661127098173,0.6768821428042351,0.878778799451126,0.13999999999999999,0.10200000000000001,0.0024785999999999996,0.6421083000000001,0.7
22,0.851151138874352,0.5808618677444326,0.683232203839625,0.8806321118604474,0.08,0.053000000000000005,0.0012878999999999998,0.6434974500000001,0.75
23,0.8478864758871751,0.587667343727863,0.6894547770974935,0.8785866810184864,0.11000000000000001,0.073,0.0017738999999999997,0.64293045,0.65
24,0.8498540976922723,0.5948255012772158,0.6955566992746177,0.8857063459837212,0.08,0.061,0.0014822999999999998,0.64327065,0.65
25,0.8468979579916531,0.5823825892468373,0.7015371707583885,0.8996295790771531,0.11000000000000001,0.073,0.0017738999999999997,0.64293045,0.65
26,0.8491890743978022,0.6017151449491964,0.7074013037909959,0.8974187917244363,0.095,0.064,0.0015551999999999996,0.6431856,0.65
27,0.8426466994482038,0.571829106684413,0.7131484778218476,0.8960442580581726,0.10999999999999999,0.07799999999999999,0.0018953999999999996,0.6427887,0.7
28,0.8448194377874136,0.5803730607334152,0.7187859388179356,0.8952218811827637,0.065,0.052000000000000005,0.0012635999999999997,0.6435258,0.65
29,0.8493696794973061,0.5868491914388486,0.7243081824626201,0.9150843195175249,0.125,0.089,0.0021626999999999996,0.6424768500000001,0.6
30,0.8505115908667763,0.6041273057811398,0.7297208118187031,0.9240787114893617,0.125,0.099,0.0024056999999999993,0.6421933500000001,0.7
31,0.8400019438710666,0.5511919220200673,0.7350316579512064,0.9210561905582114,0.08,0.06,0.0014579999999999997,0.6432990000000001,0.7
32,0.8413506474024249,0.5316445781404332,0.7402398395324525,0.9332114754514051,0.065,0.045,0.0010934999999999996,0.6437242500000001,0.7
33,0.8303360346307647,0.4931317867487455,0.7453410101099219,0.9495116338824585,0.125,0.087,0.0021141,0.6425335500000001,0.7
34,0.8252495341480415,0.4829417068103596,0.7503474188254734,0.9460699916825291,0.05,0.037,0.0008990999999999997,0.6439510500000001,0.65
35,0.8250551772173731,0.5004294502158315,0.755251902657567,0.9456104623518391,0.095,0.06999999999999999,0.0017009999999999998,0.6430155000000001,0.65
36,0.8211105991500505,0.4881479063375256,0.7600608681554851,0.9422598774004589,0.08,0.062,0.0015065999999999996,0.6432423,0.6
37,0.8184581089183178,0.4949268669007466,0.7647719769679812,0.9399678909529046,0.125,0.095,0.0023084999999999994,0.64230675,0.6
38,0.8173583408458216,0.4955711789199907,0.7693953868990275,0.9365523553472913,0.065,0.047,0.0011420999999999996,0.6436675500000001,0.6
39,0.8143507881074294,0.4970006754120573,0.7739233152540883,0.9318440912305446,0.125,0.094,0.0022841999999999993,0.6423351,0.65
40,0.8140878060163532,0.5195716638425744,0.7783636834364579,0.9277267465145712,0.11000000000000001,0.07999999999999999,0.0019439999999999995,0.6427320000000001,0.6
41,0.8160242518607748,0.5409243322560255,0.7827168378320052,0.9260185102180918,0.11000000000000001,0.07999999999999999,0.0019439999999999995,0.6427320000000001,0.6
42,0.8172800779194654,0.5259340661179418,0.786985323265187,0.927332843732195,0.095,0.071,0.0017252999999999997,0.6429871500000001,0.6
43,0.8155146553109036,0.5234029176045728,0.7911694124430491,0.9247967344837337,0.095,0.077,0.0018710999999999995,0.64281705,0.6
44,0.8160367387287101,0.5340793413518248,0.7952731814027238,0.9216448238814527,0.08,0.05600000000000001,0.0013607999999999997,0.6434124000000001,0.6
45,0.8185207155158201,0.5196200101567573,0.7992950008320527,0.9250933195043984,0.095,0.071,0.0017252999999999997,0.6429871500000001,0.6
46,0.826452378932405,0.5438490448085569,0.8032407136606425,0.9310734506658124,0.05,0.037,0.0008990999999999997,0.6439510500000001,0.65
47,0.8262835539294653,0.5412118711646265,0.8071067647093966,0.9277472831787922,0.08,0.062,0.0015065999999999996,0.6432423,0.6
48,0.8246503097250691,0.526585668636908,0.8108961971479998,0.9281928605104799,0.095,0.06999999999999999,0.0017009999999999998,0.6430155000000001,0.65
49,0.8269071615709407,0.5377007369843518,0.8146130349012074,0.9273990157380736,0.065,0.047,0.0011420999999999996,0.6436675500000001,0.6
50,0.8281543636219023,0.5474480569823271,0.8182556356453498,0.9275300467894448,0.08,0.062,0.0015065999999999996,0.6432423,0.6
51,0.8280639305562447,0.5336334016995227,0.8218278236530143,0.9302176507628535,0.065,0.047,0.0011420999999999996,0.6436675500000001,0.6
52,0.8313644170261949,0.5326585600442268,0.825329800123939,0.9346047665850474,0.065,0.047,0.0011420999999999996,0.6436675500000001,0.6
53,0.8327916637483852,0.543120052488581,0.8287619052363204,0.932272365268466,0.08,0.061,0.0014822999999999998,0.64327065,0.65
54,0.8302830204508476,0.5385158745893799,0.8321230774011749,0.9320027581345267,0.13999999999999999,0.10899999999999999,0.0026486999999999995,0.64190985,0.65
55,0.8292312714100522,0.519338262869382,0.8354227717760526,0.9338798756543593,0.065,0.046,0.0011177999999999997,0.6436959000000001,0.65
56,0.8192408615994206,0.4938408311389879,0.8386543195154144,0.9327038679152866,0.125,0.093,0.0022598999999999996,0.6423634500000001,0.7
57,0.8244928119756333,0.5069560301197042,0.8418250908600375,0.9388261305249808,0.08,0.054000000000000006,0.0013121999999999997,0.6434691000000001,0.7
58,0.8164571410919986,0.4716398165626541,0.8449330118725229,0.9349743212588036,0.095,0.062,0.0015065999999999996,0.6432423,0.75
59,0.8106479802218516,0.4856662944567371,0.8479794706754955,0.931074733838062,0.095,0.06799999999999999,0.0016523999999999996,0.6430722,0.75
60,0.8083235068170257,0.48850271216129604,0.8509644617067973,0.9265525296592598,0.125,0.093,0.0022598999999999996,0.6423634500000001,0.7
61,0.8054640947252791,0.47704041935787894,0.8538922993066821,0.9228824915330222,0.095,0.06999999999999999,0.0017009999999999998,0.6430155000000001,0.65
62,0.8059619224808572,0.47953206995958864,0.8567646071810202,0.9225102548964499,0.05,0.038,0.0009233999999999998,0.6439227000000001,0.6
63,0.8057345203639027,0.49005209812537964,0.8595765500186581,0.9206463028266194,0.125,0.10200000000000001,0.0024785999999999996,0.6421083000000001,0.55
64,0.8062824391940697,0.4885248211358215,0.86233382791444,0.9204224598332701,0.11000000000000001,0.093,0.0022598999999999996,0.6423634500000001,0.55
65,0.8003757271758968,0.45220443403309185,0.8650381362525987,0.9185414190432158,0.095,0.073,0.0017738999999999997,0.64293045,0.5
66,0.7957172034749181,0.4536524575920368,0.867689320954127,0.9154921646807359,0.095,0.073,0.0017738999999999997,0.64293045,0.5
67,0.7884489028470342,0.4667847490998322,0.8702883135949901,0.9120136585213705,0.095,0.075,0.0018224999999999995,0.64287375,0.4
68,0.7878189443811702,0.4651351022530024,0.8728347636919331,0.9159878061026498,0.10999999999999999,0.10200000000000001,0.0024785999999999996,0.6421083000000001,0.4
69,0.7985230960152456,0.47657114903652875,0.8753323591463233,0.9378789594715231,0.095,0.08099999999999999,0.0019682999999999997,0.6427036500000001,0.4
70,0.8045835847872709,0.477476872607593,0.8777822787411005,0.9401655104632809,0.065,0.05500000000000001,0.0013364999999999996,0.6434407500000001,0.5
71,0.808621528060699,0.4892922767996669,0.8801828576047488,0.9420496551036232,0.095,0.078,0.0018953999999999996,0.6427887,0.55
72,0.8126014124616898,0.4950107434709513,0.8825375079693403,0.9402176019453673,0.065,0.054000000000000006,0.0013121999999999997,0.6434691000000001,0.55
73,0.8178688504166125,0.48350729441704027,0.8848458847227677,0.9463880574121248,0.065,0.054000000000000006,0.0013121999999999997,0.6434691000000001,0.55
74,0.8156463541124538,0.48352825948641226,0.8871078699994033,0.9438645203300255,0.11000000000000001,0.075,0.0018224999999999995,0.64287375,0.55
75,0.8121588385226582,0.484115940576027,0.889325613482554,0.939569857181597,0.095,0.071,0.0017252999999999997,0.6429871500000001,0.6
76,0.8169891557535381,0.4966245285796214,0.8915000254933672,0.9462375003383366,0.095,0.066,0.0016037999999999996,0.6431289,0.55
77,0.8269843330037661,0.507405300188198,0.8936308864991226,0.9523353202481013,0.095,0.08399999999999999,0.0020411999999999995,0.6426186,0.55
