run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8546338563164264,0.8142915329756071,0.94477466404376,0.508913586038833,0.9312957209542505,0.9729719028507182,,,1,0,0,0.0556318820500501
1,43,0.8895062308749236,0.8277916289608834,0.9903612362529781,0.7364410845283244,0.931279626359409,0.9105384876120434,,,1,0,0,0.05534839357533605
2,44,0.8218447975566816,0.7089987537937983,0.9540437760205704,0.34095662512795444,0.9312134223377815,0.9857734836101083,60,70,0,1,0,0.07445221839874594
3,45,0.949573700169126,0.593069823351426,0.949573700169126,0.8223320003925639,0.9312176001742594,0.9903894051635385,2,57,0,1,0,0.08758914883718216
4,46,0.8726088367265645,0.771205523361309,0.9610292354640552,0.6344819811123348,0.931246830041278,0.9574017044960084,66,74,0,1,0,0.057198619159672726
5,47,0.8758429352320551,0.6261060571379704,0.9151079710566095,0.626735380152645,0.9312384796523268,0.9805891180078358,7,12,0,1,0,0.09020102639227945
6,48,0.9524564726734159,0.6065194362191713,0.9524564726734159,0.8494894750079662,0.9312492161637599,0.9587183024439718,35,77,0,1,0,0.07113761850188394
7,49,0.878957471296685,0.7599552815252802,0.9292965001283542,0.6753842555581834,0.9312521986306369,0.9563667790573452,46,55,0,1,0,0.0594744256179105
8,50,0.8851580342937577,0.7685925772486197,0.955609971068181,0.7159386480292866,0.9312849923103034,0.9098140280666673,18,21,0,1,0,0.05785185568784512
9,51,0.7218261224326914,0.606465707841181,0.8919647202039338,0.2914110333769773,0.9312223720208136,0.8108340891870767,17,32,0,1,1,0.05883014678231657
10,52,0.8997849728003234,0.6341239844578705,0.9277818674379038,0.6566700441429446,0.9312343043104188,0.990373170291826,22,31,0,1,0,0.08036650109528287
11,53,0.844340730933254,0.7879201579527499,0.9915817447354819,0.5901980112971844,0.9312981049146573,0.8984644261484628,64,69,0,1,0,0.05207065563388891
12,54,0.8601508863811163,0.7039326946546212,0.9459535470205243,0.6245068487052071,0.9313016811654197,0.9651352670506376,12,38,0,1,0,0.06909629623762714
13,55,0.9682434727382011,0.8020021351514653,0.9895848247265894,0.915510518742617,0.9312903565081715,0.8922834087594542,,,1,0,0,0.04912329232869084
14,56,0.7766119003187593,0.6906572174013136,0.9100281498365517,0.4932138076513905,0.931252198351245,0.8920792440563174,13,29,0,1,1,0.06057126130321511
15,57,0.6962415600893375,0.6197271136551002,0.9040203847845832,0.30332904240302594,0.931221775024374,0.8433917230964643,18,26,0,1,1,0.08819852717875043
16,58,0.9168269269865066,0.8156894339644355,0.9659899994630969,0.7063183100213033,0.9313225369029335,0.9858260408400429,,,1,0,0,0.04866247861158568
17,59,0.8030203666137656,0.7327651939324167,0.9707145972837095,0.5840969353090052,0.9312742605945409,0.9081476109579316,62,78,0,1,0,0.05681242461370928
18,60,0.7022235736939182,0.6086633848858995,0.8837578329237722,0.29820618066324467,0.9312372864305902,0.8175517908421104,22,,0,0,1,0.054407617669388175
19,61,0.8620028174291002,0.8341765147759913,0.957038468055599,0.4316817029157737,0.9313010849815058,0.9771025478638427,,,1,0,0,0.05190606706734735
