step,avg_cooperation_level,avg_average_trust,avg_ai_capability,avg_governance_capacity,avg_disturbance,avg_effective_disturbance,avg_effective_info,stable_share
0,0.858217751588245,0.78615403744,0.50982346675,0.5219597628744,0.11000000000000001,0.06599999999999999,0.6431289,1.0
1,0.8642293996774215,0.761232570545644,0.519453932619206,0.5608373518263674,0.11000000000000001,0.06599999999999999,0.6431289,1.0
2,0.8658364189700478,0.7605082248019344,0.5288878325976971,0.5701694191922997,0.16999999999999998,0.10200000000000001,0.6421083000000001,1.0
3,0.871525636286556,0.7611257044801832,0.5381471476091064,0.5897647431717464,0.08,0.049,0.6436108500000001,0.95
4,0.8699902119067311,0.7143933680642323,0.5472262464847026,0.6265550253821255,0.065,0.039999999999999994,0.643866,0.95
5,0.876710165787119,0.7298447220782551,0.5561268683943856,0.6590264469233803,0.065,0.039999999999999994,0.643866,0.95
6,0.8756119801240422,0.6967950350456744,0.564852521974305,0.698742716743219,0.065,0.039999999999999994,0.643866,0.95
7,0.8720986571768103,0.6777903609684388,0.5734083121586669,0.7045582500827301,0.05,0.031,0.64412115,0.95
8,0.8706440266958992,0.6712954047422401,0.5817926145048989,0.7185243667692446,0.08,0.049,0.6436108500000001,0.95
9,0.8684003579401486,0.6773846578355278,0.5900137309981199,0.727222457286772,0.065,0.039999999999999994,0.643866,0.95
10,0.8659194936496004,0.6698608160505858,0.5980653910527728,0.73927227699829,0.13999999999999999,0.08499999999999999,0.64259025,0.95
11,0.8677771494566933,0.6750643358214511,0.6059609771297958,0.7513069308622085,0.11000000000000001,0.073,0.64293045,0.95
12,0.8726533330184345,0.6807107064491961,0.6137054841394896,0.7727445669237829,0.08,0.049,0.6436108500000001,0.95
13,0.8704431002202458,0.6621220533420539,0.6212990934693303,0.7845942224224052,0.065,0.040999999999999995,0.64383765,0.9
14,0.8719115763769162,0.6668342076438611,0.6287365061669218,0.7975837022779757,0.125,0.08399999999999999,0.6426186,0.85
15,0.8748553326359809,0.6847203040205478,0.6360346422359334,0.8086687411665364,0.065,0.040999999999999995,0.64383765,0.9
16,0.8707738688083143,0.6526899133348116,0.6431828132614723,0.8210274962370889,0.125,0.08299999999999999,0.64264695,0.9
17,0.8578527420345031,0.5879127965837029,0.6501956045745578,0.8217117977100201,0.08,0.05,0.6435825000000001,0.9
18,0.8563677254639559,0.5968682824393027,0.657066254809278,0.8333793251078729,0.125,0.079,0.6427603500000001,0.8
19,0.8618024271349867,0.6177567830599395,0.6638057473012141,0.855393716375693,0.08,0.053000000000000005,0.6434974500000001,0.75
20,0.8628457795621969,0.6139453663912002,0.6704140788855013,0.864084077105218,0.065,0.044,0.6437526,0.75
21,0.8615727461890325,0.5966689692331058,0.6768845257347001,0.8868432548308245,0.13999999999999999,0.101,0.6421366500000001,0.75
22,0.859851541326865,0.6010964770159223,0.6832346773399045,0.8884864433638343,0.08,0.052000000000000005,0.6435258,0.8
23,0.8573000490207858,0.6091122799155568,0.6894574714039019,0.8862792851029161,0.11000000000000001,0.071,0.6429871500000001,0.75
24,0.8597304564013653,0.6170932140995397,0.6955596047500949,0.8932126734310802,0.08,0.059,0.6433273500000001,0.75
25,0.8571671629045825,0.6055241810632855,0.7015402781099763,0.9069367673668862,0.11000000000000001,0.071,0.6429871500000001,0.75
26,0.8600015594641801,0.6256100408185366,0.7074046039094094,0.9045883408460673,0.095,0.062,0.6432423,0.75
27,0.8533536861537965,0.5965200675404657,0.7131518374975607,0.9030552170461924,0.10999999999999999,0.077,0.64281705,0.75
28,0.8554932750369334,0.6051879253980329,0.7187893544393995,0.9020731960645533,0.065,0.051000000000000004,0.64355415,0.7
29,0.8594774595069989,0.6125206472926051,0.724312487700811,0.9178495798765184,0.125,0.08099999999999999,0.6427036500000001,0.7
30,0.8606850766751212,0.6309635309591906,0.7297251497293262,0.9267630301362677,0.125,0.098,0.6422217000000001,0.75
31,0.8507704129607662,0.5783708795877962,0.7350361404477057,0.9237318056185571,0.08,0.057999999999999996,0.6433557000000001,0.8
32,0.8512066131150042,0.5572032758722243,0.7402442339135465,0.9343166459951153,0.065,0.045,0.6437242500000001,0.7
33,0.8398812646462683,0.5196788904703062,0.7453454287854131,0.9505536142513356,0.125,0.086,0.6425619,0.75
34,0.8346026098112294,0.5089162769980298,0.7503517506490206,0.9470832932660462,0.05,0.037,0.6439510500000001,0.65
35,0.8340034882928371,0.5255989079097356,0.7552561493363019,0.9465854090442317,0.095,0.06999999999999999,0.6430155000000001,0.65
36,0.8302206122746947,0.5137974074656146,0.7600651356324643,0.9432396415980978,0.08,0.061,0.64327065,0.65
37,0.8276510092494581,0.5188907420779174,0.7647762628773993,0.9409480604785145,0.125,0.094,0.6423351,0.65
38,0.8267729225791698,0.5196007966851262,0.7693996885884898,0.937539201999526,0.065,0.046,0.6436959000000001,0.65
39,0.8233532899072846,0.5194136476507875,0.773927532466485,0.9328078756640217,0.125,0.094,0.6423351,0.65
40,0.8228085394215767,0.5426766419803886,0.7783678177823814,0.9286716285919207,0.11000000000000001,0.07999999999999999,0.6427320000000001,0.6
41,0.8244654381774478,0.5646836710579403,0.7827208911040879,0.9269422865655755,0.11000000000000001,0.07999999999999999,0.6427320000000001,0.6
42,0.8254869827254344,0.5500944686950711,0.7869892968801345,0.9282351674761997,0.095,0.071,0.6429871500000001,0.6
43,0.8236446531909024,0.5480891536544876,0.7911733079663252,0.9256829539621723,0.095,0.077,0.64281705,0.6
44,0.8296781179938038,0.558757061669393,0.7952770003574743,0.9315171682074649,0.08,0.05600000000000001,0.6434124000000001,0.6
45,0.8313834717063553,0.5448807715854855,0.7992988318016279,0.9346344555828079,0.095,0.06999999999999999,0.6430155000000001,0.65
46,0.8386584127037704,0.5688055762742051,0.8032445546954031,0.9403222189155522,0.05,0.036,0.6439794000000001,0.7
47,0.8385576572113074,0.5668707495781993,0.8071106975962252,0.93677119404062,0.08,0.06,0.6432990000000001,0.7
48,0.836124514808874,0.552492734752345,0.8109000527289352,0.9369253738117573,0.095,0.06999999999999999,0.6430155000000001,0.65
49,0.8381696797124635,0.563620158273743,0.8146168951269812,0.9358859829995302,0.065,0.046,0.6436959000000001,0.65
50,0.8393130633121733,0.5737303267751639,0.8182594988536686,0.9357689149267774,0.08,0.061,0.64327065,0.65
51,0.8389934566589183,0.5598825892508732,0.8218316882248254,0.9382175551174686,0.065,0.046,0.6436959000000001,0.65
52,0.8414785486341687,0.5588642957890725,0.8253336645245811,0.9419199371625645,0.065,0.046,0.6436959000000001,0.65
53,0.8426813105470672,0.569330218707653,0.8287656936754472,0.9393503112059596,0.08,0.061,0.64327065,0.65
54,0.8407840862870544,0.5663213224520111,0.8321273013964998,0.9390658235725355,0.13999999999999999,0.10200000000000001,0.6421083000000001,0.7
55,0.839224575720819,0.5452492758117076,0.835426912733643,0.9407047732624294,0.065,0.046,0.6436959000000001,0.65
56,0.8288919307701301,0.5180176664521209,0.8386583792528788,0.939311933759743,0.125,0.093,0.6423634500000001,0.7
57,0.8335931186108774,0.531054195879196,0.841829070836454,0.939711310833437,0.08,0.054000000000000006,0.6434691000000001,0.7
58,0.8257912872129947,0.4960691911696471,0.8449369808717959,0.9358691137279745,0.095,0.061,0.64327065,0.8
