run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.8612910774181393,0.8213492352010282,0.9500773159980831,0.5274612327030028,0.9312957209542505,0.9729907048503129,,,1,0,0,0.05508182792214744
1,43,0.8979082945341894,0.8365904372479923,0.9955429138437969,0.7622697385657574,0.931279626359409,0.9108681655176653,,,1,0,0,0.05476471580170339
2,44,0.8348214572467838,0.7439573202905462,0.9627566158136389,0.377359925223067,0.9312271444212888,0.9857770819834542,63,70,0,1,0,0.0603660406763904
3,45,0.9615613259899953,0.5958774593534362,0.9615613259899953,0.8555840762934137,0.931227742876957,0.9903926638669768,2,53,0,1,0,0.08732764706821994
4,46,0.8863308183797897,0.8057181381127767,0.9688981086015314,0.6689615432524761,0.9312527944938905,0.9575427700023675,,,1,0,0,0.05166667052427876
5,47,0.8838982467146796,0.6356729110857038,0.9225831755756246,0.6523710387663476,0.931241462305527,0.9805993300693763,27,76,0,1,0,0.09028426786206567
6,48,0.9601620878124957,0.6098867610714457,0.9601620878124957,0.869648174045217,0.931250409054277,0.9587957304395354,36,76,0,1,0,0.06972030801274176
7,49,0.8918853284037999,0.771826417908583,0.9342490794121427,0.7103096120646109,0.9312623366659518,0.9564770666185055,47,55,0,1,0,0.056777772664719284
8,50,0.8912334920558884,0.7741832669242896,0.9600408071219949,0.7338503516177782,0.9312849923103034,0.9100695690596845,18,21,0,1,0,0.056454183268927594
9,51,0.7268226312983747,0.6111554293158632,0.8924455054338105,0.3094173158424406,0.9312229687015458,0.8110649575815002,17,30,0,1,1,0.0546858817628153
10,52,0.91005401757304,0.645049792647705,0.9307733714181671,0.688628828080788,0.9312462344367469,0.9903763022526519,33,69,0,1,0,0.07331562015749749
11,53,0.8517854601190704,0.7950949872658455,0.9945927901745026,0.6096007461678559,0.9312981049146573,0.8988731520270633,64,69,0,1,0,0.050303092988284615
12,54,0.8664060265404638,0.7086137399563963,0.950480816221138,0.6415435598269472,0.93130287314562,0.9651759356413542,12,36,0,1,0,0.06716326188354782
13,55,0.9765848643198125,0.8102312082187623,0.9930675223066726,0.9397324940360584,0.9312903565081715,0.8929217397697475,,,1,0,0,0.047107885446290076
14,56,0.8451917637181585,0.7382494063198768,0.9180610942826147,0.5961223196900846,0.9312826071036504,0.9073983636769716,13,14,0,1,0,0.05377988277702239
15,57,0.6997280536970584,0.6343033444681832,0.907345272145447,0.317460203833127,0.9312349004840123,0.843410349024283,31,44,0,1,1,0.08919502322285355
16,58,0.9237745976798445,0.8209563803068859,0.9683020522765411,0.7280984709659061,0.9313225369029335,0.9858323462873076,,,1,0,0,0.04815408932720233
17,59,0.8355569350290076,0.7409185969589641,0.9765471513989414,0.6325048447604114,0.9312808184119417,0.9129869447582816,62,78,0,1,0,0.05482556279727746
18,60,0.7055456600805788,0.610778761627029,0.8840770002516077,0.3106747838312188,0.9312378829819328,0.8179314412507789,22,57,0,1,1,0.05404011586937263
19,61,0.8692670965734273,0.8412692802556767,0.9622861355848659,0.4527567462241518,0.9313010849815058,0.9771145099088259,,,1,0,0,0.05122548989141751
