run_index,seed,final_cooperation,min_cooperation,max_cooperation,final_trust,final_ai_capability,final_governance_capacity,first_breach_step,recovery_step,stable_run,recovered_run,fragile_run,max_step_change
0,42,0.7083814184391855,0.6739764634528504,0.8576217113362117,0.35048871382066993,0.9181310655401974,0.7784311836031285,10,16,0,1,1,0.054889876372444024
1,43,0.7658316532073709,0.714369649517025,0.896624093048413,0.6187108631774302,0.9181074283813369,0.8358888946845531,18,33,0,1,1,0.05851920533762511
2,44,0.6579621315958764,0.6198946615422103,0.8551812149228484,0.1969286509465489,0.9179832350599911,0.6867809532440339,6,16,0,1,1,0.06390927257916301
3,45,0.8215020960411916,0.5640423665026268,0.8272144467274615,0.7420882405470159,0.9181428834789152,0.7122039393190864,1,97,0,1,0,0.057648185476071756
4,46,0.7459066831162023,0.6565359197192442,0.8573959429655893,0.4990643712258224,0.91803648619274,0.8258866951961761,4,13,0,1,1,0.044450152599831094
5,47,0.7294864084724546,0.5755944006211391,0.841508472425,0.5026161704674035,0.9181251578494649,0.8145676269586055,1,,0,0,1,0.05540464231804021
6,48,0.8253656228486992,0.5745637124126202,0.841508472425,0.7664460527131383,0.9181192497324313,0.7954324641958631,4,89,0,1,0,0.06126676025556821
7,49,0.7420949222895415,0.6370242322556813,0.841508472425,0.5446804055922441,0.9180660574898913,0.7769411922913335,1,36,0,1,1,0.06322947618873453
8,50,0.7464337031322528,0.6442250353400198,0.841508472425,0.5590882330022311,0.918107433498364,0.7796992051394306,1,72,0,1,1,0.05763966744748672
9,51,0.6502992245279556,0.5519247658746742,0.841508472425,0.25319188147834615,0.9181487886122721,0.5647917246228634,4,,0,0,1,0.05224137051276312
10,52,0.7499625272896504,0.5854625679250802,0.8429957381907938,0.5426482287422483,0.9181192535692635,0.7242472060372129,8,,0,0,1,0.055157242340200696
11,53,0.7248992446084119,0.6936945005008688,0.9263980232439177,0.45642343488251474,0.9181487873335844,0.7879129182629031,58,88,0,1,1,0.052593240077448256
12,54,0.7157508335213301,0.6345618908438888,0.8607134667305616,0.46299955702089174,0.9182432396483062,0.7602089530166715,9,69,0,1,1,0.05494346039775666
13,55,0.8322862622532637,0.6766778583743094,0.8890387857833872,0.8332294299427575,0.9181192484532821,0.7724265015204095,38,75,0,1,0,0.0415641655420097
14,56,0.6870540643858961,0.6248588173888456,0.841508472425,0.4034846809089576,0.9181251578494647,0.6567532062297623,4,8,0,1,1,0.04324882845745315
15,57,0.6297955109403048,0.5650312322522074,0.8072174030179061,0.28092738877493806,0.9181074309400045,0.5965009175189928,0,10,0,1,1,0.04490876082983142
16,58,0.7888311182644159,0.689929791564966,0.8767639202992982,0.5899467745601927,0.9181901253979432,0.8596060105015348,23,28,0,1,1,0.051567170614685964
17,59,0.7304352956744056,0.6415896040161407,0.8923751248896921,0.5016339624421805,0.9181546933193282,0.7696138086864275,16,24,0,1,1,0.0463356127714879
18,60,0.6360756532664879,0.5710065227635203,0.841508472425,0.25468557133999353,0.9181783155575916,0.6229358338294174,3,,0,0,1,0.049987662557838264
19,61,0.7259124226572795,0.7035686677255268,0.8480024207105522,0.29675546335897546,0.9181546933193283,0.9009125851680349,8,21,0,1,1,0.05259785550721052
