run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.744,0.744,0.744,,,,,0,True,False,0.0,none,0,0,0
2,43,star,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.686,0.686,0.686,,,,,0,True,False,0.0,none,0,0,0
3,44,star,500,True,True,0.918,1.0,1.0,0,1,1.0,0.0,15,0,0.0,0.876,0.0,0.876,0,0,0.0,0.0,0.0,,0,0.577,0.577,0.577,,,,,0,True,False,0.0,none,0,0,0
4,45,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,3,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.726,0.726,0.726,,,,,0,True,False,0.0,none,0,0,0
5,46,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.736,0.736,0.736,,,,,0,True,False,0.0,none,0,0,0
6,47,star,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,4,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.745,0.745,0.745,,,,,0,True,False,0.0,none,0,0,0
7,48,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.755,0.755,0.755,,,,,0,True,False,0.0,none,0,0,0
8,49,star,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,5,0,0.0,0.99,0.0,0.99,0,0,0.0,0.0,0.0,,0,0.719,0.719,0.719,,,,,0,True,False,0.0,none,0,0,0
9,50,star,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,6,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.743,0.743,0.743,,,,,0,True,False,0.0,none,0,0,0
10,51,star,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,3,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.705,0.705,0.705,,,,,0,True,False,0.0,none,0,0,0
11,52,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.751,0.751,0.751,,,,,0,True,False,0.0,none,0,0,0
12,53,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.743,0.743,0.743,,,,,0,True,False,0.0,none,0,0,0
13,54,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.76,0.76,0.76,,,,,0,True,False,0.0,none,0,0,0
14,55,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,7,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.678,0.678,0.678,,,,,0,True,False,0.0,none,0,0,0
15,56,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.765,0.765,0.765,,,,,0,True,False,0.0,none,0,0,0
16,57,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.72,0.72,0.72,,,,,0,True,False,0.0,none,0,0,0
17,58,star,500,False,False,0.204,1.0,1.0,0,1,1.0,0.0,45,0,0.0,0.048,0.0,0.048,0,0,0.0,0.0,0.0,,0,0.048,0.048,0.048,,,,,0,True,False,0.0,none,0,0,0
18,59,star,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,5,0,0.0,0.991,0.0,0.991,0,0,0.0,0.0,0.0,,0,0.689,0.689,0.689,,,,,0,True,False,0.0,none,0,0,0
19,60,star,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,6,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.739,0.739,0.739,,,,,0,True,False,0.0,none,0,0,0
20,61,star,500,False,False,0.2,1.0,1.0,0,1,1.0,0.0,42,0,0.0,0.03,0.0,0.03,0,0,0.0,0.0,0.0,,0,0.03,0.03,0.03,,,,,0,True,False,0.0,none,0,0,0
21,62,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.735,0.735,0.735,,,,,0,True,False,0.0,none,0,0,0
22,63,star,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.744,0.744,0.744,,,,,0,True,False,0.0,none,0,0,0
23,64,star,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,5,0,0.0,0.992,0.0,0.992,0,0,0.0,0.0,0.0,,0,0.736,0.736,0.736,,,,,0,True,False,0.0,none,0,0,0
24,65,star,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,3,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.698,0.698,0.698,,,,,0,True,False,0.0,none,0,0,0
25,66,star,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,9,0,0.0,0.961,0.0,0.961,0,0,0.0,0.0,0.0,,0,0.584,0.584,0.584,,,,,0,True,False,0.0,none,0,0,0
26,67,star,500,True,True,0.988,1.0,1.0,0,1,1.0,0.0,3,0,0.0,0.994,0.0,0.994,0,0,0.0,0.0,0.0,,0,0.738,0.738,0.738,,,,,0,True,False,0.0,none,0,0,0
27,68,star,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.748,0.748,0.748,,,,,0,True,False,0.0,none,0,0,0
28,69,star,500,True,True,0.987,1.0,1.0,0,1,1.0,0.0,12,0,0.0,0.977,0.0,0.977,0,0,0.0,0.0,0.0,,0,0.609,0.609,0.609,,,,,0,True,False,0.0,none,0,0,0
29,70,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.773,0.773,0.773,,,,,0,True,False,0.0,none,0,0,0
30,71,star,500,True,True,0.992,1.0,1.0,0,1,1.0,0.0,4,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.736,0.736,0.736,,,,,0,True,False,0.0,none,0,0,0
31,72,star,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.995,0.0,0.995,0,0,0.0,0.0,0.0,,0,0.744,0.744,0.744,,,,,0,True,False,0.0,none,0,0,0
32,73,star,500,True,True,0.984,1.0,1.0,0,1,1.0,0.0,9,0,0.0,0.979,0.0,0.979,0,0,0.0,0.0,0.0,,0,0.637,0.637,0.637,,,,,0,True,False,0.0,none,0,0,0
33,74,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.991,0.0,0.991,0,0,0.0,0.0,0.0,,0,0.763,0.763,0.763,,,,,0,True,False,0.0,none,0,0,0
34,75,star,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,6,0,0.0,0.998,0.0,0.998,0,0,0.0,0.0,0.0,,0,0.725,0.725,0.725,,,,,0,True,False,0.0,none,0,0,0
35,76,star,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.995,0.0,0.995,0,0,0.0,0.0,0.0,,0,0.713,0.713,0.713,,,,,0,True,False,0.0,none,0,0,0
36,77,star,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.727,0.727,0.727,,,,,0,True,False,0.0,none,0,0,0
37,78,star,500,True,True,0.992,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.758,0.758,0.758,,,,,0,True,False,0.0,none,0,0,0
38,79,star,500,True,True,0.993,1.0,1.0,0,1,1.0,0.0,5,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.714,0.714,0.714,,,,,0,True,False,0.0,none,0,0,0
39,80,star,500,True,True,0.958,1.0,1.0,0,1,1.0,0.0,10,0,0.0,0.955,0.0,0.955,0,0,0.0,0.0,0.0,,0,0.511,0.511,0.511,,,,,0,True,False,0.0,none,0,0,0
40,81,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.739,0.739,0.739,,,,,0,True,False,0.0,none,0,0,0
41,82,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.997,0.0,0.997,0,0,0.0,0.0,0.0,,0,0.75,0.75,0.75,,,,,0,True,False,0.0,none,0,0,0
42,83,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,2,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.744,0.744,0.744,,,,,0,True,False,0.0,none,0,0,0
43,84,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.744,0.744,0.744,,,,,0,True,False,0.0,none,0,0,0
44,85,star,500,False,False,0.06,1.0,1.0,0,1,1.0,0.293,58,17,0.0,0.01,0.0,0.01,0,0,0.0,0.0,0.0,,0,0.01,0.01,0.01,,,,,0,True,False,0.0,none,0,0,0
45,86,star,500,True,True,0.986,1.0,1.0,0,1,1.0,0.0,8,0,0.0,0.99,0.0,0.99,0,0,0.0,0.0,0.0,,0,0.679,0.679,0.679,,,,,0,True,False,0.0,none,0,0,0
46,87,star,500,True,True,0.978,1.0,1.0,0,1,1.0,0.0,5,0,0.0,0.991,0.0,0.991,0,0,0.0,0.0,0.0,,0,0.702,0.702,0.702,,,,,0,True,False,0.0,none,0,0,0
47,88,star,500,True,True,0.828,1.0,1.0,0,1,1.0,0.0,15,0,0.0,0.661,0.0,0.661,0,0,0.0,0.0,0.0,,0,0.398,0.398,0.398,,,,,0,True,False,0.0,none,0,0,0
48,89,star,500,False,False,0.078,1.0,1.0,0,1,1.0,0.0,56,0,0.0,0.014,0.0,0.014,0,0,0.0,0.0,0.0,,0,0.014,0.014,0.014,,,,,0,True,False,0.0,none,0,0,0
49,90,star,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.747,0.747,0.747,,,,,0,True,False,0.0,none,0,0,0
50,91,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,,0,0.685,0.685,0.685,,,,,0,True,False,0.0,none,0,0,0
51,92,star,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.996,0.0,0.996,0,0,0.0,0.0,0.0,,0,0.736,0.736,0.736,,,,,0,True,False,0.0,none,0,0,0
52,93,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,3,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.768,0.768,0.768,,,,,0,True,False,0.0,none,0,0,0
53,94,star,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.999,0.0,0.999,0,0,0.0,0.0,0.0,,0,0.755,0.755,0.755,,,,,0,True,False,0.0,none,0,0,0
