year,nodes,population,tech,automation,ai_capability,governance_stability,abundance,protocol_cohesion,events,proposal_rate,governance_bandwidth,governance_backlog,backlog_ratio,human_control_index,cooperation,utilization,defense_action,omega_present,omega_proposal_rate,freeze_steps_remaining
0,50,999975,1.0,0.3,0.2,0.775,0.176,0.65,initial_state,1.07,1.35,0.0,0.0,1.0,0.748,0.793,none,False,0.0,0
10,50,1038168,1.024,0.329,0.216,0.775,0.184,0.654,steady_state,1.097,1.379,0.0,0.0,1.0,0.74,0.795,none,False,0.0,0
20,50,1079827,1.047,0.359,0.232,0.771,0.191,0.659,steady_state,1.123,1.406,0.0,0.0,1.0,0.735,0.798,none,False,0.0,0
30,50,1115752,1.069,0.389,0.248,0.774,0.199,0.667,steady_state,1.147,1.433,0.0,0.0,1.0,0.732,0.801,none,False,0.0,0
40,50,1159972,1.092,0.42,0.266,0.777,0.206,0.676,steady_state,1.173,1.46,0.0,0.0,1.0,0.73,0.803,none,False,0.0,0
50,50,1203160,1.113,0.451,0.284,0.783,0.214,0.687,steady_state,1.197,1.486,0.0,0.0,1.0,0.732,0.806,none,False,0.0,0
60,50,1253767,1.135,0.484,0.302,0.791,0.222,0.699,steady_state,1.222,1.512,0.0,0.0,1.0,0.732,0.808,none,False,0.0,0
70,50,1305197,1.156,0.516,0.321,0.806,0.231,0.714,steady_state,1.246,1.538,0.0,0.0,1.0,0.738,0.811,none,False,0.0,0
80,50,1355600,1.179,0.55,0.341,0.82,0.239,0.731,steady_state,1.272,1.565,0.0,0.0,1.0,0.743,0.813,none,False,0.0,0
90,50,1415540,1.203,0.585,0.361,0.841,0.248,0.751,steady_state,1.299,1.593,0.0,0.0,1.0,0.752,0.815,none,False,0.0,0
100,50,1474471,1.226,0.621,0.382,0.856,0.257,0.773,steady_state,1.326,1.622,0.0,0.0,1.0,0.763,0.818,none,False,0.0,0
110,50,1531723,1.251,0.565,0.404,0.856,0.247,0.768,infrastructure_crisis,1.353,1.651,0.0,0.0,1.0,0.778,0.82,none,False,0.0,0
120,50,1598639,1.275,0.602,0.425,0.871,0.256,0.793,steady_state,1.381,1.68,0.0,0.0,1.0,0.793,0.822,none,False,0.0,0
130,50,1675527,1.298,0.64,0.447,0.878,0.265,0.82,steady_state,1.407,1.707,0.0,0.0,1.0,0.806,0.824,none,False,0.0,0
140,50,1757094,1.324,0.679,0.47,0.886,0.275,0.849,steady_state,1.438,1.739,0.0,0.0,1.0,0.823,0.827,none,False,0.0,0
150,50,1841998,1.348,0.72,0.493,0.896,0.284,0.88,steady_state,1.465,1.768,0.0,0.0,1.0,0.836,0.829,none,False,0.0,0
160,50,1925161,1.374,0.761,0.517,0.906,0.294,0.913,steady_state,1.494,1.799,0.0,0.0,1.0,0.852,0.831,none,False,0.0,0
170,50,2006027,1.398,0.804,0.542,0.918,0.305,0.948,steady_state,1.522,1.827,0.0,0.0,1.0,0.871,0.833,none,False,0.0,0
180,50,2109286,1.425,0.848,0.567,0.927,0.315,0.987,steady_state,1.553,1.86,0.0,0.0,1.0,0.892,0.835,none,False,0.0,0
190,50,2211404,1.452,0.894,0.594,0.937,0.324,1.0,steady_state,1.584,1.892,0.0,0.0,1.0,0.91,0.837,none,False,0.0,0
200,50,2337987,1.478,0.94,0.621,0.947,0.329,1.0,steady_state,1.614,1.924,0.0,0.0,1.0,0.929,0.839,none,False,0.0,0
210,50,2464056,1.505,0.987,0.649,0.956,0.335,1.0,steady_state,1.645,1.956,0.0,0.0,1.0,0.943,0.841,none,False,0.0,0
220,50,2591767,1.531,1.034,0.678,0.966,0.341,1.0,steady_state,1.675,1.987,0.0,0.0,1.0,0.954,0.843,none,False,0.0,0
230,50,2731627,1.555,1.082,0.707,0.974,0.346,1.0,steady_state,1.704,2.017,0.0,0.0,1.0,0.964,0.845,none,False,0.0,0
240,50,2878072,1.583,1.13,0.737,0.98,0.351,1.0,steady_state,1.736,2.05,0.0,0.0,1.0,0.972,0.847,none,False,0.0,0
250,50,3050759,1.61,1.178,0.768,0.99,0.355,1.0,steady_state,1.768,2.082,0.0,0.0,1.0,0.981,0.849,none,False,0.0,0
260,50,3217917,1.637,1.227,0.8,0.993,0.359,1.0,steady_state,1.798,2.114,0.0,0.0,1.0,0.985,0.851,none,False,0.0,0
270,50,3415844,1.663,1.276,0.833,0.995,0.361,1.0,steady_state,1.83,2.146,0.0,0.0,1.0,0.989,0.853,none,False,0.0,0
