run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.783,1.0,1.0,0,1,1.0,0.818,11,9,0.0,0.466,0.44,0.466,0.44,0.466,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,0.804,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.42,0.394,0.42,0.394,0.42,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.765,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.438,0.426,0.438,0.426,0.438,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.682,1.0,1.0,0,1,1.0,0.938,16,15,0.0,0.444,0.412,0.444,0.412,0.444,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.787,1.0,1.0,0,1,1.0,0.75,12,9,0.0,0.498,0.464,0.498,0.464,0.498,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.756,1.0,1.0,0,1,1.0,0.75,12,9,0.0,0.504,0.45,0.504,0.45,0.504,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.841,1.0,1.0,0,2,0.984,0.75,8,6,0.0,0.579,0.518,0.579,0.518,0.579,100,0,,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.832,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.532,0.492,0.532,0.492,0.532,100,0,,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.791,1.0,1.0,0,1,1.0,0.667,12,8,0.0,0.571,0.504,0.571,0.504,0.571,100,0,,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.695,1.0,1.0,0,1,1.0,0.909,11,10,0.0,0.418,0.388,0.418,0.388,0.418,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,0.883,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.599,0.541,0.599,0.541,0.599,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.858,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.563,0.513,0.563,0.513,0.563,100,0,,False,True,0.0,none,0,0,0
13,54,federation,500,True,True,0.814,1.0,1.0,0,1,1.0,0.9,10,9,0.0,0.534,0.494,0.534,0.494,0.534,100,0,,False,True,0.0,none,0,0,0
14,55,federation,500,True,True,0.801,1.0,1.0,0,1,1.0,0.8,10,8,0.0,0.523,0.475,0.523,0.475,0.523,100,0,,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,0.946,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.635,0.594,0.635,0.594,0.635,100,0,,False,True,0.0,none,0,0,0
16,57,federation,500,True,True,0.846,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.548,0.517,0.548,0.517,0.548,100,0,,False,True,0.0,none,0,0,0
17,58,federation,500,True,True,0.653,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.34,0.32,0.34,0.32,0.34,100,0,,False,True,0.0,none,0,0,0
18,59,federation,500,True,True,0.711,1.0,1.0,0,1,1.0,0.8,15,12,0.0,0.437,0.407,0.437,0.407,0.437,100,0,,False,True,0.0,none,0,0,0
19,60,federation,500,True,True,0.83,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.511,0.489,0.511,0.489,0.511,100,0,,False,True,0.0,none,0,0,0
20,61,federation,500,True,True,0.9,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.572,0.545,0.572,0.545,0.572,100,0,,False,True,0.0,none,0,0,0
21,62,federation,500,True,True,0.74,1.0,1.0,0,1,1.0,0.867,15,13,0.0,0.505,0.467,0.505,0.467,0.505,100,0,,False,True,0.0,none,0,0,0
22,63,federation,500,True,True,0.839,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.54,0.492,0.54,0.492,0.54,100,0,,False,True,0.0,none,0,0,0
23,64,federation,500,True,True,0.799,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.414,0.398,0.414,0.398,0.414,100,0,,False,True,0.0,none,0,0,0
24,65,federation,500,True,True,0.798,1.0,1.0,0,2,0.984,0.9,10,9,0.0,0.548,0.501,0.548,0.501,0.548,100,0,,False,True,0.0,none,0,0,0
25,66,federation,500,True,True,0.816,1.0,1.0,0,2,0.984,0.778,9,7,0.0,0.57,0.51,0.57,0.51,0.57,100,0,,False,True,0.0,none,0,0,0
26,67,federation,500,True,True,0.816,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.523,0.493,0.523,0.493,0.523,100,0,,False,True,0.0,none,0,0,0
27,68,federation,500,True,True,0.792,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.504,0.461,0.504,0.461,0.504,100,0,,False,True,0.0,none,0,0,0
28,69,federation,500,True,True,0.742,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.537,0.493,0.537,0.493,0.537,100,0,,False,True,0.0,none,0,0,0
29,70,federation,500,True,True,0.798,1.0,1.0,0,2,0.984,0.8,10,8,0.0,0.495,0.444,0.495,0.444,0.495,100,0,,False,True,0.0,none,0,0,0
30,71,federation,500,True,True,0.754,1.0,1.0,0,1,1.0,0.933,15,14,0.0,0.557,0.491,0.555,0.488,0.555,100,0,,False,True,0.0,none,0,0,0
31,72,federation,500,True,True,0.789,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.478,0.435,0.478,0.435,0.478,100,0,,False,True,0.0,none,0,0,0
32,73,federation,500,True,True,0.91,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.573,0.539,0.573,0.539,0.573,100,0,,False,True,0.0,none,0,0,0
33,74,federation,500,True,True,0.712,1.0,1.0,0,1,1.0,0.875,16,14,0.0,0.494,0.463,0.494,0.463,0.494,100,0,,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.726,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.45,0.419,0.45,0.419,0.45,100,0,,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.806,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.544,0.489,0.544,0.489,0.544,100,0,,False,True,0.0,none,0,0,0
36,77,federation,500,True,True,0.898,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.53,0.509,0.53,0.509,0.53,100,0,,False,True,0.0,none,0,0,0
37,78,federation,500,True,True,0.929,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.618,0.588,0.618,0.588,0.618,100,0,,False,True,0.0,none,0,0,0
38,79,federation,500,True,True,0.762,1.0,1.0,0,1,1.0,0.909,11,10,0.0,0.45,0.427,0.45,0.427,0.45,100,0,,False,True,0.0,none,0,0,0
39,80,federation,500,True,True,0.773,1.0,1.0,0,1,1.0,0.909,11,10,0.0,0.515,0.469,0.515,0.469,0.515,100,0,,False,True,0.0,none,0,0,0
40,81,federation,500,True,True,0.74,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.427,0.405,0.427,0.405,0.427,100,0,,False,True,0.0,none,0,0,0
41,82,federation,500,True,True,0.861,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.516,0.476,0.516,0.476,0.516,100,0,,False,True,0.0,none,0,0,0
42,83,federation,500,True,True,0.722,1.0,1.0,0,1,1.0,0.857,14,12,0.0,0.486,0.422,0.486,0.422,0.486,100,0,,False,True,0.0,none,0,0,0
43,84,federation,500,True,True,0.746,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.483,0.46,0.483,0.46,0.483,100,0,,False,True,0.0,none,0,0,0
44,85,federation,500,True,True,0.752,1.0,1.0,0,1,1.0,0.923,13,12,0.0,0.528,0.475,0.528,0.475,0.528,100,0,,False,True,0.0,none,0,0,0
45,86,federation,500,True,True,0.791,1.0,1.0,0,1,1.0,0.5,8,4,0.0,0.464,0.438,0.464,0.438,0.464,100,0,,False,True,0.0,none,0,0,0
46,87,federation,500,True,True,0.85,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.53,0.509,0.53,0.509,0.53,100,0,,False,True,0.0,none,0,0,0
47,88,federation,500,True,True,0.72,1.0,1.0,0,1,1.0,0.857,14,12,0.0,0.44,0.393,0.44,0.393,0.44,100,0,,False,True,0.0,none,0,0,0
48,89,federation,500,True,True,0.874,1.0,1.0,1,2,0.984,0.75,4,3,0.0,0.575,0.535,0.575,0.535,0.575,100,0,,False,True,0.0,none,0,0,0
49,90,federation,500,True,True,0.766,1.0,1.0,0,2,0.983,0.75,12,9,0.0,0.513,0.466,0.513,0.466,0.513,100,0,,False,True,0.0,none,0,0,0
50,91,federation,500,True,True,0.838,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.568,0.519,0.568,0.519,0.568,100,0,,False,True,0.0,none,0,0,0
51,92,federation,500,True,True,0.835,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.578,0.546,0.578,0.546,0.578,100,0,,False,True,0.0,none,0,0,0
52,93,federation,500,True,True,0.87,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.56,0.53,0.56,0.53,0.56,100,0,,False,True,0.0,none,0,0,0
53,94,federation,500,True,True,0.872,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.547,0.514,0.547,0.514,0.547,100,0,,False,True,0.0,none,0,0,0
54,95,federation,500,True,True,0.864,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.566,0.531,0.566,0.531,0.566,100,0,,False,True,0.0,none,0,0,0
55,96,federation,500,True,True,0.731,1.0,1.0,0,1,1.0,0.875,16,14,0.0,0.498,0.453,0.498,0.452,0.498,100,0,,False,True,0.0,none,0,0,0
56,97,federation,500,True,True,0.771,1.0,1.0,0,1,1.0,0.727,11,8,0.0,0.435,0.414,0.435,0.414,0.435,100,0,,False,True,0.0,none,0,0,0
57,98,federation,500,True,True,0.742,1.0,1.0,0,1,1.0,0.929,14,13,0.0,0.534,0.477,0.534,0.477,0.534,100,0,,False,True,0.0,none,0,0,0
58,99,federation,500,True,True,0.743,1.0,1.0,0,2,0.983,0.929,14,13,0.0,0.483,0.447,0.483,0.447,0.483,100,0,,False,True,0.0,none,0,0,0
59,100,federation,500,True,True,0.767,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.491,0.445,0.491,0.445,0.491,100,0,,False,True,0.0,none,0,0,0
60,101,federation,500,True,True,0.822,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.503,0.466,0.503,0.466,0.503,100,0,,False,True,0.0,none,0,0,0
