run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.978,0.843,0.734,0.676,0.734,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.944,0.784,0.703,0.643,0.703,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.96,0.813,0.717,0.669,0.721,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.983,0.846,0.748,0.683,0.748,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.984,0.845,0.731,0.675,0.731,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.991,0.861,0.743,0.683,0.743,100,0,200,True,False,0.0,none,0,0,0
7,48,random,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.987,0.879,0.755,0.71,0.773,100,0,160,True,False,0.0,none,0,0,0
8,49,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.982,0.849,0.736,0.678,0.736,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.982,0.847,0.746,0.688,0.747,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,True,True,0.991,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.986,0.856,0.733,0.677,0.743,100,0,,False,True,0.0,none,0,0,0
11,52,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.985,0.861,0.746,0.69,0.756,100,0,190,True,False,0.0,none,0,0,0
12,53,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.989,0.875,0.743,0.698,0.755,100,0,190,True,False,0.0,none,0,0,0
13,54,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.99,0.868,0.76,0.704,0.771,100,0,170,True,False,0.0,none,0,0,0
14,55,random,500,True,True,1.0,1.0,1.0,0,2,0.984,0.0,0,0,0.05,0.963,0.819,0.714,0.661,0.714,100,0,,False,True,0.0,none,0,0,0
15,56,random,500,True,True,0.981,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.985,0.864,0.748,0.697,0.748,100,0,,False,True,0.0,none,0,0,0
16,57,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.994,0.878,0.758,0.701,0.771,100,0,160,True,False,0.0,none,0,0,0
17,58,random,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.974,0.837,0.743,0.676,0.749,100,0,,False,True,0.0,none,0,0,0
18,59,random,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.991,0.873,0.753,0.707,0.773,100,0,160,True,False,0.0,none,0,0,0
19,60,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.985,0.857,0.741,0.688,0.753,100,0,190,True,False,0.0,none,0,0,0
20,61,random,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.987,0.857,0.742,0.684,0.742,100,0,,False,True,0.0,none,0,0,0
21,62,random,500,True,True,0.999,1.0,1.0,0,2,0.983,0.0,1,0,0.05,0.964,0.807,0.714,0.653,0.714,100,0,,False,True,0.0,none,0,0,0
22,63,random,500,True,True,1.0,1.0,1.0,0,2,0.984,0.0,0,0,0.05,0.981,0.846,0.736,0.68,0.736,100,0,,False,True,0.0,none,0,0,0
