run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.764,1.0,1.0,0,1,1.0,0.636,11,7,0.0,0.437,0.413,0.437,0.413,0.437,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.641,1.0,1.0,0,1,1.0,0.812,16,13,0.0,0.286,0.263,0.286,0.263,0.286,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.616,1.0,1.0,0,1,1.0,0.833,18,15,0.0,0.288,0.261,0.288,0.261,0.288,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.766,1.0,1.0,0,1,1.0,0.6,10,6,0.0,0.407,0.397,0.407,0.397,0.407,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.803,1.0,1.0,0,1,1.0,0.625,8,5,0.0,0.427,0.409,0.427,0.409,0.427,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.541,1.0,1.0,0,1,1.0,0.895,19,17,0.0,0.223,0.206,0.223,0.206,0.223,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.712,1.0,1.0,0,1,1.0,0.75,12,9,0.0,0.379,0.364,0.379,0.364,0.379,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.754,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.418,0.41,0.418,0.41,0.418,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.789,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.436,0.412,0.436,0.412,0.436,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.545,1.0,1.0,0,1,1.0,0.75,20,15,0.0,0.17,0.154,0.17,0.154,0.17,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.815,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.488,0.466,0.488,0.466,0.488,100,0,,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.702,1.0,1.0,0,1,1.0,0.923,13,12,0.0,0.331,0.319,0.331,0.319,0.331,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.77,1.0,1.0,0,1,1.0,0.9,10,9,0.0,0.455,0.433,0.455,0.433,0.455,100,0,,False,True,0.0,none,0,0,0
14,55,scale-free,500,True,True,0.782,1.0,1.0,0,1,1.0,0.818,11,9,0.0,0.465,0.441,0.465,0.441,0.465,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,0.747,1.0,1.0,0,1,1.0,0.917,12,11,0.0,0.389,0.372,0.389,0.372,0.389,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.765,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.429,0.406,0.429,0.406,0.429,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,True,True,0.712,1.0,1.0,0,1,1.0,0.857,14,12,0.0,0.408,0.384,0.408,0.384,0.408,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,0.743,1.0,1.0,0,1,1.0,0.909,11,10,0.0,0.433,0.408,0.433,0.408,0.433,100,0,,False,True,0.0,none,0,0,0
19,60,scale-free,500,True,True,0.762,1.0,1.0,0,1,1.0,0.846,13,11,0.0,0.469,0.449,0.469,0.449,0.469,100,0,,False,True,0.0,none,0,0,0
20,61,scale-free,500,True,True,0.586,1.0,1.0,0,1,1.0,0.864,22,19,0.0,0.291,0.268,0.291,0.268,0.291,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,0.793,1.0,1.0,0,1,1.0,0.7,10,7,0.0,0.494,0.453,0.494,0.453,0.494,100,0,,False,True,0.0,none,0,0,0
22,63,scale-free,500,True,True,0.537,1.0,1.0,0,1,1.0,0.773,22,17,0.0,0.233,0.213,0.233,0.213,0.233,100,0,,False,True,0.0,none,0,0,0
23,64,scale-free,500,True,True,0.744,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.394,0.376,0.394,0.376,0.394,100,0,,False,True,0.0,none,0,0,0
24,65,scale-free,500,True,True,0.777,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.469,0.442,0.469,0.442,0.469,100,0,,False,True,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.892,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.583,0.579,0.583,0.579,0.583,100,0,,False,True,0.0,none,0,0,0
26,67,scale-free,500,True,True,0.775,1.0,1.0,0,1,1.0,0.636,11,7,0.0,0.45,0.426,0.45,0.426,0.45,100,0,,False,True,0.0,none,0,0,0
27,68,scale-free,500,True,True,0.788,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.346,0.343,0.346,0.343,0.346,100,0,,False,True,0.0,none,0,0,0
28,69,scale-free,500,True,True,0.799,1.0,1.0,0,1,1.0,0.692,13,9,0.0,0.487,0.442,0.487,0.442,0.487,100,0,,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,0.903,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.638,0.619,0.638,0.619,0.638,100,0,,False,True,0.0,none,0,0,0
30,71,scale-free,500,True,True,0.778,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.381,0.372,0.381,0.372,0.381,100,0,,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,0.731,1.0,1.0,0,1,1.0,0.769,13,10,0.0,0.402,0.385,0.402,0.385,0.402,100,0,,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,0.744,1.0,1.0,0,1,1.0,0.9,10,9,0.0,0.444,0.421,0.444,0.421,0.444,100,0,,False,True,0.0,none,0,0,0
33,74,scale-free,500,True,True,0.734,1.0,1.0,0,1,1.0,0.818,11,9,0.0,0.394,0.383,0.394,0.383,0.394,100,0,,False,True,0.0,none,0,0,0
34,75,scale-free,500,True,True,0.836,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.545,0.512,0.545,0.512,0.545,100,0,,False,True,0.0,none,0,0,0
35,76,scale-free,500,True,True,0.778,1.0,1.0,0,1,1.0,0.7,10,7,0.0,0.461,0.439,0.461,0.439,0.461,100,0,,False,True,0.0,none,0,0,0
36,77,scale-free,500,True,True,0.622,1.0,1.0,0,1,1.0,0.8,20,16,0.0,0.311,0.299,0.311,0.299,0.311,100,0,,False,True,0.0,none,0,0,0
37,78,scale-free,500,True,True,0.819,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.518,0.485,0.518,0.485,0.518,100,0,,False,True,0.0,none,0,0,0
38,79,scale-free,500,True,True,0.627,1.0,1.0,0,1,1.0,0.882,17,15,0.0,0.275,0.276,0.275,0.276,0.275,100,0,,False,True,0.0,none,0,0,0
