run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.987,0.93,0.731,0.697,0.731,100,0,,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.941,0.715,0.683,0.72,100,0,200,True,False,0.0,none,0,0,0
3,44,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.941,0.73,0.696,0.738,100,0,190,True,False,0.0,none,0,0,0
4,45,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.953,0.761,0.721,0.766,100,0,160,True,False,0.0,none,0,0,0
5,46,small-world,500,True,True,0.989,1.0,1.0,0,1,1.0,0.0,2,0,0.1,0.993,0.931,0.736,0.699,0.748,100,0,200,True,False,0.0,none,0,0,0
6,47,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.994,0.938,0.737,0.697,0.737,100,0,200,True,False,0.0,none,0,0,0
7,48,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.957,0.755,0.725,0.79,100,0,110,True,False,0.0,none,0,0,0
8,49,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.1,0.993,0.939,0.741,0.704,0.758,100,0,180,True,False,0.0,none,0,0,0
9,50,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.952,0.751,0.716,0.758,100,0,170,True,False,0.0,none,0,0,0
10,51,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.996,0.939,0.731,0.69,0.732,100,0,200,True,False,0.0,none,0,0,0
11,52,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.963,0.751,0.721,0.771,100,0,150,True,False,0.0,none,0,0,0
12,53,small-world,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.955,0.742,0.71,0.761,100,0,170,True,False,0.0,none,0,0,0
13,54,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.997,0.942,0.753,0.71,0.76,100,0,170,True,False,0.0,none,0,0,0
14,55,small-world,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.992,0.94,0.72,0.682,0.727,100,0,,False,True,0.0,none,0,0,0
15,56,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.953,0.764,0.728,0.773,100,0,150,True,False,0.0,none,0,0,0
16,57,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.957,0.754,0.716,0.767,100,0,150,True,False,0.0,none,0,0,0
17,58,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.947,0.733,0.699,0.733,100,0,200,True,False,0.0,none,0,0,0
18,59,small-world,500,True,True,0.99,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.993,0.952,0.753,0.729,0.789,100,0,120,True,False,0.0,none,0,0,0
19,60,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.965,0.742,0.711,0.772,100,0,140,True,False,0.0,none,0,0,0
20,61,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.964,0.764,0.724,0.783,100,0,150,True,False,0.0,none,0,0,0
21,62,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.954,0.735,0.698,0.757,100,0,170,True,False,0.0,none,0,0,0
22,63,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.949,0.74,0.708,0.745,100,0,180,True,False,0.0,none,0,0,0
23,64,small-world,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.995,0.945,0.736,0.697,0.749,100,0,190,True,False,0.0,none,0,0,0
24,65,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.96,0.734,0.707,0.76,100,0,150,True,False,0.0,none,0,0,0
25,66,small-world,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.965,0.747,0.718,0.787,100,0,120,True,False,0.0,none,0,0,0
26,67,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,1.0,0.966,0.763,0.731,0.788,100,0,130,True,False,0.0,none,0,0,0
27,68,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.947,0.748,0.707,0.753,100,0,190,True,False,0.0,none,0,0,0
28,69,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.988,0.937,0.757,0.715,0.759,100,0,180,True,False,0.0,none,0,0,0
29,70,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.993,0.943,0.766,0.734,0.779,100,0,160,True,False,0.0,none,0,0,0
30,71,small-world,500,True,True,0.988,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.95,0.749,0.716,0.769,100,0,150,True,False,0.0,none,0,0,0
31,72,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.964,0.755,0.717,0.785,100,0,130,True,False,0.0,none,0,0,0
32,73,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.945,0.744,0.709,0.763,100,0,180,True,False,0.0,none,0,0,0
33,74,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.962,0.76,0.725,0.769,100,0,150,True,False,0.0,none,0,0,0
34,75,small-world,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.95,0.742,0.715,0.752,100,0,180,True,False,0.0,none,0,0,0
35,76,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.944,0.716,0.681,0.738,100,0,180,True,False,0.0,none,0,0,0
36,77,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.943,0.727,0.693,0.734,100,0,200,True,False,0.0,none,0,0,0
37,78,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.975,0.758,0.727,0.804,,,,True,False,0.0,none,0,0,0
38,79,small-world,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.958,0.755,0.727,0.775,100,0,150,True,False,0.0,none,0,0,0
39,80,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.958,0.734,0.703,0.76,100,0,160,True,False,0.0,none,0,0,0
40,81,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.944,0.736,0.701,0.743,100,0,190,True,False,0.0,none,0,0,0
41,82,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.963,0.755,0.725,0.781,100,0,140,True,False,0.0,none,0,0,0
42,83,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.952,0.744,0.715,0.768,100,0,150,True,False,0.0,none,0,0,0
43,84,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.953,0.744,0.711,0.758,100,0,170,True,False,0.0,none,0,0,0
44,85,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.956,0.757,0.723,0.797,100,0,110,True,False,0.0,none,0,0,0
45,86,small-world,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.947,0.75,0.719,0.761,100,0,160,True,False,0.0,none,0,0,0
46,87,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.96,0.746,0.712,0.772,100,0,140,True,False,0.0,none,0,0,0
47,88,small-world,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.941,0.725,0.687,0.726,100,0,200,True,False,0.0,none,0,0,0
48,89,small-world,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.944,0.728,0.696,0.733,100,0,190,True,False,0.0,none,0,0,0
49,90,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.948,0.751,0.712,0.752,100,0,190,True,False,0.0,none,0,0,0
50,91,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.954,0.749,0.715,0.766,100,0,160,True,False,0.0,none,0,0,0
51,92,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.96,0.766,0.734,0.8,,,,True,False,0.0,none,0,0,0
52,93,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.951,0.759,0.72,0.76,100,0,170,True,False,0.0,none,0,0,0
53,94,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.994,0.949,0.747,0.714,0.765,100,0,150,True,False,0.0,none,0,0,0
54,95,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.969,0.763,0.731,0.787,100,0,120,True,False,0.0,none,0,0,0
55,96,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.5,2,1,0.1,0.992,0.942,0.729,0.7,0.751,100,0,200,True,False,0.0,none,0,0,0
56,97,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.25,4,1,0.1,0.989,0.913,0.712,0.684,0.712,100,0,,False,True,0.0,none,0,0,0
57,98,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.945,0.737,0.699,0.739,100,0,,False,True,0.0,none,0,0,0
58,99,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.993,0.942,0.726,0.695,0.732,100,0,200,True,False,0.0,none,0,0,0
59,100,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.996,0.946,0.74,0.701,0.748,100,0,190,True,False,0.0,none,0,0,0
60,101,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.997,0.952,0.743,0.709,0.759,100,0,170,True,False,0.0,none,0,0,0
61,102,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.962,0.759,0.729,0.793,100,0,110,True,False,0.0,none,0,0,0
62,103,small-world,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.959,0.753,0.721,0.776,100,0,140,True,False,0.0,none,0,0,0
63,104,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.1,0.996,0.934,0.72,0.684,0.72,100,0,200,True,False,0.0,none,0,0,0
64,105,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.968,0.774,0.744,0.818,,,,True,False,0.0,none,0,0,0
65,106,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.996,0.95,0.744,0.712,0.757,100,0,170,True,False,0.0,none,0,0,0
66,107,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.956,0.734,0.699,0.754,100,0,170,True,False,0.0,none,0,0,0
67,108,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.999,0.953,0.753,0.716,0.759,100,0,180,True,False,0.0,none,0,0,0
68,109,small-world,500,True,True,0.991,1.0,1.0,0,1,1.0,0.333,3,1,0.1,0.982,0.941,0.766,0.734,0.783,100,0,130,True,False,0.0,none,0,0,0
69,110,small-world,500,True,True,0.994,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.952,0.738,0.701,0.749,100,0,170,True,False,0.0,none,0,0,0
70,111,small-world,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.994,0.966,0.765,0.736,0.803,,,,True,False,0.0,none,0,0,0
71,112,small-world,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.96,0.743,0.717,0.768,100,0,150,True,False,0.0,none,0,0,0
72,113,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.999,0.943,0.729,0.692,0.729,100,0,200,True,False,0.0,none,0,0,0
73,114,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.999,0.959,0.743,0.716,0.78,100,0,130,True,False,0.0,none,0,0,0
74,115,small-world,500,True,True,0.989,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.993,0.947,0.768,0.734,0.775,100,0,140,True,False,0.0,none,0,0,0
75,116,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,2,0,0.1,0.979,0.896,0.693,0.662,0.693,100,0,,False,True,0.0,none,0,0,0
76,117,small-world,500,True,True,0.997,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.999,0.956,0.742,0.707,0.766,100,0,150,True,False,0.0,none,0,0,0
77,118,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.962,0.775,0.74,0.798,100,0,110,True,False,0.0,none,0,0,0
78,119,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.999,0.97,0.773,0.743,0.804,,,,True,False,0.0,none,0,0,0
79,120,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.961,0.754,0.722,0.778,100,0,140,True,False,0.0,none,0,0,0
80,121,small-world,500,True,True,0.98,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.994,0.935,0.726,0.692,0.739,100,0,,False,True,0.0,none,0,0,0
81,122,small-world,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.993,0.95,0.75,0.72,0.772,100,0,140,True,False,0.0,none,0,0,0
82,123,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.1,0.998,0.962,0.77,0.73,0.787,100,0,120,True,False,0.0,none,0,0,0
83,124,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.965,0.753,0.718,0.781,100,0,140,True,False,0.0,none,0,0,0
84,125,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.998,0.947,0.747,0.71,0.755,100,0,170,True,False,0.0,none,0,0,0
85,126,small-world,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.1,0.995,0.951,0.75,0.717,0.761,100,0,160,True,False,0.0,none,0,0,0
