run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.805,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.39,0.388,0,0.39,0.388,0.39,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,True,True,0.69,1.0,1.0,0,1,1.0,0.833,12,10,0.0,0.261,0.252,0,0.261,0.252,0.261,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,True,True,0.784,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.389,0.391,0,0.389,0.391,0.389,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,True,True,0.78,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.386,0.372,0,0.386,0.372,0.386,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,True,True,0.928,1.0,1.0,0,1,1.0,0.333,3,1,0.0,0.59,0.573,0,0.59,0.573,0.59,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,True,True,0.933,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.562,0.545,0,0.562,0.545,0.562,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,True,True,0.911,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.565,0.549,0,0.565,0.549,0.565,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,True,True,0.881,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.484,0.474,0,0.484,0.474,0.484,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,True,True,0.853,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.554,0.534,0,0.554,0.534,0.554,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,True,True,0.863,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.501,0.492,0,0.501,0.492,0.501,100,0,,False,True,0.0,none,0,0,0
11,52,random,500,True,True,0.981,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.715,0.647,0,0.715,0.647,0.715,100,0,,False,True,0.0,none,0,0,0
12,53,random,500,True,True,0.978,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.708,0.648,0,0.708,0.648,0.708,100,0,,False,True,0.0,none,0,0,0
