run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.971,0.825,0,0.715,0.659,0.715,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.926,0.774,0,0.709,0.644,0.709,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.97,0.834,0,0.735,0.686,0.755,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.968,0.84,0,0.746,0.682,0.746,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,1.0,1.0,1.0,1,2,0.983,0.0,2,0,0.05,0.98,0.832,0,0.728,0.667,0.728,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.995,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.93,0.783,0,0.721,0.649,0.721,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.966,0.843,0,0.755,0.688,0.77,100,,200,True,False,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.998,1.0,1.0,0,1,1.0,0.0,1,0,0.05,0.967,0.838,0,0.741,0.682,0.746,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.968,0.829,0,0.746,0.677,0.746,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,2,0,0.05,0.925,0.766,0,0.699,0.634,0.699,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.97,0.844,0,0.751,0.682,0.762,100,,200,True,False,0.0,none,0,0,0
12,53,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.967,0.825,0,0.734,0.672,0.734,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.996,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.975,0.868,0,0.76,0.71,0.786,100,,140,True,False,0.0,none,0,0,0
14,55,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.979,0.835,0,0.72,0.66,0.737,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.979,0.846,0,0.735,0.687,0.735,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.965,0.835,0,0.743,0.673,0.743,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,True,True,1.0,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.96,0.819,0,0.718,0.666,0.718,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,0.999,1.0,1.0,0,1,1.0,0.0,0,0,0.05,0.977,0.842,0,0.752,0.668,0.755,100,0,,False,True,0.0,none,0,0,0
