run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.897,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.645,0.577,0,0.645,0.577,0.645,100,0,,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.841,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.558,0.507,0,0.558,0.507,0.558,100,0,,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.862,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.599,0.549,0,0.599,0.549,0.599,100,0,,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.832,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.582,0.523,0,0.582,0.523,0.582,100,0,,False,True,0.0,none,0,0,0
5,46,small-world,500,True,True,0.757,1.0,1.0,0,1,1.0,0.667,12,8,0.0,0.494,0.444,0,0.494,0.444,0.494,100,0,,False,True,0.0,none,0,0,0
6,47,small-world,500,True,True,0.882,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.616,0.549,0,0.616,0.549,0.616,100,0,,False,True,0.0,none,0,0,0
7,48,small-world,500,True,True,0.901,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.645,0.59,0,0.645,0.59,0.645,100,0,,False,True,0.0,none,0,0,0
8,49,small-world,500,True,True,0.795,1.0,1.0,0,1,1.0,0.7,10,7,0.0,0.516,0.47,0,0.516,0.47,0.516,100,0,,False,True,0.0,none,0,0,0
9,50,small-world,500,True,True,0.856,1.0,1.0,0,1,1.0,0.556,9,5,0.0,0.607,0.537,0,0.607,0.537,0.607,100,0,,False,True,0.0,none,0,0,0
10,51,small-world,500,True,True,0.828,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.572,0.514,0,0.572,0.514,0.572,100,0,,False,True,0.0,none,0,0,0
11,52,small-world,500,True,True,0.91,1.0,1.0,0,1,1.0,0.333,3,1,0.0,0.619,0.576,0,0.619,0.576,0.619,100,0,,False,True,0.0,none,0,0,0
12,53,small-world,500,True,True,0.898,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.633,0.582,0,0.633,0.582,0.633,100,0,,False,True,0.0,none,0,0,0
13,54,small-world,500,True,True,0.924,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.652,0.603,0,0.652,0.603,0.652,100,0,,False,True,0.0,none,0,0,0
14,55,small-world,500,True,True,0.919,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.608,0.567,0,0.608,0.567,0.608,100,0,,False,True,0.0,none,0,0,0
15,56,small-world,500,True,True,0.847,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.621,0.548,0,0.621,0.548,0.621,100,0,,False,True,0.0,none,0,0,0
16,57,small-world,500,True,True,0.819,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.547,0.5,0,0.547,0.5,0.547,100,0,,False,True,0.0,none,0,0,0
17,58,small-world,500,True,True,0.885,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.609,0.538,0,0.609,0.538,0.609,100,0,,False,True,0.0,none,0,0,0
18,59,small-world,500,True,True,0.829,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.64,0.573,0,0.64,0.573,0.64,100,0,,False,True,0.0,none,0,0,0
19,60,small-world,500,True,True,0.902,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.664,0.602,0,0.664,0.602,0.664,100,0,,False,True,0.0,none,0,0,0
20,61,small-world,500,True,True,0.844,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.588,0.529,0,0.588,0.529,0.588,100,0,,False,True,0.0,none,0,0,0
21,62,small-world,500,True,True,0.845,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.582,0.511,0,0.582,0.511,0.582,100,0,,False,True,0.0,none,0,0,0
22,63,small-world,500,True,True,0.855,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.577,0.536,0,0.577,0.536,0.577,100,0,,False,True,0.0,none,0,0,0
23,64,small-world,500,True,True,0.821,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.575,0.504,0,0.575,0.504,0.575,100,0,,False,True,0.0,none,0,0,0
24,65,small-world,500,True,True,0.932,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.657,0.588,0,0.657,0.588,0.657,100,0,,False,True,0.0,none,0,0,0
25,66,small-world,500,True,True,0.865,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.627,0.557,0,0.627,0.557,0.627,100,0,,False,True,0.0,none,0,0,0
26,67,small-world,500,True,True,0.861,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.642,0.556,0,0.642,0.556,0.642,100,0,,False,True,0.0,none,0,0,0
27,68,small-world,500,True,True,0.77,1.0,1.0,0,1,1.0,0.917,12,11,0.0,0.501,0.459,0,0.501,0.459,0.501,100,0,,False,True,0.0,none,0,0,0
28,69,small-world,500,True,True,0.812,1.0,1.0,0,1,1.0,0.7,10,7,0.0,0.559,0.512,0,0.559,0.512,0.559,100,0,,False,True,0.0,none,0,0,0
29,70,small-world,500,True,True,0.831,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.614,0.554,0,0.614,0.554,0.614,100,0,,False,True,0.0,none,0,0,0
30,71,small-world,500,True,True,0.871,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.636,0.569,0,0.636,0.568,0.636,100,0,,False,True,0.0,none,0,0,0
31,72,small-world,500,True,True,0.871,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.617,0.557,0,0.617,0.557,0.617,100,0,,False,True,0.0,none,0,0,0
32,73,small-world,500,True,True,0.845,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.632,0.564,0,0.632,0.564,0.632,100,0,,False,True,0.0,none,0,0,0
33,74,small-world,500,True,True,0.879,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.605,0.562,0,0.605,0.562,0.605,100,0,,False,True,0.0,none,0,0,0
34,75,small-world,500,True,True,0.955,1.0,1.0,0,1,1.0,0.0,1,0,0.0,0.718,0.639,0,0.718,0.639,0.718,100,0,,False,True,0.0,none,0,0,0
35,76,small-world,500,True,True,0.861,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.542,0.506,0,0.542,0.506,0.542,100,0,,False,True,0.0,none,0,0,0
36,77,small-world,500,True,True,0.812,1.0,1.0,0,1,1.0,0.727,11,8,0.0,0.564,0.497,0,0.564,0.497,0.564,100,0,,False,True,0.0,none,0,0,0
37,78,small-world,500,True,True,0.921,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.67,0.613,0,0.67,0.613,0.67,100,0,,False,True,0.0,none,0,0,0
38,79,small-world,500,True,True,0.895,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.636,0.577,0,0.636,0.577,0.636,100,0,,False,True,0.0,none,0,0,0
39,80,small-world,500,True,True,0.899,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.602,0.538,0,0.602,0.538,0.602,100,0,,False,True,0.0,none,0,0,0
40,81,small-world,500,True,True,0.85,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.615,0.551,0,0.615,0.551,0.615,100,0,,False,True,0.0,none,0,0,0
41,82,small-world,500,True,True,0.852,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.624,0.56,0,0.624,0.56,0.624,100,0,,False,True,0.0,none,0,0,0
42,83,small-world,500,True,True,0.853,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.602,0.555,0,0.602,0.555,0.602,100,0,,False,True,0.0,none,0,0,0
43,84,small-world,500,True,True,0.888,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.63,0.564,0,0.63,0.564,0.63,100,0,,False,True,0.0,none,0,0,0
44,85,small-world,500,True,True,0.866,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.629,0.583,0,0.629,0.583,0.629,100,0,,False,True,0.0,none,0,0,0
45,86,small-world,500,True,True,0.894,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.612,0.555,0,0.612,0.555,0.612,100,0,,False,True,0.0,none,0,0,0
46,87,small-world,500,True,True,0.86,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.622,0.56,0,0.622,0.56,0.622,100,0,,False,True,0.0,none,0,0,0
47,88,small-world,500,True,True,0.857,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.62,0.552,0,0.62,0.552,0.62,100,0,,False,True,0.0,none,0,0,0
48,89,small-world,500,True,True,0.89,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.618,0.571,0,0.618,0.571,0.618,100,0,,False,True,0.0,none,0,0,0
49,90,small-world,500,True,True,0.849,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.573,0.52,0,0.573,0.52,0.573,100,0,,False,True,0.0,none,0,0,0
50,91,small-world,500,True,True,0.976,1.0,1.0,0,1,1.0,0.0,0,0,0.0,0.693,0.634,0,0.693,0.634,0.693,100,0,,False,True,0.0,none,0,0,0
51,92,small-world,500,True,True,0.889,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.682,0.608,0,0.682,0.608,0.682,100,0,,False,True,0.0,none,0,0,0
52,93,small-world,500,True,True,0.88,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.643,0.575,0,0.643,0.575,0.643,100,0,,False,True,0.0,none,0,0,0
53,94,small-world,500,True,True,0.854,1.0,1.0,0,1,1.0,0.625,8,5,0.0,0.653,0.578,0,0.653,0.578,0.653,100,0,,False,True,0.0,none,0,0,0
54,95,small-world,500,True,True,0.905,1.0,1.0,0,1,1.0,0.5,2,1,0.0,0.629,0.567,0,0.629,0.567,0.629,100,0,,False,True,0.0,none,0,0,0
55,96,small-world,500,True,True,0.857,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.618,0.542,0,0.618,0.542,0.618,100,0,,False,True,0.0,none,0,0,0
56,97,small-world,500,True,True,0.762,1.0,1.0,0,1,1.0,0.625,16,10,0.0,0.515,0.466,0,0.515,0.466,0.515,100,0,,False,True,0.0,none,0,0,0
57,98,small-world,500,True,True,0.891,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.576,0.534,0,0.576,0.534,0.576,100,0,,False,True,0.0,none,0,0,0
58,99,small-world,500,True,True,0.93,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.638,0.584,0,0.638,0.584,0.638,100,0,,False,True,0.0,none,0,0,0
59,100,small-world,500,True,True,0.869,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.632,0.557,0,0.632,0.557,0.632,100,0,,False,True,0.0,none,0,0,0
60,101,small-world,500,True,True,0.887,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.612,0.56,0,0.612,0.56,0.612,100,0,,False,True,0.0,none,0,0,0
61,102,small-world,500,True,True,0.913,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.697,0.609,0,0.697,0.609,0.697,100,0,,False,True,0.0,none,0,0,0
62,103,small-world,500,True,True,0.876,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.616,0.559,0,0.616,0.559,0.616,100,0,,False,True,0.0,none,0,0,0
63,104,small-world,500,True,True,0.892,1.0,1.0,0,1,1.0,0.625,8,5,0.0,0.623,0.557,0,0.623,0.555,0.623,100,0,,False,True,0.0,none,0,0,0
64,105,small-world,500,True,True,0.878,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.608,0.566,0,0.608,0.566,0.608,100,0,,False,True,0.0,none,0,0,0
65,106,small-world,500,True,True,0.929,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.718,0.626,0,0.718,0.626,0.718,100,0,,False,True,0.0,none,0,0,0
66,107,small-world,500,True,True,0.869,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.551,0.508,0,0.551,0.508,0.551,100,0,,False,True,0.0,none,0,0,0
67,108,small-world,500,True,True,0.87,1.0,1.0,0,1,1.0,0.75,8,6,0.0,0.641,0.562,0,0.641,0.562,0.641,100,0,,False,True,0.0,none,0,0,0
68,109,small-world,500,True,True,0.818,1.0,1.0,0,1,1.0,0.625,8,5,0.0,0.58,0.533,0,0.58,0.533,0.58,100,0,,False,True,0.0,none,0,0,0
69,110,small-world,500,True,True,0.896,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.651,0.576,0,0.651,0.576,0.651,100,0,,False,True,0.0,none,0,0,0
70,111,small-world,500,True,True,0.857,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.636,0.573,0,0.636,0.573,0.636,100,0,,False,True,0.0,none,0,0,0
71,112,small-world,500,True,True,0.854,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.653,0.565,0,0.653,0.565,0.653,100,0,,False,True,0.0,none,0,0,0
72,113,small-world,500,True,True,0.869,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.561,0.51,0,0.561,0.51,0.561,100,0,,False,True,0.0,none,0,0,0
73,114,small-world,500,True,True,0.889,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.65,0.584,0,0.65,0.584,0.65,100,0,,False,True,0.0,none,0,0,0
74,115,small-world,500,True,True,0.948,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.705,0.639,0,0.705,0.639,0.705,100,0,,False,True,0.0,none,0,0,0
75,116,small-world,500,True,True,0.773,1.0,1.0,0,1,1.0,0.786,14,11,0.0,0.528,0.481,0,0.528,0.481,0.528,100,0,,False,True,0.0,none,0,0,0
76,117,small-world,500,True,True,0.859,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.623,0.537,0,0.623,0.537,0.623,100,0,,False,True,0.0,none,0,0,0
77,118,small-world,500,True,True,0.859,1.0,1.0,0,1,1.0,0.875,8,7,0.0,0.663,0.59,0,0.663,0.59,0.663,100,0,,False,True,0.0,none,0,0,0
78,119,small-world,500,True,True,0.938,1.0,1.0,0,1,1.0,0.0,2,0,0.0,0.685,0.644,0,0.685,0.644,0.685,100,0,,False,True,0.0,none,0,0,0
79,120,small-world,500,True,True,0.828,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.533,0.492,0,0.533,0.492,0.533,100,0,,False,True,0.0,none,0,0,0
80,121,small-world,500,True,True,0.811,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.568,0.499,0,0.568,0.499,0.568,100,0,,False,True,0.0,none,0,0,0
81,122,small-world,500,True,True,0.854,1.0,1.0,0,1,1.0,0.857,7,6,0.0,0.611,0.559,0,0.611,0.559,0.611,100,0,,False,True,0.0,none,0,0,0
82,123,small-world,500,True,True,0.927,1.0,1.0,0,1,1.0,0.5,4,2,0.0,0.673,0.611,0,0.673,0.611,0.673,100,0,,False,True,0.0,none,0,0,0
83,124,small-world,500,True,True,0.903,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.617,0.581,0,0.617,0.581,0.617,100,0,,False,True,0.0,none,0,0,0
84,125,small-world,500,True,True,0.862,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.655,0.571,0,0.655,0.571,0.655,100,0,,False,True,0.0,none,0,0,0
85,126,small-world,500,True,True,0.879,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.634,0.575,0,0.634,0.575,0.634,100,0,,False,True,0.0,none,0,0,0
86,127,small-world,500,True,True,0.834,1.0,1.0,0,1,1.0,0.667,9,6,0.0,0.54,0.499,0,0.54,0.499,0.54,100,0,,False,True,0.0,none,0,0,0
87,128,small-world,500,True,True,0.906,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.621,0.579,0,0.621,0.579,0.621,100,0,,False,True,0.0,none,0,0,0
88,129,small-world,500,True,True,0.862,1.0,1.0,0,1,1.0,0.714,7,5,0.0,0.604,0.543,0,0.604,0.543,0.604,100,0,,False,True,0.0,none,0,0,0
89,130,small-world,500,True,True,0.872,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.616,0.563,0,0.616,0.563,0.616,100,0,,False,True,0.0,none,0,0,0
90,131,small-world,500,True,True,0.916,1.0,1.0,0,1,1.0,0.667,3,2,0.0,0.632,0.59,0,0.632,0.59,0.632,100,0,,False,True,0.0,none,0,0,0
91,132,small-world,500,True,True,0.83,1.0,1.0,0,1,1.0,0.778,9,7,0.0,0.606,0.537,0,0.606,0.537,0.606,100,0,,False,True,0.0,none,0,0,0
92,133,small-world,500,True,True,0.833,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.524,0.48,0,0.524,0.48,0.524,100,0,,False,True,0.0,none,0,0,0
93,134,small-world,500,True,True,0.871,1.0,1.0,0,1,1.0,0.75,4,3,0.0,0.599,0.545,0,0.599,0.545,0.599,100,0,,False,True,0.0,none,0,0,0
94,135,small-world,500,True,True,0.78,1.0,1.0,0,1,1.0,0.667,12,8,0.0,0.551,0.502,0,0.551,0.502,0.551,100,0,,False,True,0.0,none,0,0,0
95,136,small-world,500,True,True,0.821,1.0,1.0,0,1,1.0,0.889,9,8,0.0,0.575,0.522,0,0.575,0.522,0.575,100,0,,False,True,0.0,none,0,0,0
96,137,small-world,500,True,True,0.857,1.0,1.0,0,1,1.0,0.667,6,4,0.0,0.584,0.532,0,0.584,0.532,0.584,100,0,,False,True,0.0,none,0,0,0
97,138,small-world,500,True,True,0.886,1.0,1.0,0,1,1.0,0.833,6,5,0.0,0.662,0.586,0,0.662,0.586,0.662,100,0,,False,True,0.0,none,0,0,0
98,139,small-world,500,True,True,0.907,1.0,1.0,0,1,1.0,0.6,5,3,0.0,0.629,0.551,0,0.629,0.551,0.629,100,0,,False,True,0.0,none,0,0,0
99,140,small-world,500,True,True,0.786,1.0,1.0,0,1,1.0,0.917,12,11,0.0,0.547,0.497,0,0.547,0.497,0.547,100,0,,False,True,0.0,none,0,0,0
100,141,small-world,500,True,True,0.861,1.0,1.0,0,1,1.0,0.8,5,4,0.0,0.587,0.543,0,0.587,0.543,0.587,100,0,,False,True,0.0,none,0,0,0
