"topology","trust_memory_decay","collapse_runs","recovery_runs","collapse_rate","recovery_rate","avg_years_to_collapse","fastest_collapse_year","avg_final_cooperation","avg_post_betrayal_min_cooperation","avg_fragmentation","avg_largest_component_ratio","avg_infiltrator_count"
"federation","0","100","0","1","0","0","100","0.512","0.512","0.01","0.998","0"
"federation","0.05","52","48","0.52","0.48","0","100","0.977","0.746","0.01","0.998","0"
"federation","0.1","23","77","0.23","0.77","0","100","0.996","0.755","0.01","0.998","0"
"federation","0.2","2","98","0.02","0.98","0","100","0.998","0.768","0","0.998","0"
"random","0","100","0","1","0","0","100","0.476","0.476","0","0.998","0"
"random","0.05","58","42","0.58","0.42","0","100","0.98","0.744","0","0.998","0"
"random","0.1","26","74","0.26","0.74","0","100","0.997","0.754","0","0.998","0"
"random","0.2","5","95","0.05","0.95","0","100","0.998","0.767","0","0.998","0"
"scale-free","0","100","0","1","0","0","100","0.412","0.412","0","1","0"
"scale-free","0.05","69","31","0.69","0.31","0","100","0.965","0.742","0.01","1","0"
"scale-free","0.1","38","62","0.38","0.62","0","100","0.994","0.752","0.01","1","0"
"scale-free","0.2","9","91","0.09","0.91","0","100","0.998","0.766","0.01","1","0"
"small-world","0","100","0","1","0","0","100","0.612","0.612","0","1","0"
"small-world","0.05","36","64","0.36","0.64","0","100","0.979","0.752","0","1","0"
"small-world","0.1","9","91","0.09","0.91","0","100","0.996","0.76","0","1","0"
"small-world","0.2","3","97","0.03","0.97","0","100","0.998","0.774","0","1","0"
