"topology","trust_memory_decay","collapse_runs","recovery_runs","collapse_rate","recovery_rate","avg_years_to_collapse","fastest_collapse_year","avg_final_cooperation","avg_post_betrayal_min_cooperation","avg_fragmentation","avg_largest_component_ratio","avg_infiltrator_count"
"federation","0","100","0","1","0","0","100","0.03","0.03","0","0.998","6"
"federation","0.05","100","0","1","0","0","100","0.459","0.458","0.01","0.998","6"
"federation","0.1","100","0","1","0","0.2","100","0.631","0.625","0","0.998","6"
"federation","0.2","100","0","1","0","1.8","100","0.731","0.691","0","0.998","6"
"random","0","100","0","1","0","0","100","0.004","0.003","0","0.998","6"
"random","0.05","100","0","1","0","0","100","0.448","0.448","0.01","0.998","6"
"random","0.1","100","0","1","0","0.2","100","0.646","0.638","0.01","0.998","6"
"random","0.2","100","0","1","0","0.8","100","0.759","0.693","0","0.998","6"
"scale-free","0","100","0","1","0","0","100","0.006","0.006","0.01","1","6"
"scale-free","0.05","100","0","1","0","0.4","100","0.409","0.408","0.03","1","6"
"scale-free","0.1","100","0","1","0","0.4","100","0.567","0.564","0.03","1","6"
"scale-free","0.2","100","0","1","0","2.2","100","0.674","0.658","0","1","6"
"small-world","0","100","0","1","0","0","100","0.12","0.12","0","1","6"
"small-world","0.05","100","0","1","0","0.2","100","0.497","0.496","0","1","6"
"small-world","0.1","100","0","1","0","1","100","0.618","0.614","0","1","6"
"small-world","0.2","100","0","1","0","3.2","100","0.688","0.679","0","1","6"
