"topology","trust_memory_decay","baseline_collapse_rate","baseline_recovery_rate","infiltration_collapse_rate","infiltration_recovery_rate","collapse_rate_delta","recovery_rate_delta","baseline_avg_years_to_collapse","infiltration_avg_years_to_collapse","baseline_fastest_collapse_year","infiltration_fastest_collapse_year","baseline_avg_final_cooperation","infiltration_avg_final_cooperation","final_cooperation_delta","baseline_avg_post_betrayal_min","infiltration_avg_post_betrayal_min","avg_fragmentation","avg_largest_component_ratio","avg_infiltrator_count","recovered_to_failed"
"federation","0","1","0","1","0","0","0","0","0","100","100","0.512","0.03","-0.482","0.512","0.03","0","0.998","6","False"
"federation","0.05","0.52","0.48","1","0","0.48","-0.48","0","0","100","100","0.977","0.459","-0.518","0.746","0.458","0.01","0.998","6","False"
"federation","0.1","0.23","0.77","1","0","0.77","-0.77","0","0.2","100","100","0.996","0.631","-0.365","0.755","0.625","0","0.998","6","True"
"federation","0.2","0.02","0.98","1","0","0.98","-0.98","0","1.8","100","100","0.998","0.731","-0.267","0.768","0.691","0","0.998","6","True"
"random","0","1","0","1","0","0","0","0","0","100","100","0.476","0.004","-0.472","0.476","0.003","0","0.998","6","False"
"random","0.05","0.58","0.42","1","0","0.42","-0.42","0","0","100","100","0.98","0.448","-0.532","0.744","0.448","0.01","0.998","6","False"
"random","0.1","0.26","0.74","1","0","0.74","-0.74","0","0.2","100","100","0.997","0.646","-0.351","0.754","0.638","0.01","0.998","6","True"
"random","0.2","0.05","0.95","1","0","0.95","-0.95","0","0.8","100","100","0.998","0.759","-0.239","0.767","0.693","0","0.998","6","True"
"scale-free","0","1","0","1","0","0","0","0","0","100","100","0.412","0.006","-0.406","0.412","0.006","0.01","1","6","False"
"scale-free","0.05","0.69","0.31","1","0","0.31","-0.31","0","0.4","100","100","0.965","0.409","-0.556","0.742","0.408","0.03","1","6","False"
"scale-free","0.1","0.38","0.62","1","0","0.62","-0.62","0","0.4","100","100","0.994","0.567","-0.427","0.752","0.564","0.03","1","6","True"
"scale-free","0.2","0.09","0.91","1","0","0.91","-0.91","0","2.2","100","100","0.998","0.674","-0.324","0.766","0.658","0","1","6","True"
"small-world","0","1","0","1","0","0","0","0","0","100","100","0.612","0.12","-0.492","0.612","0.12","0","1","6","False"
"small-world","0.05","0.36","0.64","1","0","0.64","-0.64","0","0.2","100","100","0.979","0.497","-0.482","0.752","0.496","0","1","6","True"
"small-world","0.1","0.09","0.91","1","0","0.91","-0.91","0","1","100","100","0.996","0.618","-0.378","0.76","0.614","0","1","6","True"
"small-world","0.2","0.03","0.97","1","0","0.97","-0.97","0","3.2","100","100","0.998","0.688","-0.31","0.774","0.679","0","1","6","True"
