run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.696,1.0,1.0,0,1,1.0,0.8,15,12,0.05,0.451,0.351,6,0.451,0.351,0.451,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,0.735,1.0,1.0,0,1,1.0,0.667,12,8,0.05,0.441,0.335,6,0.441,0.335,0.441,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.68,1.0,1.0,0,1,1.0,0.667,15,10,0.05,0.332,0.23,6,0.332,0.23,0.332,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.731,1.0,1.0,0,1,1.0,0.615,13,8,0.05,0.462,0.366,6,0.462,0.366,0.462,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.834,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.535,0.416,6,0.534,0.416,0.534,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.774,1.0,1.0,0,1,1.0,0.625,8,5,0.05,0.437,0.332,6,0.437,0.332,0.437,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.779,1.0,1.0,0,2,0.986,0.615,13,8,0.05,0.564,0.465,6,0.564,0.465,0.564,100,0,,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.746,1.0,1.0,0,1,1.0,0.857,14,12,0.05,0.476,0.367,6,0.476,0.367,0.476,100,0,,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.758,1.0,1.0,0,1,1.0,0.4,10,4,0.05,0.408,0.292,6,0.408,0.292,0.408,100,0,,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.752,1.0,1.0,0,1,1.0,0.833,12,10,0.05,0.47,0.365,6,0.47,0.365,0.47,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,0.787,1.0,1.0,0,1,1.0,0.667,9,6,0.05,0.481,0.367,6,0.481,0.367,0.481,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.765,1.0,1.0,0,1,1.0,0.556,9,5,0.05,0.416,0.308,6,0.416,0.308,0.416,100,0,,False,True,0.0,none,0,0,0
13,54,federation,500,True,True,0.706,1.0,1.0,0,1,1.0,0.636,11,7,0.05,0.387,0.286,6,0.387,0.286,0.387,100,0,,False,True,0.0,none,0,0,0
14,55,federation,500,True,True,0.755,1.0,1.0,0,1,1.0,0.667,12,8,0.05,0.509,0.406,6,0.509,0.406,0.509,100,0,,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,0.779,1.0,1.0,0,1,1.0,0.7,10,7,0.05,0.548,0.434,6,0.548,0.434,0.548,100,0,,False,True,0.0,none,0,0,0
16,57,federation,500,True,True,0.803,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.525,0.41,6,0.525,0.41,0.525,100,0,,False,True,0.0,none,0,0,0
17,58,federation,500,True,True,0.688,1.0,1.0,0,1,1.0,0.846,13,11,0.05,0.377,0.281,6,0.377,0.281,0.377,100,0,,False,True,0.0,none,0,0,0
