run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.817,1.0,1.0,0,1,1.0,0.571,7,4,0.05,0.529,0.412,6,0.529,0.412,0.529,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,True,True,0.627,1.0,1.0,0,1,1.0,0.625,16,10,0.05,0.269,0.179,6,0.269,0.179,0.269,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,True,True,0.748,1.0,1.0,0,1,1.0,0.5,8,4,0.05,0.332,0.226,6,0.332,0.226,0.332,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,True,True,0.716,1.0,1.0,0,1,1.0,0.714,14,10,0.05,0.437,0.329,6,0.437,0.329,0.437,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,True,True,0.718,1.0,1.0,0,1,1.0,0.667,12,8,0.05,0.408,0.303,6,0.408,0.303,0.408,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,True,True,0.828,1.0,1.0,0,1,1.0,0.333,6,2,0.05,0.477,0.353,6,0.477,0.353,0.477,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,True,True,0.767,1.0,1.0,0,1,1.0,0.167,6,1,0.05,0.429,0.315,6,0.429,0.315,0.429,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,True,True,0.792,1.0,1.0,0,1,1.0,0.333,6,2,0.05,0.418,0.302,6,0.418,0.302,0.418,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,True,True,0.685,1.0,1.0,0,1,1.0,0.7,10,7,0.05,0.314,0.209,6,0.314,0.209,0.314,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,True,True,0.84,1.0,1.0,0,1,1.0,0.714,7,5,0.05,0.592,0.479,6,0.591,0.479,0.591,100,0,,False,True,0.0,none,0,0,0
11,52,random,500,True,True,0.775,1.0,1.0,0,1,1.0,0.727,11,8,0.05,0.479,0.377,6,0.479,0.377,0.479,100,0,,False,True,0.0,none,0,0,0
12,53,random,500,True,True,0.799,1.0,1.0,0,1,1.0,0.375,8,3,0.05,0.416,0.29,6,0.416,0.29,0.416,100,0,,False,True,0.0,none,0,0,0
13,54,random,500,True,True,0.823,1.0,1.0,0,1,1.0,0.625,8,5,0.05,0.518,0.398,6,0.518,0.398,0.518,100,0,,False,True,0.0,none,0,0,0
