run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.9,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.634,0.521,6,0.627,0.517,0.627,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.891,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.653,0.552,6,0.633,0.532,0.633,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.918,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.645,0.54,6,0.645,0.54,0.645,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.914,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.689,0.591,6,0.686,0.583,0.686,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.902,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.648,0.551,6,0.643,0.543,0.643,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.888,1.0,1.0,0,1,1.0,0.0,3,0,0.2,0.621,0.523,6,0.599,0.501,0.599,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.916,1.0,1.0,0,1,1.0,0.0,3,0,0.2,0.705,0.615,6,0.688,0.586,0.688,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.893,1.0,1.0,0,1,1.0,0.333,3,1,0.2,0.68,0.59,6,0.67,0.572,0.67,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.929,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.686,0.578,6,0.674,0.568,0.674,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.881,1.0,1.0,0,1,1.0,0.0,3,0,0.2,0.637,0.543,6,0.615,0.513,0.615,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.925,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.698,0.583,6,0.675,0.566,0.675,100,0,,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.916,1.0,1.0,0,1,1.0,0.333,3,1,0.2,0.74,0.659,6,0.665,0.577,0.665,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.919,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.676,0.572,6,0.676,0.572,0.676,120,20,,False,True,0.0,none,0,0,0
14,55,scale-free,500,True,True,0.93,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.669,0.556,6,0.669,0.556,0.669,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,0.917,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.729,0.649,6,0.671,0.578,0.671,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.908,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.698,0.616,6,0.693,0.598,0.693,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,True,True,0.929,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.711,0.611,6,0.667,0.572,0.667,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,True,True,0.915,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.704,0.605,6,0.677,0.57,0.677,100,0,,False,True,0.0,none,0,0,0
19,60,scale-free,500,True,True,0.952,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.719,0.606,6,0.698,0.587,0.698,100,0,,False,True,0.0,none,0,0,0
20,61,scale-free,500,True,True,0.911,1.0,1.0,0,1,1.0,0.0,3,0,0.2,0.656,0.544,6,0.643,0.534,0.643,100,0,,False,True,0.0,none,0,0,0
21,62,scale-free,500,True,True,0.943,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.696,0.587,6,0.663,0.556,0.663,100,0,,False,True,0.0,none,0,0,0
22,63,scale-free,500,True,True,0.846,1.0,1.0,0,1,1.0,0.429,7,3,0.2,0.602,0.513,6,0.591,0.5,0.591,100,0,,False,True,0.0,none,0,0,0
23,64,scale-free,500,True,True,0.924,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.646,0.537,6,0.637,0.531,0.637,100,0,,False,True,0.0,none,0,0,0
24,65,scale-free,500,True,True,0.918,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.677,0.567,6,0.677,0.567,0.677,100,0,,False,True,0.0,none,0,0,0
25,66,scale-free,500,True,True,0.951,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.714,0.608,6,0.714,0.605,0.714,100,0,,False,True,0.0,none,0,0,0
26,67,scale-free,500,True,True,0.911,1.0,1.0,0,1,1.0,0.25,4,1,0.2,0.698,0.604,6,0.664,0.567,0.664,100,0,,False,True,0.0,none,0,0,0
27,68,scale-free,500,True,True,0.889,1.0,1.0,0,1,1.0,0.25,4,1,0.2,0.699,0.61,6,0.67,0.58,0.67,100,0,,False,True,0.0,none,0,0,0
28,69,scale-free,500,True,True,0.881,1.0,1.0,0,1,1.0,0.25,4,1,0.2,0.653,0.573,6,0.651,0.558,0.651,100,0,,False,True,0.0,none,0,0,0
29,70,scale-free,500,True,True,0.939,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.685,0.581,6,0.681,0.578,0.681,100,0,,False,True,0.0,none,0,0,0
30,71,scale-free,500,True,True,0.932,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.686,0.583,6,0.652,0.551,0.652,100,0,,False,True,0.0,none,0,0,0
31,72,scale-free,500,True,True,0.911,1.0,1.0,0,1,1.0,0.0,4,0,0.2,0.715,0.619,6,0.694,0.594,0.694,100,0,,False,True,0.0,none,0,0,0
32,73,scale-free,500,True,True,0.904,1.0,1.0,0,1,1.0,0.0,3,0,0.2,0.656,0.559,6,0.651,0.543,0.651,100,0,,False,True,0.0,none,0,0,0
33,74,scale-free,500,True,True,0.938,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.675,0.565,6,0.662,0.551,0.662,100,0,,False,True,0.0,none,0,0,0
34,75,scale-free,500,True,True,0.924,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.673,0.57,6,0.671,0.57,0.671,100,0,,False,True,0.0,none,0,0,0
35,76,scale-free,500,True,True,0.911,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.683,0.582,6,0.663,0.56,0.663,100,0,,False,True,0.0,none,0,0,0
36,77,scale-free,500,True,True,0.903,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.627,0.518,6,0.62,0.512,0.62,100,0,,False,True,0.0,none,0,0,0
37,78,scale-free,500,True,True,0.948,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.742,0.642,6,0.732,0.634,0.732,120,20,,False,True,0.0,none,0,0,0
38,79,scale-free,500,True,True,0.901,1.0,1.0,0,1,1.0,0.333,3,1,0.2,0.63,0.519,6,0.619,0.508,0.619,100,0,,False,True,0.0,none,0,0,0
39,80,scale-free,500,True,True,0.831,1.0,1.0,0,1,1.0,0.429,7,3,0.2,0.586,0.496,6,0.574,0.484,0.574,100,0,,False,True,0.0,none,0,0,0
40,81,scale-free,500,True,True,0.907,1.0,1.0,0,1,1.0,0.5,2,1,0.2,0.69,0.586,6,0.689,0.575,0.689,100,0,,False,True,0.0,none,0,0,0
41,82,scale-free,500,True,True,0.916,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.675,0.578,6,0.673,0.577,0.673,120,20,,False,True,0.0,none,0,0,0
42,83,scale-free,500,True,True,0.849,1.0,1.0,0,1,1.0,0.5,6,3,0.2,0.63,0.55,6,0.63,0.55,0.63,100,0,,False,True,0.0,none,0,0,0
43,84,scale-free,500,True,True,0.917,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.63,0.521,6,0.623,0.516,0.623,100,0,,False,True,0.0,none,0,0,0
44,85,scale-free,500,True,True,0.944,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.739,0.642,6,0.708,0.605,0.708,100,0,,False,True,0.0,none,0,0,0
45,86,scale-free,500,True,True,0.918,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.71,0.618,6,0.671,0.579,0.671,100,0,,False,True,0.0,none,0,0,0
46,87,scale-free,500,True,True,0.917,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.719,0.63,6,0.716,0.629,0.716,100,0,,False,True,0.0,none,0,0,0
47,88,scale-free,500,True,True,0.904,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.608,0.504,6,0.608,0.504,0.608,100,0,,False,True,0.0,none,0,0,0
48,89,scale-free,500,True,True,0.905,1.0,1.0,0,1,1.0,0.0,2,0,0.2,0.657,0.55,6,0.65,0.545,0.65,100,0,,False,True,0.0,none,0,0,0
49,90,scale-free,500,True,True,0.854,1.0,1.0,0,1,1.0,0.25,4,1,0.2,0.654,0.563,6,0.654,0.563,0.654,100,0,,False,True,0.0,none,0,0,0
50,91,scale-free,500,True,True,0.918,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.699,0.601,6,0.673,0.57,0.673,100,0,,False,True,0.0,none,0,0,0
51,92,scale-free,500,True,True,0.944,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.759,0.663,6,0.735,0.637,0.735,120,20,,False,True,0.0,none,0,0,0
52,93,scale-free,500,True,True,0.84,1.0,1.0,0,1,1.0,0.5,6,3,0.2,0.599,0.505,6,0.595,0.503,0.595,100,0,,False,True,0.0,none,0,0,0
53,94,scale-free,500,True,True,0.929,1.0,1.0,0,1,1.0,0.0,1,0,0.2,0.702,0.606,6,0.701,0.606,0.701,100,0,,False,True,0.0,none,0,0,0
54,95,scale-free,500,True,True,0.958,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.735,0.622,6,0.728,0.612,0.728,120,20,,False,True,0.0,none,0,0,0
55,96,scale-free,500,True,True,0.931,1.0,1.0,0,1,1.0,0.0,0,0,0.2,0.686,0.581,6,0.666,0.568,0.666,100,0,,False,True,0.0,none,0,0,0
56,97,scale-free,500,True,True,0.85,1.0,1.0,0,1,1.0,0.2,5,1,0.2,0.598,0.503,6,0.594,0.502,0.594,100,0,,False,True,0.0,none,0,0,0
57,98,scale-free,500,True,True,0.88,1.0,1.0,0,1,1.0,0.667,3,2,0.2,0.588,0.473,6,0.582,0.472,0.582,100,0,,False,True,0.0,none,0,0,0
58,99,scale-free,500,True,True,0.885,1.0,1.0,0,1,1.0,0.25,4,1,0.2,0.631,0.53,6,0.631,0.53,0.631,100,0,,False,True,0.0,none,0,0,0
