run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.691,1.0,1.0,0,1,1.0,0.786,14,11,0.05,0.413,0.323,6,0.413,0.323,0.413,100,0,,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.666,1.0,1.0,0,1,1.0,0.556,18,10,0.05,0.4,0.308,6,0.4,0.308,0.4,100,0,,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.733,1.0,1.0,0,1,1.0,0.75,16,12,0.05,0.633,0.548,6,0.595,0.506,0.595,100,0,,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.665,1.0,1.0,0,1,1.0,0.8,20,16,0.05,0.482,0.407,6,0.482,0.407,0.482,100,0,,False,True,0.0,none,0,0,0
5,46,small-world,500,True,True,0.673,1.0,1.0,0,1,1.0,0.667,15,10,0.05,0.421,0.338,6,0.421,0.338,0.421,100,0,,False,True,0.0,none,0,0,0
6,47,small-world,500,True,True,0.663,1.0,1.0,0,1,1.0,0.647,17,11,0.05,0.41,0.337,6,0.41,0.337,0.41,100,0,,False,True,0.0,none,0,0,0
7,48,small-world,500,True,True,0.708,1.0,1.0,0,1,1.0,0.667,15,10,0.05,0.46,0.372,6,0.46,0.371,0.46,100,0,,False,True,0.0,none,0,0,0
8,49,small-world,500,True,True,0.701,1.0,1.0,0,1,1.0,0.556,18,10,0.05,0.478,0.391,6,0.478,0.391,0.478,100,0,,False,True,0.0,none,0,0,0
9,50,small-world,500,True,True,0.727,1.0,1.0,0,1,1.0,0.533,15,8,0.05,0.544,0.451,6,0.544,0.448,0.544,100,0,,False,True,0.0,none,0,0,0
10,51,small-world,500,True,True,0.7,1.0,1.0,0,1,1.0,0.75,16,12,0.05,0.472,0.382,6,0.472,0.381,0.472,100,0,,False,True,0.0,none,0,0,0
11,52,small-world,500,True,True,0.773,1.0,1.0,0,1,1.0,0.727,11,8,0.05,0.559,0.465,6,0.559,0.465,0.559,100,0,,False,True,0.0,none,0,0,0
12,53,small-world,500,True,True,0.677,1.0,1.0,0,1,1.0,0.688,16,11,0.05,0.417,0.325,6,0.417,0.325,0.417,100,0,,False,True,0.0,none,0,0,0
