"topology","trust_memory_decay","collapse_rate","recovery_rate","recovered_cooperation_rate","avg_time_to_collapse","avg_final_cooperation","survival_rate","avg_fragmentation_count","avg_largest_component_ratio","adversary_isolation_rate","avg_time_to_isolation","defended"
"federation","0","1","0","0","0","0.002","0","0.02","0.997","0","","False"
"federation","0.05","1","0","0","0","0.041","0","0.02","0.998","0","","False"
"federation","0.1","1","0","0","0","0.113","0.07","0.01","0.998","0","","False"
"federation","0.2","1","0","0","0","0.282","0.76","0","0.998","0","","False"
"random","0","1","0","0","0","0.001","0","0","0.998","0","","False"
"random","0.05","1","0","0","0","0.005","0","0","0.998","0","","False"
"random","0.1","1","0","0","0","0.042","0.02","0.02","0.997","0","","False"
"random","0.2","1","0","0","0","0.209","0.57","0.02","0.997","0","","False"
"scale-free","0","1","0","0","0","0.001","0","0.01","1","0","","False"
"scale-free","0.05","1","0","0","0","0.012","0","0","1","0","","False"
"scale-free","0.1","1","0","0","0","0.063","0","0","1","0","","False"
"scale-free","0.2","1","0","0","0","0.221","0.51","0","1","0","","False"
"small-world","0","1","0","0","0","0.004","0","0","1","0","","False"
"small-world","0.05","1","0","0","0","0.178","0.03","0","1","0","","False"
"small-world","0.1","1","0","0","0","0.312","0.73","0","1","0","","False"
"small-world","0.2","1","0","0","0","0.476","1","0","1","0","","False"
