"topology","trust_memory_decay","collapse_rate","recovery_rate","recovered_cooperation_rate","avg_time_to_collapse","avg_final_cooperation","survival_rate","avg_fragmentation_count","avg_largest_component_ratio","adversary_isolation_rate","avg_time_to_isolation","defended"
"federation","0","1","0","0","0","0.003","0","65.38","0.025","1","90.2","False"
"federation","0.05","1","0","0","0","0.566","0.89","44.78","0.297","1","90.2","False"
"federation","0.1","1","0","0","0","0.757","1","34.65","0.456","1","90.4","False"
"federation","0.2","1","0","0","0","0.81","1","20.97","0.677","1","90.7","False"
"random","0","1","0","0","0","0.001","0","65.95","0.019","1","90.1","False"
"random","0.05","1","0","0","0","0.506","0.82","46.37","0.31","1","90.3","False"
"random","0.1","1","0","0","0","0.722","1","34.4","0.485","1","90.4","False"
"random","0.2","1","0","0","0","0.789","1","20.98","0.687","1","90.4","False"
"scale-free","0","1","0","0","0","0.001","0","65.58","0.019","1","90.2","False"
"scale-free","0.05","1","0","0","0","0.486","0.79","49.28","0.229","1","90.3","False"
"scale-free","0.1","1","0","0","0","0.756","1","40.3","0.336","1","90.8","False"
"scale-free","0.2","1","0","0","0","0.809","1","24.75","0.613","1","91.2","False"
"small-world","0","1","0","0","0","0.024","0","61.67","0.073","1","90.5","False"
"small-world","0.05","1","0","0","0","0.699","0.99","35.34","0.322","1","90.5","False"
"small-world","0.1","1","0","0","0","0.806","1","28.08","0.434","1","91.7","False"
"small-world","0.2","1","0","0","0","0.857","1","16.24","0.735","1","92.4","False"
