run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,False,False,0.056,1.0,1.0,0,1,1.0,0.892,65,58,0.0,0.006,0.003,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.873,63,55,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.871,62,54,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.885,61,54,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,False,False,0.059,1.0,1.0,0,1,1.0,0.869,61,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,False,False,0.057,1.0,1.0,0,1,1.0,0.823,62,51,0.0,0.01,0.01,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,False,False,0.066,1.0,1.0,0,2,0.985,0.855,62,53,0.0,0.001,0.001,6,0,0.0,,0,0.001,0.001,0.001,100,0,,False,True,0.0,none,0,0,0
8,49,federation,500,False,False,0.057,1.0,1.0,0,1,1.0,0.839,62,52,0.0,0.009,0.005,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
9,50,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.82,61,50,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
10,51,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.823,62,51,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.839,62,52,0.0,0.01,0.01,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,False,False,0.058,1.0,1.0,0,1,1.0,0.855,62,53,0.0,0.0,0.0,6,0,0.0,,0,0.0,0.0,0.0,100,0,,False,True,0.0,none,0,0,0
