run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,False,False,0.372,1.0,1.0,0,1,1.0,0.889,36,32,0.1,0.108,0.093,6,0,0.0,,0,0.108,0.093,0.108,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,False,False,0.128,1.0,1.0,0,1,1.0,0.947,57,54,0.1,0.002,0.001,6,0,0.0,,0,0.002,0.001,0.002,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,False,False,0.153,1.0,1.0,0,1,1.0,0.898,49,44,0.1,0.006,0.005,6,0,0.0,,0,0.006,0.005,0.006,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,False,False,0.297,1.0,1.0,0,1,1.0,0.865,37,32,0.1,0.059,0.038,6,0,0.0,,0,0.059,0.038,0.059,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,False,False,0.207,1.0,1.0,0,1,1.0,0.809,47,38,0.1,0.018,0.011,6,0,0.0,,0,0.018,0.011,0.018,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,False,False,0.29,1.0,1.0,0,1,1.0,0.875,40,35,0.1,0.057,0.041,6,0,0.0,,0,0.057,0.041,0.057,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,False,False,0.313,1.0,1.0,0,1,1.0,0.861,36,31,0.1,0.091,0.074,6,0,0.0,,0,0.091,0.074,0.091,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,False,False,0.173,1.0,1.0,0,1,1.0,0.875,48,42,0.1,0.011,0.004,6,0,0.0,,0,0.011,0.004,0.011,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,False,False,0.155,1.0,1.0,0,1,1.0,0.902,51,46,0.1,0.008,0.005,6,0,0.0,,0,0.008,0.005,0.008,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,False,False,0.332,1.0,1.0,0,1,1.0,0.875,32,28,0.1,0.097,0.076,6,0,0.0,,0,0.097,0.076,0.097,100,0,,False,True,0.0,none,0,0,0
