run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,False,False,0.197,1.0,1.0,0,1,1.0,0.792,48,38,0.1,0.04,0.029,6,0,0.0,,0,0.04,0.029,0.04,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,False,False,0.174,1.0,1.0,0,1,1.0,0.875,48,42,0.1,0.029,0.02,6,0,0.0,,0,0.029,0.02,0.029,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,False,False,0.15,1.0,1.0,0,1,1.0,0.891,55,49,0.1,0.023,0.016,6,0,0.0,,0,0.023,0.016,0.023,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,False,False,0.237,1.0,1.0,0,1,1.0,0.854,48,41,0.1,0.056,0.041,6,0,0.0,,0,0.056,0.041,0.056,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,False,False,0.273,1.0,1.0,0,1,1.0,0.825,40,33,0.1,0.056,0.047,6,0,0.0,,0,0.056,0.047,0.056,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,False,False,0.148,1.0,1.0,0,1,1.0,0.882,51,45,0.1,0.01,0.005,6,0,0.0,,0,0.01,0.005,0.01,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,False,False,0.153,1.0,1.0,0,1,1.0,0.804,51,41,0.1,0.02,0.014,6,0,0.0,,0,0.02,0.014,0.02,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,False,False,0.36,1.0,1.0,0,1,1.0,0.636,33,21,0.1,0.097,0.083,6,0,0.0,,0,0.097,0.083,0.097,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,False,False,0.192,1.0,1.0,0,1,1.0,0.851,47,40,0.1,0.033,0.03,6,0,0.0,,0,0.033,0.03,0.033,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,False,False,0.229,1.0,1.0,0,1,1.0,0.822,45,37,0.1,0.059,0.046,6,0,0.0,,0,0.059,0.046,0.059,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,False,False,0.364,1.0,1.0,0,1,1.0,0.906,32,29,0.1,0.12,0.089,6,0,0.0,,0,0.12,0.089,0.12,100,0,,False,True,0.0,none,0,0,0
12,53,scale-free,500,False,False,0.291,1.0,1.0,0,1,1.0,0.786,42,33,0.1,0.091,0.079,6,0,0.0,,0,0.091,0.079,0.091,100,0,,False,True,0.0,none,0,0,0
13,54,scale-free,500,False,False,0.323,1.0,1.0,0,1,1.0,0.854,41,35,0.1,0.107,0.081,6,0,0.0,,0,0.107,0.081,0.107,100,0,,False,True,0.0,none,0,0,0
14,55,scale-free,500,False,False,0.209,1.0,1.0,0,1,1.0,0.833,48,40,0.1,0.047,0.034,6,0,0.0,,0,0.047,0.034,0.047,100,0,,False,True,0.0,none,0,0,0
15,56,scale-free,500,False,False,0.277,1.0,1.0,0,1,1.0,0.694,36,25,0.1,0.073,0.066,6,0,0.0,,0,0.073,0.066,0.073,100,0,,False,True,0.0,none,0,0,0
16,57,scale-free,500,False,False,0.218,1.0,1.0,0,1,1.0,0.913,46,42,0.1,0.073,0.067,6,0,0.0,,0,0.073,0.067,0.073,100,0,,False,True,0.0,none,0,0,0
17,58,scale-free,500,False,False,0.148,1.0,1.0,0,1,1.0,0.891,55,49,0.1,0.01,0.007,6,0,0.0,,0,0.01,0.007,0.01,100,0,,False,True,0.0,none,0,0,0
18,59,scale-free,500,False,False,0.269,1.0,1.0,0,1,1.0,0.825,40,33,0.1,0.06,0.046,6,0,0.0,,0,0.06,0.046,0.06,100,0,,False,True,0.0,none,0,0,0
19,60,scale-free,500,False,False,0.439,1.0,1.0,0,1,1.0,0.788,33,26,0.1,0.169,0.143,6,0,0.0,,0,0.169,0.143,0.169,100,0,,False,True,0.0,none,0,0,0
