run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,False,False,0.488,1.0,1.0,0,1,1.0,0.793,29,23,0.1,0.259,0.214,6,0,0.0,,0,0.259,0.214,0.259,100,0,,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.512,1.0,1.0,0,1,1.0,0.826,23,19,0.1,0.252,0.213,6,0,0.0,,0,0.252,0.213,0.252,100,0,,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.579,1.0,1.0,0,1,1.0,0.826,23,19,0.1,0.412,0.355,6,0,0.0,,0,0.362,0.316,0.362,100,0,,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.605,1.0,1.0,0,1,1.0,0.818,22,18,0.1,0.364,0.301,6,0,0.0,,0,0.356,0.288,0.356,100,0,,False,True,0.0,none,0,0,0
5,46,small-world,500,False,False,0.446,1.0,1.0,0,1,1.0,0.812,32,26,0.1,0.239,0.211,6,0,0.0,,0,0.239,0.211,0.239,100,0,,False,True,0.0,none,0,0,0
6,47,small-world,500,False,False,0.458,1.0,1.0,0,1,1.0,0.8,30,24,0.1,0.224,0.186,6,0,0.0,,0,0.224,0.186,0.224,100,0,,False,True,0.0,none,0,0,0
7,48,small-world,500,True,True,0.54,1.0,1.0,0,1,1.0,0.792,24,19,0.1,0.286,0.229,6,0,0.0,,0,0.286,0.229,0.286,100,0,,False,True,0.0,none,0,0,0
8,49,small-world,500,True,True,0.58,1.0,1.0,0,1,1.0,0.684,19,13,0.1,0.294,0.245,6,0,0.0,,0,0.294,0.245,0.294,100,0,,False,True,0.0,none,0,0,0
9,50,small-world,500,True,True,0.582,1.0,1.0,0,1,1.0,0.739,23,17,0.1,0.378,0.331,6,0,0.0,,0,0.365,0.309,0.365,100,0,,False,True,0.0,none,0,0,0
10,51,small-world,500,False,False,0.455,1.0,1.0,0,1,1.0,0.759,29,22,0.1,0.244,0.215,6,0,0.0,,0,0.243,0.215,0.243,100,0,,False,True,0.0,none,0,0,0
11,52,small-world,500,True,True,0.633,1.0,1.0,0,1,1.0,0.75,16,12,0.1,0.387,0.328,6,0,0.0,,0,0.383,0.32,0.383,100,0,,False,True,0.0,none,0,0,0
