run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.969,1.0,1.0,17,18,0.75,0.0,3,0,0.2,0.838,0.772,6,6,1.0,90.0,69,0.423,0.341,0.423,100,0,,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,0.954,1.0,1.0,22,23,0.623,0.0,2,0,0.2,0.786,0.724,6,6,1.0,90.0,100,0.398,0.32,0.398,100,0,,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.935,1.0,1.0,20,21,0.714,0.375,8,3,0.2,0.778,0.721,6,6,1.0,90.0,97,0.381,0.309,0.381,100,0,,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.951,1.0,1.0,27,28,0.529,0.6,5,3,0.2,0.788,0.741,6,6,1.0,93.333,110,0.378,0.308,0.378,100,0,,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.947,1.0,1.0,26,27,0.618,0.5,6,3,0.2,0.765,0.713,6,6,1.0,90.0,108,0.353,0.3,0.353,100,0,,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.936,1.0,1.0,28,29,0.588,0.111,9,1,0.2,0.807,0.763,6,6,1.0,91.667,94,0.384,0.317,0.384,100,0,,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.958,1.0,1.0,21,23,0.643,0.0,4,0,0.2,0.862,0.81,6,6,1.0,91.667,70,0.438,0.359,0.438,100,0,,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.957,1.0,1.0,23,24,0.642,0.0,4,0,0.2,0.85,0.802,6,6,1.0,91.667,79,0.43,0.349,0.43,100,0,,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.949,1.0,1.0,16,17,0.746,0.0,2,0,0.2,0.798,0.737,6,6,1.0,90.0,72,0.425,0.341,0.425,100,0,,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.938,1.0,1.0,22,23,0.662,0.625,8,5,0.2,0.768,0.716,6,6,1.0,90.0,81,0.37,0.306,0.37,100,0,,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,0.942,1.0,1.0,19,20,0.712,0.333,3,1,0.2,0.792,0.739,6,6,1.0,90.0,77,0.416,0.337,0.416,100,0,,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.962,1.0,1.0,17,17,0.765,0.0,2,0,0.2,0.769,0.707,6,6,1.0,91.667,63,0.403,0.326,0.403,100,0,,False,True,0.0,none,0,0,0
13,54,federation,500,True,True,0.925,1.0,1.0,15,16,0.773,0.333,3,1,0.2,0.743,0.685,6,6,1.0,90.0,78,0.408,0.325,0.408,100,0,,False,True,0.0,none,0,0,0
