run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.955,1.0,1.0,17,18,0.75,0.0,1,0,0.2,0.802,0.736,6,6,1.0,90.0,85,0.414,0.335,0.414,100,0,,False,True,0.0,none,0,0,0
2,43,random,500,True,True,0.948,1.0,1.0,34,35,0.507,0.692,13,9,0.2,0.763,0.721,6,6,1.0,90.0,149,0.297,0.227,0.297,100,0,,False,True,0.0,none,0,0,0
3,44,random,500,True,True,0.935,1.0,1.0,23,24,0.667,0.5,6,3,0.2,0.752,0.701,6,6,1.0,90.0,106,0.352,0.283,0.352,100,0,,False,True,0.0,none,0,0,0
4,45,random,500,True,True,0.953,1.0,1.0,19,20,0.721,0.5,6,3,0.2,0.789,0.726,6,6,1.0,90.0,91,0.41,0.333,0.41,100,0,,False,True,0.0,none,0,0,0
5,46,random,500,True,True,0.963,1.0,1.0,23,24,0.657,0.286,7,2,0.2,0.802,0.741,6,6,1.0,90.0,113,0.377,0.298,0.377,100,0,,False,True,0.0,none,0,0,0
6,47,random,500,True,True,0.963,1.0,1.0,15,16,0.779,0.0,2,0,0.2,0.813,0.74,6,6,1.0,90.0,88,0.402,0.319,0.402,100,0,,False,True,0.0,none,0,0,0
7,48,random,500,True,True,0.963,1.0,1.0,21,22,0.7,0.2,5,1,0.2,0.857,0.792,6,6,1.0,91.667,89,0.413,0.334,0.413,100,0,,False,True,0.0,none,0,0,0
8,49,random,500,True,True,0.946,1.0,1.0,25,26,0.618,0.0,3,0,0.2,0.781,0.729,6,6,1.0,90.0,119,0.35,0.27,0.35,100,0,,False,True,0.0,none,0,0,0
9,50,random,500,True,True,0.949,1.0,1.0,26,27,0.618,0.4,10,4,0.2,0.752,0.698,6,6,1.0,90.0,127,0.328,0.258,0.328,100,0,,False,True,0.0,none,0,0,0
10,51,random,500,True,True,0.949,1.0,1.0,16,17,0.771,0.0,3,0,0.2,0.825,0.758,6,6,1.0,90.0,94,0.421,0.352,0.421,100,0,,False,True,0.0,none,0,0,0
11,52,random,500,True,True,0.965,1.0,1.0,18,19,0.735,0.0,3,0,0.2,0.836,0.776,6,6,1.0,90.0,83,0.421,0.335,0.421,100,0,,False,True,0.0,none,0,0,0
12,53,random,500,True,True,0.962,1.0,1.0,18,19,0.731,0.2,5,1,0.2,0.811,0.744,6,6,1.0,90.0,89,0.408,0.339,0.408,100,0,,False,True,0.0,none,0,0,0
13,54,random,500,True,True,0.93,1.0,1.0,20,21,0.697,0.0,2,0,0.2,0.814,0.755,6,6,1.0,91.667,98,0.403,0.324,0.403,100,0,,False,True,0.0,none,0,0,0
14,55,random,500,True,True,0.955,1.0,1.0,27,28,0.582,0.25,4,1,0.2,0.816,0.763,6,6,1.0,90.0,103,0.381,0.307,0.381,100,0,,False,True,0.0,none,0,0,0
