run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.939,1.0,1.0,35,36,0.412,0.1,10,1,0.2,0.846,0.803,6,6,1.0,90.0,101,0.342,0.27,0.342,100,0,,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.928,1.0,1.0,30,31,0.5,0.375,8,3,0.2,0.781,0.733,6,6,1.0,91.667,91,0.349,0.278,0.349,100,0,,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.94,1.0,1.0,28,29,0.529,0.25,4,1,0.2,0.771,0.725,6,6,1.0,90.0,95,0.349,0.264,0.349,100,0,,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.944,1.0,1.0,27,28,0.582,0.4,5,2,0.2,0.824,0.776,6,6,1.0,90.0,90,0.38,0.296,0.38,100,0,,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.95,1.0,1.0,24,25,0.652,0.167,6,1,0.2,0.811,0.761,6,6,1.0,93.333,78,0.388,0.297,0.388,100,0,,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.956,1.0,1.0,31,32,0.529,0.0,7,0,0.2,0.806,0.756,6,6,1.0,91.667,96,0.314,0.237,0.314,100,0,,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.947,1.0,1.0,19,20,0.716,0.25,4,1,0.2,0.75,0.691,6,6,1.0,90.0,72,0.388,0.307,0.388,100,0,,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.957,1.0,1.0,17,18,0.754,0.25,4,1,0.2,0.799,0.739,6,6,1.0,90.0,53,0.414,0.334,0.414,100,0,,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.949,1.0,1.0,29,30,0.567,0.0,7,0,0.2,0.802,0.75,6,6,1.0,90.0,84,0.369,0.283,0.369,100,0,,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.938,1.0,1.0,33,34,0.471,0.455,11,5,0.2,0.798,0.755,6,6,1.0,90.0,96,0.321,0.246,0.321,100,0,,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.968,1.0,1.0,21,22,0.667,0.25,4,1,0.2,0.861,0.802,6,6,1.0,90.0,71,0.425,0.336,0.425,100,0,,False,True,0.0,none,0,0,0
