run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.956,1.0,1.0,28,29,0.441,0.455,11,5,0.1,0.808,0.725,6,6,1.0,91.667,78,0.366,0.304,0.366,100,0,,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.952,1.0,1.0,29,29,0.338,0.667,12,8,0.1,0.823,0.737,6,6,1.0,98.333,83,0.378,0.311,0.378,100,0,,False,True,0.0,none,0,0,0
3,44,small-world,500,True,True,0.954,1.0,1.0,27,28,0.594,0.125,8,1,0.1,0.811,0.718,6,6,1.0,90.0,79,0.386,0.335,0.386,100,0,,False,True,0.0,none,0,0,0
4,45,small-world,500,True,True,0.94,1.0,1.0,27,28,0.406,0.667,6,4,0.1,0.809,0.723,6,6,1.0,90.0,71,0.425,0.352,0.425,100,0,,False,True,0.0,none,0,0,0
5,46,small-world,500,True,True,0.917,1.0,1.0,32,33,0.246,0.625,8,5,0.1,0.774,0.71,6,6,1.0,91.667,82,0.384,0.32,0.384,100,0,,False,True,0.0,none,0,0,0
6,47,small-world,500,True,True,0.922,1.0,1.0,32,33,0.522,0.5,10,5,0.1,0.775,0.696,6,6,1.0,90.0,88,0.365,0.292,0.365,100,0,,False,True,0.0,none,0,0,0
7,48,small-world,500,True,True,0.948,1.0,1.0,25,26,0.574,0.667,6,4,0.1,0.816,0.731,6,6,1.0,90.0,75,0.431,0.346,0.431,100,0,,False,True,0.0,none,0,0,0
8,49,small-world,500,True,True,0.963,1.0,1.0,29,29,0.292,0.167,6,1,0.1,0.81,0.716,6,6,1.0,90.0,82,0.4,0.317,0.4,100,0,,False,True,0.0,none,0,0,0
9,50,small-world,500,True,True,0.965,1.0,1.0,26,26,0.561,0.0,5,0,0.1,0.819,0.738,6,6,1.0,90.0,68,0.424,0.355,0.424,100,0,,False,True,0.0,none,0,0,0
10,51,small-world,500,True,True,0.934,1.0,1.0,31,32,0.456,0.571,14,8,0.1,0.782,0.713,6,6,1.0,90.0,87,0.373,0.316,0.373,100,0,,False,True,0.0,none,0,0,0
11,52,small-world,500,True,True,0.956,1.0,1.0,25,25,0.508,0.571,7,4,0.1,0.823,0.742,6,6,1.0,90.0,77,0.423,0.345,0.423,100,0,,False,True,0.0,none,0,0,0
12,53,small-world,500,True,True,0.961,1.0,1.0,28,29,0.435,0.333,6,2,0.1,0.856,0.767,6,6,1.0,91.667,80,0.431,0.352,0.431,100,0,,False,True,0.0,none,0,0,0
13,54,small-world,500,True,True,0.951,1.0,1.0,33,34,0.269,0.143,7,1,0.1,0.789,0.71,6,6,1.0,91.667,89,0.375,0.303,0.375,100,0,,False,True,0.0,none,0,0,0
14,55,small-world,500,True,True,0.939,1.0,1.0,40,41,0.358,0.4,10,4,0.1,0.812,0.745,6,6,1.0,90.0,97,0.348,0.283,0.348,100,0,,False,True,0.0,none,0,0,0
15,56,small-world,500,True,True,0.949,1.0,1.0,23,24,0.652,0.0,3,0,0.1,0.792,0.704,6,6,1.0,90.0,69,0.421,0.342,0.421,100,0,,False,True,0.0,none,0,0,0
16,57,small-world,500,True,True,0.926,1.0,1.0,20,21,0.701,0.0,1,0,0.1,0.722,0.642,6,6,1.0,90.0,65,0.421,0.333,0.421,100,0,,False,True,0.0,none,0,0,0
17,58,small-world,500,True,True,0.956,1.0,1.0,34,35,0.159,0.143,7,1,0.1,0.81,0.725,6,6,1.0,90.0,89,0.388,0.311,0.388,100,0,,False,True,0.0,none,0,0,0
18,59,small-world,500,True,True,0.963,1.0,1.0,21,21,0.671,0.333,6,2,0.1,0.828,0.745,6,6,1.0,91.667,67,0.471,0.389,0.471,100,0,,False,True,0.0,none,0,0,0
19,60,small-world,500,True,True,0.934,1.0,1.0,28,28,0.254,0.5,4,2,0.1,0.767,0.697,6,6,1.0,90.0,83,0.416,0.342,0.416,100,0,,False,True,0.0,none,0,0,0
20,61,small-world,500,True,True,0.945,1.0,1.0,27,28,0.609,0.429,7,3,0.1,0.849,0.764,6,6,1.0,91.667,76,0.425,0.344,0.425,100,0,,False,True,0.0,none,0,0,0
21,62,small-world,500,True,True,0.912,1.0,1.0,32,33,0.338,0.167,6,1,0.1,0.762,0.695,6,6,1.0,90.0,94,0.403,0.322,0.403,100,0,,False,True,0.0,none,0,0,0
22,63,small-world,500,True,True,0.966,1.0,1.0,23,24,0.667,0.444,9,4,0.1,0.828,0.734,6,6,1.0,100.0,70,0.42,0.363,0.42,100,0,,False,True,0.0,none,0,0,0
23,64,small-world,500,True,True,0.933,1.0,1.0,29,30,0.515,0.143,7,1,0.1,0.78,0.703,6,6,1.0,90.0,84,0.383,0.319,0.383,100,0,,False,True,0.0,none,0,0,0
24,65,small-world,500,True,True,0.962,1.0,1.0,24,24,0.456,0.25,8,2,0.1,0.798,0.708,6,6,1.0,108.333,73,0.433,0.343,0.433,100,0,,False,True,0.0,none,0,0,0
25,66,small-world,500,True,True,0.963,1.0,1.0,28,29,0.309,0.2,5,1,0.1,0.861,0.787,6,6,1.0,90.0,82,0.464,0.372,0.464,100,0,,False,True,0.0,none,0,0,0
26,67,small-world,500,True,True,0.922,1.0,1.0,25,25,0.53,0.5,8,4,0.1,0.757,0.677,6,6,1.0,93.333,73,0.423,0.341,0.423,100,0,,False,True,0.0,none,0,0,0
27,68,small-world,500,True,True,0.944,1.0,1.0,32,33,0.309,0.333,9,3,0.1,0.791,0.71,6,6,1.0,90.0,83,0.384,0.311,0.384,100,0,,False,True,0.0,none,0,0,0
28,69,small-world,500,True,True,0.943,1.0,1.0,27,28,0.299,0.5,10,5,0.1,0.769,0.687,6,6,1.0,90.0,72,0.394,0.328,0.394,100,0,,False,True,0.0,none,0,0,0
29,70,small-world,500,True,True,0.955,1.0,1.0,32,33,0.418,0.444,9,4,0.1,0.812,0.731,6,6,1.0,91.667,85,0.39,0.316,0.39,100,0,,False,True,0.0,none,0,0,0
30,71,small-world,500,True,True,0.956,1.0,1.0,27,28,0.597,0.5,8,4,0.1,0.823,0.735,6,6,1.0,95.0,75,0.409,0.33,0.409,100,0,,False,True,0.0,none,0,0,0
31,72,small-world,500,True,True,0.946,1.0,1.0,19,20,0.721,0.5,4,2,0.1,0.79,0.704,6,6,1.0,91.667,66,0.449,0.364,0.449,100,0,,False,True,0.0,none,0,0,0
32,73,small-world,500,True,True,0.95,1.0,1.0,28,28,0.523,0.5,8,4,0.1,0.795,0.709,6,6,1.0,91.667,79,0.397,0.319,0.397,100,0,,False,True,0.0,none,0,0,0
