"topology","trust_memory_decay","collapse_rate","recovery_rate","avg_time_to_collapse","avg_time_to_recovery","avg_final_cooperation","survival_rate","avg_fragmentation_count","avg_largest_component_ratio","adversary_isolation_rate","avg_time_to_isolation","reconnection_rate","avg_recovered_network_size","defended"
"federation","0","1","0","0",,"0.003","0","65.38","0.025","1","90.2","0","0","False"
"federation","0.05","1","0","0",,"0.553","0.89","44.77","0.372","1","90.2","0.081","0","False"
"federation","0.1","1","0","0","384","0.724","1","34.54","0.812","1","90.4","0.339","2.97","False"
"federation","0.2","1","0","0","362.281","0.811","1","21.03","0.892","1","90.733","0.408","34.07","False"
"random","0","1","0","0",,"0.001","0","65.95","0.019","1","90.133","0","0","False"
"random","0.05","1","0","0",,"0.497","0.82","46.4","0.372","1","90.283","0.056","0","False"
"random","0.1","1","0","0",,"0.687","1","34.53","0.834","1","90.383","0.306","0","False"
"random","0.2","1","0","0","379.8","0.789","1","20.9","0.901","1","90.383","0.442","30.56","False"
"scale-free","0","1","0","0",,"0.001","0","65.58","0.019","1","90.183","0","0","False"
"scale-free","0.05","1","0","0",,"0.48","0.79","49.32","0.267","1","90.317","0.049","0","False"
"scale-free","0.1","1","0","0","380","0.726","1","40.44","0.713","1","90.783","0.334","0.58","False"
"scale-free","0.2","1","0","0","374.098","0.811","1","24.77","0.875","1","91.183","0.423","35.87","False"
"small-world","0","1","0","0",,"0.024","0","61.67","0.073","1","90.533","0","0","False"
"small-world","0.05","1","0","0",,"0.681","0.99","35.36","0.458","1","90.533","0.176","0","False"
"small-world","0.1","1","0","0","379.73","0.788","1","28.1","0.806","1","91.667","0.373","19.69","False"
"small-world","0.2","1","0","0","337.474","0.856","1","16.34","0.895","1","92.383","0.358","55.52","False"
