run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.967,1.0,1.0,19,7,0.909,0.0,3,0,0.2,0.844,0.763,6,6,1.0,0.443,90.0,69,0.423,0.341,0.423,100,0,,370,60,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,0.956,1.0,1.0,22,10,0.865,0.0,2,0,0.2,0.825,0.747,6,6,1.0,0.37,90.0,100,0.398,0.32,0.398,100,0,,380,64,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.939,1.0,1.0,20,7,0.913,0.375,8,3,0.2,0.768,0.697,6,6,1.0,0.398,90.0,98,0.381,0.309,0.381,100,0,,,0,False,True,0.0,none,0,0,0
4,45,federation,500,True,True,0.963,1.0,1.0,26,7,0.91,0.5,6,3,0.2,0.804,0.723,6,6,1.0,0.438,93.333,108,0.378,0.308,0.378,100,0,,400,61,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.934,1.0,1.0,25,7,0.909,0.429,7,3,0.2,0.773,0.703,6,6,1.0,0.41,90.0,106,0.353,0.3,0.353,100,0,,,0,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.918,1.0,1.0,28,11,0.836,0.143,7,1,0.2,0.795,0.744,6,6,1.0,0.34,91.667,94,0.384,0.317,0.384,100,0,,,0,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.966,1.0,1.0,21,10,0.868,0.0,4,0,0.2,0.86,0.794,6,6,1.0,0.464,91.667,70,0.438,0.359,0.438,100,0,,350,58,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.949,1.0,1.0,22,8,0.882,0.2,5,1,0.2,0.843,0.777,6,6,1.0,0.512,91.667,80,0.43,0.349,0.43,100,0,,370,60,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.932,1.0,1.0,16,7,0.91,0.0,2,0,0.2,0.788,0.724,6,6,1.0,0.389,90.0,72,0.425,0.341,0.425,100,0,,,0,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.922,1.0,1.0,22,9,0.879,0.714,7,5,0.2,0.765,0.701,6,6,1.0,0.378,90.0,81,0.37,0.306,0.37,100,0,,,0,False,True,0.0,none,0,0,0
