run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.889,63,56,0.0,0.0,0.005,6,6,1.0,0.0,90.0,182,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
2,43,random,500,False,False,0.058,1.0,1.0,68,67,0.029,0.859,64,55,0.0,0.007,0.004,6,6,1.0,0.0,90.0,197,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
3,44,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.869,61,53,0.0,0.0,0.003,6,6,1.0,0.0,90.0,188,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
4,45,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.871,62,54,0.0,0.0,0.008,6,6,1.0,0.0,90.0,189,0.0,0.008,0.0,100,0,,,0,False,True,0.0,none,0,0,0
5,46,random,500,False,False,0.058,1.0,1.0,65,66,0.03,0.82,61,50,0.0,0.003,0.004,6,6,1.0,0.0,90.0,199,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
6,47,random,500,False,False,0.059,1.0,1.0,65,66,0.015,0.833,60,50,0.0,0.0,0.003,6,6,1.0,0.0,90.0,195,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
7,48,random,500,False,False,0.062,1.0,1.0,65,63,0.016,0.883,60,53,0.0,0.0,0.006,6,6,1.0,0.0,90.0,172,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
8,49,random,500,False,False,0.06,1.0,1.0,64,65,0.015,0.883,60,53,0.0,0.0,0.002,6,6,1.0,0.0,90.0,184,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
9,50,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.885,61,54,0.0,0.0,0.003,6,6,1.0,0.0,90.0,192,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
10,51,random,500,False,False,0.058,1.0,1.0,66,66,0.03,0.889,63,56,0.0,0.0,0.006,6,6,1.0,0.0,90.0,201,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
