run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.914,1.0,1.0,43,18,0.662,0.4,15,6,0.1,0.715,0.637,6,6,1.0,0.268,90.0,112,0.234,0.164,0.234,100,0,,,0,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.881,1.0,1.0,42,18,0.727,0.619,21,13,0.1,0.69,0.621,6,6,1.0,0.29,90.0,107,0.239,0.166,0.239,100,0,,,0,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.892,1.0,1.0,49,27,0.194,0.588,17,10,0.1,0.706,0.638,6,6,1.0,0.207,90.0,119,0.239,0.152,0.239,100,0,,,0,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.941,1.0,1.0,42,14,0.797,0.467,15,7,0.1,0.778,0.681,6,6,1.0,0.306,90.0,108,0.278,0.191,0.278,100,0,,,0,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.885,1.0,1.0,30,11,0.853,0.4,10,4,0.1,0.664,0.58,6,6,1.0,0.264,93.333,91,0.297,0.209,0.297,100,0,,,0,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.852,1.0,1.0,46,19,0.5,0.625,16,10,0.1,0.689,0.62,6,6,1.0,0.264,90.0,115,0.231,0.156,0.231,100,0,,,0,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.904,1.0,1.0,40,13,0.766,0.3,10,3,0.1,0.69,0.597,6,6,1.0,0.324,90.0,108,0.278,0.197,0.278,100,0,,,0,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.911,1.0,1.0,39,13,0.687,0.273,11,3,0.1,0.739,0.644,6,6,1.0,0.436,90.0,101,0.315,0.238,0.315,100,0,,,0,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.925,1.0,1.0,44,13,0.788,0.273,11,3,0.1,0.735,0.646,6,6,1.0,0.411,90.0,107,0.264,0.181,0.264,100,0,,,0,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.913,1.0,1.0,49,18,0.721,0.529,17,9,0.1,0.738,0.655,6,6,1.0,0.367,90.0,120,0.247,0.175,0.247,100,0,,,0,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.941,1.0,1.0,29,8,0.894,0.571,7,4,0.1,0.75,0.646,6,6,1.0,0.348,90.0,92,0.331,0.239,0.331,100,0,,,0,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.931,1.0,1.0,39,14,0.791,0.5,14,7,0.1,0.748,0.662,6,6,1.0,0.337,90.0,110,0.281,0.201,0.281,100,0,,,0,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.936,1.0,1.0,36,10,0.838,0.375,8,3,0.1,0.781,0.68,6,6,1.0,0.347,90.0,101,0.339,0.24,0.339,100,0,,,0,False,True,0.0,none,0,0,0
14,55,scale-free,500,True,True,0.903,1.0,1.0,41,15,0.706,0.556,9,5,0.1,0.724,0.639,6,6,1.0,0.357,90.0,107,0.255,0.161,0.255,100,0,,,0,False,True,0.0,none,0,0,0
15,56,scale-free,500,True,True,0.915,1.0,1.0,49,23,0.588,0.308,13,4,0.1,0.737,0.658,6,6,1.0,0.312,90.0,112,0.274,0.202,0.274,100,0,,,0,False,True,0.0,none,0,0,0
16,57,scale-free,500,True,True,0.944,1.0,1.0,46,10,0.853,0.615,13,8,0.1,0.787,0.684,6,6,1.0,0.469,90.0,113,0.273,0.198,0.273,100,0,,,0,False,True,0.0,none,0,0,0
