run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,federation,500,True,True,0.961,1.0,1.0,8,8,0.897,0.0,2,0,0.05,0.911,1.0,0.909,6,6,1.0,0.188,1.0,95.0,32,0.734,0.744,0.734,100,0,,170,58,False,True,0.0,none,0,0,0
2,43,federation,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,0,0,0.05,0.915,1.0,0.915,6,6,1.0,0.0,1.0,98.333,18,0.715,0.715,0.741,100,0,,120,61,False,True,0.0,none,0,0,0
3,44,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.735,0.735,0.74,100,,200,100,67,True,False,0.0,none,0,0,0
4,45,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,96.667,18,0.731,0.766,0.731,100,0,,150,60,False,True,0.0,none,0,0,0
5,46,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,98.333,18,0.729,0.736,0.729,100,0,,130,60,False,True,0.0,none,0,0,0
6,47,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.908,0.984,0.912,6,6,1.0,0.0,1.0,98.333,18,0.735,0.745,0.735,100,0,,110,65,False,True,0.0,none,0,0,0
7,48,federation,500,True,True,0.97,1.0,1.0,6,8,0.899,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,0.984,98.333,19,0.728,0.755,0.728,100,0,,140,60,False,True,0.0,none,0,0,0
8,49,federation,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,95.0,19,0.734,0.743,0.734,100,0,,140,62,False,True,0.0,none,0,0,0
9,50,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,96.667,18,0.735,0.751,0.735,100,0,,130,62,False,True,0.0,none,0,0,0
10,51,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.056,1.0,96.667,18,0.729,0.733,0.729,100,0,,120,59,False,True,0.0,none,0,0,0
11,52,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,18,0.733,0.751,0.733,100,0,,120,60,False,True,0.0,none,0,0,0
12,53,federation,500,True,True,0.969,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.05,1.0,98.333,20,0.742,0.743,0.742,100,0,,120,61,False,True,0.0,none,0,0,0
13,54,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,17,0.76,0.76,0.762,100,,170,70,65,True,False,0.0,none,0,0,0
14,55,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,18,0.72,0.72,0.73,100,0,,130,61,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,0.968,1.0,1.0,7,7,0.913,0.5,2,1,0.05,0.913,1.0,0.913,6,6,1.0,0.167,1.0,96.667,30,0.747,0.765,0.747,100,0,,130,61,False,True,0.0,none,0,0,0
16,57,federation,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.758,0.758,0.763,120,,180,80,66,True,False,0.0,none,0,0,0
17,58,federation,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,96.667,18,0.73,0.743,0.73,100,0,,130,62,False,True,0.0,none,0,0,0
18,59,federation,500,True,True,0.966,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.914,1.0,0.914,6,6,1.0,0.0,1.0,93.333,18,0.747,0.753,0.747,100,0,,120,61,False,True,0.0,none,0,0,0
19,60,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,93.333,18,0.739,0.742,0.739,100,,200,100,68,True,False,0.0,none,0,0,0
20,61,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.74,0.764,0.74,100,,190,90,67,True,False,0.0,none,0,0,0
21,62,federation,500,True,True,0.969,1.0,1.0,7,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.283,1.0,96.667,46,0.724,0.735,0.724,100,0,,170,59,False,True,0.0,none,0,0,0
22,63,federation,500,True,True,0.946,1.0,1.0,6,7,0.91,0.0,1,0,0.05,0.907,0.984,0.91,6,6,1.0,0.038,1.0,96.667,26,0.744,0.747,0.744,100,0,,130,61,False,True,0.0,none,0,0,0
23,64,federation,500,True,True,0.969,1.0,1.0,6,7,0.915,0.0,1,0,0.05,0.912,0.985,0.915,6,6,1.0,0.13,1.0,95.0,23,0.73,0.738,0.73,100,0,,130,62,False,True,0.0,none,0,0,0
24,65,federation,500,True,True,0.95,1.0,1.0,6,8,0.894,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,0.983,100.0,18,0.734,0.734,0.751,100,,170,70,66,True,False,0.0,none,0,0,0
25,66,federation,500,True,True,0.968,1.0,1.0,6,8,0.892,0.0,1,0,0.05,0.908,1.0,0.907,6,6,1.0,0.0,0.983,96.667,18,0.73,0.747,0.73,100,0,,120,59,False,True,0.0,none,0,0,0
26,67,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,96.667,18,0.749,0.763,0.749,100,,190,90,65,True,False,0.0,none,0,0,0
27,68,federation,500,True,True,0.969,1.0,1.0,6,7,0.914,0.0,0,0,0.05,0.911,0.984,0.914,6,6,1.0,0.05,1.0,98.333,20,0.741,0.748,0.741,100,0,,120,61,False,True,0.0,none,0,0,0
28,69,federation,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,0,0,0.05,0.915,1.0,0.915,6,6,1.0,0.174,1.0,95.0,23,0.737,0.762,0.737,100,0,,150,61,False,True,0.0,none,0,0,0
29,70,federation,500,True,True,0.958,1.0,1.0,6,8,0.894,0.0,0,0,0.05,0.909,1.0,0.908,6,6,1.0,0.0,0.983,96.667,18,0.743,0.773,0.743,100,0,,110,63,False,True,0.0,none,0,0,0
30,71,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.749,0.749,0.753,100,,200,100,66,True,False,0.0,none,0,0,0
31,72,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.053,1.0,98.333,19,0.739,0.755,0.739,100,,200,100,68,True,False,0.0,none,0,0,0
32,73,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.05,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.744,100,0,,150,61,False,True,0.0,none,0,0,0
33,74,federation,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,1,0,0.05,0.912,1.0,0.912,6,6,1.0,0.105,1.0,98.333,19,0.744,0.763,0.744,100,0,,120,60,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.964,1.0,1.0,6,7,0.912,0.5,4,2,0.05,0.911,1.0,0.912,6,6,1.0,0.259,1.0,98.333,27,0.731,0.75,0.731,100,0,,180,61,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.716,0.716,0.735,100,0,,130,60,False,True,0.0,none,0,0,0
