run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.753,100,,160,60,66,True,False,0.0,none,0,0,0
2,43,random,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.715,0.715,0.738,100,,180,80,67,True,False,0.0,none,0,0,0
3,44,random,500,True,True,0.967,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.735,0.735,0.742,100,,170,70,66,True,False,0.0,none,0,0,0
4,45,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.766,0.766,0.769,100,,150,50,66,True,False,0.0,none,0,0,0
5,46,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.736,0.736,0.752,100,,160,60,66,True,False,0.0,none,0,0,0
6,47,random,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.743,0.745,0.743,100,,170,70,66,True,False,0.0,none,0,0,0
7,48,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.738,0.755,0.738,100,,180,80,68,True,False,0.0,none,0,0,0
8,49,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.907,0.984,0.91,6,6,1.0,0.0,1.0,100.0,18,0.733,0.743,0.733,100,,170,70,66,True,False,0.0,none,0,0,0
9,50,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.743,0.751,0.743,100,,170,70,67,True,False,0.0,none,0,0,0
10,51,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.907,0.984,0.91,6,6,1.0,0.0,1.0,106.667,19,0.733,0.733,0.765,100,,150,50,66,True,False,0.0,none,0,0,0
11,52,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.751,0.751,0.755,100,,160,60,66,True,False,0.0,none,0,0,0
12,53,random,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.743,0.743,0.764,100,,160,60,67,True,False,0.0,none,0,0,0
13,54,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,17,0.741,0.76,0.741,100,,170,70,65,True,False,0.0,none,0,0,0
14,55,random,500,True,True,0.968,1.0,1.0,6,8,0.897,0.0,0,0,0.1,0.912,1.0,0.911,6,6,1.0,0.0,0.984,98.333,16,0.72,0.72,0.729,100,,190,90,64,True,False,0.0,none,0,0,0
15,56,random,500,True,True,0.961,1.0,1.0,6,7,0.915,0.0,0,0,0.1,0.915,1.0,0.915,6,6,1.0,0.0,1.0,100.0,18,0.741,0.765,0.741,100,,160,60,68,True,False,0.0,none,0,0,0
16,57,random,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.758,0.758,0.761,100,,150,50,66,True,False,0.0,none,0,0,0
17,58,random,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,17,0.742,0.743,0.742,100,,170,70,67,True,False,0.0,none,0,0,0
18,59,random,500,True,True,0.957,1.0,1.0,6,7,0.915,0.0,0,0,0.1,0.915,1.0,0.915,6,6,1.0,0.0,1.0,100.0,18,0.746,0.753,0.746,100,,160,60,67,True,False,0.0,none,0,0,0
