run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.906,0.984,0.91,6,6,1.0,0.0,1.0,93.333,18,0.692,0.744,0.692,100,0,,170,58,False,True,0.0,none,0,0,0
2,43,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,1,0,0.05,0.913,1.0,0.913,6,6,1.0,0.053,1.0,98.333,19,0.682,0.715,0.682,100,0,,170,60,False,True,0.0,none,0,0,0
3,44,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,93.333,18,0.678,0.735,0.678,100,0,,180,60,False,True,0.0,none,0,0,0
4,45,scale-free,500,True,True,0.965,1.0,1.0,8,8,0.896,0.25,4,1,0.05,0.909,1.0,0.907,6,6,1.0,0.0,1.0,91.667,33,0.691,0.766,0.691,100,0,,200,59,False,True,0.0,none,0,0,0
5,46,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.915,0.0,1,0,0.05,0.915,1.0,0.915,6,6,1.0,0.05,1.0,100.0,20,0.706,0.736,0.706,100,0,,160,63,False,True,0.0,none,0,0,0
6,47,scale-free,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.05,0.909,1.0,0.909,6,6,1.0,0.0,1.0,93.333,18,0.66,0.745,0.66,100,0,,200,60,False,True,0.0,none,0,0,0
7,48,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,95.0,18,0.707,0.755,0.707,100,0,,150,60,False,True,0.0,none,0,0,0
8,49,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.907,0.984,0.91,6,6,1.0,0.0,1.0,95.0,17,0.73,0.743,0.73,100,0,,130,59,False,True,0.0,none,0,0,0
9,50,scale-free,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.05,0.91,1.0,0.91,6,6,1.0,0.0,1.0,95.0,18,0.705,0.751,0.705,100,0,,150,61,False,True,0.0,none,0,0,0
10,51,scale-free,500,True,True,0.969,1.0,1.0,7,7,0.91,0.0,2,0,0.05,0.91,1.0,0.91,6,6,1.0,0.25,1.0,95.0,25,0.651,0.733,0.651,100,0,,200,60,False,True,0.0,none,0,0,0
11,52,scale-free,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.05,0.913,1.0,0.913,6,6,1.0,0.0,1.0,95.0,18,0.726,0.751,0.726,100,0,,150,60,False,True,0.0,none,0,0,0
12,53,scale-free,500,True,True,0.969,1.0,1.0,7,7,0.91,0.0,1,0,0.05,0.91,1.0,0.91,6,6,1.0,0.056,1.0,91.667,25,0.687,0.743,0.687,100,0,,180,62,False,True,0.0,none,0,0,0
13,54,scale-free,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,1,0,0.05,0.906,1.0,0.906,6,6,1.0,0.0,1.0,93.333,24,0.685,0.76,0.685,100,0,,190,59,False,True,0.0,none,0,0,0
