run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_recovered_node_rate,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,signal_propagation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
1,42,small-world,500,True,True,0.962,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.1,1.0,98.333,20,0.744,0.744,0.746,120,20,,110,67,False,True,0.0,none,0,0,0
2,43,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.911,0.984,0.914,6,6,1.0,0.0,1.0,100.0,18,0.715,0.715,0.734,100,,190,90,65,True,False,0.0,none,0,0,0
3,44,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,98.333,18,0.732,0.735,0.732,100,,190,90,67,True,False,0.0,none,0,0,0
4,45,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.907,0.984,0.91,6,6,1.0,0.0,1.0,100.0,18,0.766,0.766,0.766,120,,160,60,66,True,False,0.0,none,0,0,0
5,46,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.333,3,1,0.1,0.909,1.0,0.909,6,6,1.0,0.059,1.0,100.0,20,0.736,0.736,0.739,100,,200,100,66,True,False,0.0,none,0,0,0
6,47,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,19,0.745,0.745,0.751,100,,170,70,66,True,False,0.0,none,0,0,0
7,48,small-world,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,18,0.755,0.755,0.767,120,,160,60,65,True,False,0.0,none,0,0,0
8,49,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,1,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.743,0.743,0.747,100,,190,90,66,True,False,0.0,none,0,0,0
9,50,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,1,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.751,0.751,0.767,120,,160,60,66,True,False,0.0,none,0,0,0
10,51,small-world,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,98.333,18,0.733,0.733,0.759,120,,180,80,67,True,False,0.0,none,0,0,0
11,52,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.751,0.751,0.751,100,,180,80,66,True,False,0.0,none,0,0,0
12,53,small-world,500,True,True,0.958,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,17,0.743,0.743,0.76,120,,170,70,66,True,False,0.0,none,0,0,0
13,54,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.758,0.76,0.758,120,,170,70,67,True,False,0.0,none,0,0,0
14,55,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.143,1.0,98.333,21,0.72,0.72,0.732,100,,190,90,67,True,False,0.0,none,0,0,0
15,56,small-world,500,True,True,0.952,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.765,0.765,0.772,120,,160,60,66,True,False,0.0,none,0,0,0
16,57,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,98.333,16,0.758,0.758,0.758,120,,180,80,67,True,False,0.0,none,0,0,0
17,58,small-world,500,True,True,0.968,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.1,1.0,100.0,20,0.743,0.743,0.757,100,,170,70,67,True,False,0.0,none,0,0,0
18,59,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,17,0.753,0.753,0.77,120,,160,60,67,True,False,0.0,none,0,0,0
19,60,small-world,500,True,True,0.962,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.911,0.984,0.914,6,6,1.0,0.0,1.0,100.0,18,0.742,0.742,0.755,120,,160,60,67,True,False,0.0,none,0,0,0
20,61,small-world,500,True,True,0.968,1.0,1.0,6,7,0.908,0.0,0,0,0.1,0.908,1.0,0.908,6,6,1.0,0.0,1.0,100.0,17,0.755,0.764,0.755,120,,180,80,66,True,False,0.0,none,0,0,0
21,62,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.735,0.735,0.759,120,,160,60,66,True,False,0.0,none,0,0,0
22,63,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.747,0.747,0.761,100,,180,80,67,True,False,0.0,none,0,0,0
23,64,small-world,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.1,0.906,1.0,0.906,6,6,1.0,0.0,1.0,100.0,18,0.738,0.738,0.745,100,,170,70,65,True,False,0.0,none,0,0,0
24,65,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,98.333,18,0.734,0.734,0.761,120,,160,60,66,True,False,0.0,none,0,0,0
25,66,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.908,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.747,0.747,0.779,120,,140,40,66,True,False,0.0,none,0,0,0
26,67,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.754,0.763,0.754,120,,180,80,66,True,False,0.0,none,0,0,0
27,68,small-world,500,True,True,0.97,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.748,0.748,0.76,120,,180,80,66,True,False,0.0,none,0,0,0
28,69,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.761,0.762,0.761,120,,160,60,66,True,False,0.0,none,0,0,0
29,70,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.749,0.773,0.749,120,,190,90,66,True,False,0.0,none,0,0,0
30,71,small-world,500,True,True,0.97,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.749,0.749,0.757,120,,170,70,67,True,False,0.0,none,0,0,0
31,72,small-world,500,True,True,0.967,1.0,1.0,6,7,0.906,0.0,0,0,0.1,0.906,1.0,0.906,6,6,1.0,0.0,1.0,100.0,16,0.755,0.755,0.774,120,,160,60,65,True,False,0.0,none,0,0,0
32,73,small-world,500,True,True,0.961,1.0,1.0,6,7,0.913,0.0,0,0,0.1,0.913,1.0,0.913,6,6,1.0,0.0,1.0,100.0,18,0.744,0.744,0.769,120,,160,60,66,True,False,0.0,none,0,0,0
33,74,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.907,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.755,0.763,0.755,120,,180,80,68,True,False,0.0,none,0,0,0
34,75,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.75,0.75,0.755,100,,170,70,66,True,False,0.0,none,0,0,0
35,76,small-world,500,True,True,0.953,1.0,1.0,6,7,0.914,0.0,0,0,0.1,0.914,1.0,0.914,6,6,1.0,0.0,1.0,100.0,18,0.716,0.716,0.753,100,,170,70,67,True,False,0.0,none,0,0,0
36,77,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.727,0.727,0.75,120,,170,70,67,True,False,0.0,none,0,0,0
37,78,small-world,500,True,True,0.969,1.0,1.0,6,7,0.912,0.0,0,0,0.1,0.912,1.0,0.912,6,6,1.0,0.0,1.0,100.0,18,0.758,0.758,0.781,120,,140,40,66,True,False,0.0,none,0,0,0
38,79,small-world,500,True,True,0.968,1.0,1.0,6,7,0.909,0.0,0,0,0.1,0.909,1.0,0.909,6,6,1.0,0.0,1.0,100.0,18,0.755,0.755,0.775,120,,150,50,65,True,False,0.0,none,0,0,0
39,80,small-world,500,True,True,0.969,1.0,1.0,6,7,0.91,0.0,0,0,0.1,0.91,1.0,0.91,6,6,1.0,0.0,1.0,100.0,18,0.734,0.734,0.772,120,,140,40,66,True,False,0.0,none,0,0,0
